,time,PressMode
128,2023-01-13 23:33:41.187,0
129,2023-01-13 23:33:42.197,8
130,2023-01-14 00:17:22.674,16
131,2023-01-16 10:56:13.976,32
132,2023-01-16 10:56:14.986,8
133,2023-01-16 11:05:13.141,16
134,2023-01-16 11:34:56.273,4
135,2023-01-16 11:34:59.283,0
136,2023-01-16 11:35:00.283,16
137,2023-01-16 22:19:05.822,8
138,2023-01-16 22:30:20.509,32
139,2023-01-16 22:30:21.519,16
140,2023-01-16 23:30:09.865,4
141,2023-01-16 23:31:18.144,16
142,2023-01-16 23:31:22.164,4
143,2023-01-16 23:39:32.118,16
144,2023-01-17 01:19:59.223,4
145,2023-01-17 01:20:41.394,16
146,2023-01-17 02:28:32.671,4
147,2023-01-17 02:30:15.079,16
148,2023-01-17 03:10:55.846,8
149,2023-01-17 10:53:38.867,16
150,2023-01-17 10:53:39.878,4
151,2023-01-17 14:08:00.513,16
152,2023-01-17 19:16:06.437,8
153,2023-01-17 19:26:26.914,4
154,2023-01-17 19:29:48.720,16
155,2023-01-18 11:45:11.773,8
156,2023-01-18 12:39:06.713,16
157,2023-01-18 18:23:13.273,8
158,2023-01-18 18:33:57.855,4
159,2023-01-18 18:35:49.302,16
160,2023-01-18 19:58:59.253,8
161,2023-01-18 20:10:41.065,0
162,2023-01-18 20:10:42.065,4
163,2023-01-18 20:12:05.404,16
164,2023-01-19 02:26:04.135,0
165,2023-01-19 02:26:05.135,8
166,2023-01-19 02:40:37.624,4
167,2023-01-19 02:41:57.951,16
168,2023-01-19 10:03:22.871,0
169,2023-01-19 10:03:23.881,8
170,2023-01-19 10:16:39.058,16
171,2023-01-19 11:59:15.680,8
172,2023-01-19 12:10:05.283,32
173,2023-01-19 12:10:06.283,16
174,2023-01-19 17:28:26.668,8
175,2023-01-19 17:36:04.500,4
176,2023-01-19 17:37:32.848,16
177,2023-01-19 19:30:31.963,8
178,2023-01-19 19:40:16.292,0
179,2023-01-19 19:40:17.302,16
180,2023-01-20 00:21:56.881,8
181,2023-01-20 00:30:32.944,16
182,2023-01-20 04:20:25.101,0
183,2023-01-20 04:20:26.101,8
184,2023-01-20 04:53:04.931,0
185,2023-01-20 04:53:05.941,16
186,2023-01-20 12:08:43.467,8
187,2023-01-20 12:19:03.957,16
188,2023-01-20 15:12:58.668,8
189,2023-01-20 15:23:35.221,0
190,2023-01-20 15:23:36.220,4
191,2023-01-20 15:25:05.581,16
192,2023-01-20 20:14:32.029,8
193,2023-01-20 20:21:42.752,4
194,2023-01-20 20:23:10.101,16
195,2023-01-21 01:51:37.914,0
196,2023-01-21 01:51:38.914,8
197,2023-01-21 02:00:24.016,32
198,2023-01-21 02:00:25.016,16
199,2023-01-21 04:07:12.453,8
200,2023-01-21 14:22:06.986,16
201,2023-01-21 20:12:53.134,8
202,2023-01-21 20:25:05.065,16
203,2023-01-24 15:55:43.789,8
204,2023-01-24 16:04:40.941,16
205,2023-01-24 20:58:08.342,8
206,2023-01-24 21:06:11.276,32
207,2023-01-24 21:06:12.276,16
208,2023-01-25 00:17:20.128,8
209,2023-01-25 00:24:05.750,16
210,2023-01-25 00:24:06.750,4
211,2023-01-25 00:25:40.130,16
212,2023-01-25 10:15:17.596,0
213,2023-01-25 10:15:18.596,8
214,2023-01-25 10:21:56.180,0
215,2023-01-25 10:21:57.190,4
216,2023-01-25 10:24:33.816,16
217,2023-01-25 14:34:08.700,8
218,2023-01-25 14:46:16.619,0
219,2023-01-25 14:46:17.619,16
220,2023-01-25 16:36:19.013,8
221,2023-01-25 16:48:09.855,16
222,2023-01-25 22:22:14.000,8
223,2023-01-25 22:35:12.109,16
224,2023-01-25 22:35:13.108,4
225,2023-01-25 22:53:10.423,16
226,2023-01-26 10:41:06.273,8
227,2023-01-26 10:42:53.700,0
228,2023-01-26 10:42:54.711,16
229,2023-01-26 10:43:37.881,8
230,2023-01-26 10:49:21.253,4
231,2023-01-26 10:50:46.592,32
232,2023-01-26 10:50:47.592,16
233,2023-01-26 13:17:14.746,8
234,2023-01-26 13:24:34.497,4
235,2023-01-26 13:26:01.848,16
236,2023-01-26 16:27:36.414,8
237,2023-01-26 16:38:14.973,16
238,2023-01-26 18:15:54.387,8
239,2023-01-27 01:09:22.601,4
240,2023-01-27 01:20:48.338,16
241,2023-01-27 09:39:43.051,0
242,2023-01-27 09:39:44.051,8
243,2023-01-27 09:45:00.315,4
244,2023-01-27 09:46:25.664,16
245,2023-01-27 13:34:46.446,8
246,2023-01-27 13:53:03.831,4
247,2023-01-27 14:01:26.842,16
248,2023-01-27 19:14:59.071,8
249,2023-01-27 22:49:31.536,4
250,2023-01-28 01:18:13.220,16
251,2023-01-28 01:18:27.269,0
252,2023-01-28 01:18:28.279,4
253,2023-01-30 06:39:25.158,0
254,2023-01-30 06:39:26.170,16
255,2023-01-30 06:53:29.536,4
256,2023-01-30 07:04:21.144,16
257,2023-01-30 08:14:03.868,4
258,2023-01-30 08:14:18.927,16
259,2023-01-30 08:53:39.371,4
260,2023-01-30 08:54:03.460,16
261,2023-01-30 09:05:51.292,8
262,2023-01-30 09:16:58.963,32
263,2023-01-30 09:16:59.973,16
264,2023-01-30 17:21:56.299,8
265,2023-01-30 17:35:19.513,16
266,2023-01-30 19:30:42.190,8
267,2023-01-31 14:27:37.943,16
268,2023-01-31 14:27:38.941,4
269,2023-01-31 14:29:13.319,16
270,2023-01-31 19:24:11.076,8
271,2023-01-31 19:31:36.858,32
272,2023-01-31 19:31:38.868,16
273,2023-01-31 22:37:25.434,8
274,2023-01-31 22:45:45.437,4
275,2023-01-31 22:47:50.934,16
276,2023-02-01 06:24:40.536,8
277,2023-02-01 06:33:20.608,16
278,2023-02-01 11:09:11.799,8
279,2023-02-01 11:20:39.549,16
280,2023-02-01 13:24:47.322,4
281,2023-02-01 13:27:20.940,16
282,2023-02-01 22:03:27.762,0
283,2023-02-01 22:03:28.770,8
284,2023-02-01 22:11:23.660,4
285,2023-02-01 22:12:40.970,16
286,2023-02-02 08:47:10.211,8
287,2023-02-02 08:55:13.132,16
288,2023-02-02 15:00:34.808,8
289,2023-02-02 15:06:51.311,16
290,2023-02-02 16:43:02.381,4
291,2023-02-02 16:43:06.401,16
292,2023-02-02 16:43:38.530,4
293,2023-02-02 16:43:42.552,16
294,2023-02-02 18:31:16.348,8
295,2023-02-02 18:39:57.440,16
296,2023-02-02 18:40:01.450,4
297,2023-02-02 18:42:12.979,16
298,2023-02-02 21:29:48.184,8
299,2023-02-02 22:12:18.374,16
300,2023-02-03 01:28:25.434,0
301,2023-02-03 01:28:26.434,8
302,2023-02-03 01:38:51.934,4
303,2023-02-03 01:42:52.903,16
304,2023-02-03 23:30:44.676,8
305,2023-02-03 23:40:34.036,4
306,2023-02-03 23:42:01.377,16
307,2023-02-04 00:32:38.470,0
308,2023-02-04 00:32:38.970,16
309,2023-02-04 00:32:46.561,0
310,2023-02-04 00:33:17.690,16
311,2023-02-06 10:33:33.549,4
312,2023-02-06 10:33:56.650,8
313,2023-02-06 10:45:09.336,0
314,2023-02-06 10:45:10.336,4
315,2023-02-07 13:37:03.982,16
316,2023-02-07 15:53:56.821,4
