,time,TraceabilityCode,PressForceValueFL,time.value
108,2023-01-04 12:37:31.891,1010223004113659,29.8,2023-01-04 12:37:36.210
109,2023-01-04 12:37:39.341,1010223004113706,29.6,2023-01-04 12:37:43.640
110,2023-01-04 12:37:53.730,1010223004113721,29.3,2023-01-04 12:40:23.127
111,2023-01-04 12:40:25.016,1010223004113728,28.8,2023-01-04 12:40:29.236
112,2023-01-04 12:40:31.986,1010223004113736,29.3,2023-01-04 12:40:36.127
113,2023-01-04 12:40:39.187,1010223004113743,29.6,2023-01-04 12:40:43.387
114,2023-01-04 12:40:45.996,1010223004113750,28.8,2023-01-04 12:40:50.217
115,2023-01-04 12:40:52.776,1010223004113757,29.3,2023-01-04 12:40:57.076
116,2023-01-04 12:40:59.617,1010223004113805,29.0,2023-01-04 12:41:03.816
117,2023-01-04 12:41:13.165,1010223004114044,29.3,2023-01-04 12:41:17.394
118,2023-01-04 12:41:27.726,1010223004114058,29.8,2023-01-04 12:41:31.895
119,2023-01-04 12:41:35.055,1010223004114105,29.0,2023-01-04 12:41:56.276
120,2023-01-04 12:42:05.095,1010223004114119,29.3,2023-01-04 12:42:09.395
121,2023-01-04 12:42:12.036,1010223004114126,28.8,2023-01-04 12:42:16.213
122,2023-01-04 12:42:18.785,1010223004114134,29.6,2023-01-04 12:42:23.085
123,2023-01-04 12:42:25.654,1010223004114141,30.1,2023-01-04 12:42:29.894
124,2023-01-04 12:42:32.404,1010223004114148,29.3,2023-01-04 12:42:36.605
125,2023-01-04 12:42:39.144,1010223004114155,29.6,2023-01-04 12:42:43.335
126,2023-01-04 12:42:45.924,1010223004114216,29.0,2023-01-04 12:42:50.144
127,2023-01-04 12:42:52.744,1010223004114223,29.6,2023-01-04 12:42:56.924
128,2023-01-04 12:42:59.494,1010223004114230,29.3,2023-01-04 12:43:03.733
129,2023-01-04 12:43:13.023,1010223004114244,29.8,2023-01-04 12:43:17.263
130,2023-01-04 12:43:26.664,1010223004114258,29.6,2023-01-04 12:43:30.923
131,2023-01-04 12:43:33.434,1010223004114305,29.3,2023-01-04 12:43:37.653
132,2023-01-04 12:43:40.233,1010223004114312,29.0,2023-01-04 12:43:44.443
133,2023-01-04 12:43:47.743,1010223004114319,29.8,2023-01-04 12:43:51.901
134,2023-01-04 12:43:54.473,1010223004114326,29.3,2023-01-04 12:43:58.681
135,2023-01-04 12:44:01.273,1010223004114333,28.8,2023-01-04 12:44:05.483
136,2023-01-04 12:44:08.023,1010223004114340,29.6,2023-01-04 12:44:12.282
137,2023-01-04 12:44:15.433,1010223004114347,29.8,2023-01-04 12:44:19.663
138,2023-01-04 12:44:22.322,1010223004114354,29.3,2023-01-04 12:45:10.540
139,2023-01-04 12:45:26.272,1010223004114415,29.0,2023-01-04 12:45:30.542
140,2023-01-04 12:45:33.022,1010223004114422,29.6,2023-01-04 12:45:37.242
141,2023-01-04 12:45:39.792,1010223004114428,29.0,2023-01-04 12:45:43.970
142,2023-01-04 12:45:53.381,1010223004114443,29.3,2023-01-04 12:45:57.571
143,2023-01-04 12:46:00.151,1010223004114531,29.6,2023-01-04 12:46:04.371
144,2023-01-04 12:46:06.950,1010223004114538,28.8,2023-01-04 12:46:11.180
145,2023-01-04 12:46:13.770,1010223004114545,29.3,2023-01-04 12:46:18.061
146,2023-01-04 12:46:20.530,1010223004114552,29.6,2023-01-04 12:46:24.770
147,2023-01-04 12:46:27.331,1010223004114559,28.8,2023-01-04 12:46:31.480
148,2023-01-04 12:46:34.111,1010223004114606,29.0,2023-01-04 12:46:38.301
149,2023-01-04 12:47:01.470,1010223004114634,29.6,2023-01-04 12:47:05.740
150,2023-01-04 12:47:08.230,1010223004114641,29.3,2023-01-04 12:47:12.470
151,2023-01-04 12:47:15.000,1010223004114648,28.8,2023-01-04 12:47:19.259
152,2023-01-04 12:47:22.450,1010223004114655,29.6,2023-01-04 12:47:26.700
153,2023-01-04 12:47:36.700,1010223004114709,29.0,2023-01-04 12:47:41.019
154,2023-01-04 12:47:51.180,1010223004114723,29.6,2023-01-04 12:47:55.338
155,2023-01-04 12:48:06.119,1010223004114737,29.3,2023-01-04 12:48:10.299
156,2023-01-04 12:48:12.898,1010223004114744,29.6,2023-01-04 12:48:17.098
157,2023-01-04 12:48:19.608,1010223004114751,29.3,2023-01-04 12:48:23.898
158,2023-01-04 12:48:27.049,1010223004114758,29.6,2023-01-04 12:48:31.328
159,2023-01-04 12:48:34.578,1010223004114804,29.3,2023-01-04 12:48:38.848
160,2023-01-04 12:48:41.448,1010223004114811,29.0,2023-01-04 12:48:45.648
161,2023-01-04 12:48:48.928,1010223004114818,29.3,2023-01-04 12:48:53.178
162,2023-01-04 12:49:03.898,1010223004114832,29.0,2023-01-04 12:49:08.148
163,2023-01-04 12:49:17.538,1010223004114846,29.6,2023-01-04 12:49:21.737
164,2023-01-04 12:49:31.118,1010223004114900,29.0,2023-01-04 12:49:35.417
165,2023-01-04 12:49:38.598,1010223004114908,29.8,2023-01-04 12:49:42.778
166,2023-01-04 12:49:46.128,1010223004114915,29.3,2023-01-04 12:49:50.296
167,2023-01-04 12:49:52.987,1010223004114922,29.0,2023-01-04 12:49:57.177
168,2023-01-04 12:50:00.427,1010223004114930,29.6,2023-01-04 12:50:04.617
169,2023-01-04 12:50:07.937,1010223004114937,29.3,2023-01-04 12:50:12.217
170,2023-01-04 12:50:14.808,1010223004114944,29.0,2023-01-04 12:50:19.017
171,2023-01-04 12:50:22.237,1010223004114951,29.3,2023-01-04 12:50:26.457
172,2023-01-04 12:50:29.757,1010223004114958,29.6,2023-01-04 12:50:33.976
173,2023-01-04 12:50:36.677,1010223004115005,28.8,2023-01-04 12:50:40.858
174,2023-01-04 12:50:44.086,1010223004115012,29.6,2023-01-04 12:50:48.296
175,2023-01-04 12:50:51.617,1010223004115019,29.0,2023-01-04 12:50:55.805
176,2023-01-04 12:51:05.957,1010223004115034,28.8,2023-01-04 12:51:10.127
177,2023-01-04 12:51:12.756,1010223004115041,29.6,2023-01-04 12:51:17.016
178,2023-01-04 12:51:20.286,1010223004115049,29.3,2023-01-04 12:51:24.467
179,2023-01-04 12:51:27.026,1010223004115056,29.0,2023-01-04 12:51:31.326
180,2023-01-04 12:51:34.496,1010223004115103,29.6,2023-01-04 12:51:38.776
181,2023-01-04 12:51:42.036,1010223004115110,29.3,2023-01-04 12:51:46.226
182,2023-01-04 12:51:56.375,1010223004115124,29.6,2023-01-04 12:52:00.545
183,2023-01-04 12:52:03.226,1010223004115132,29.3,2023-01-04 12:52:07.505
184,2023-01-04 12:52:32.605,1010223004115200,29.0,2023-01-04 12:52:36.795
185,2023-01-04 12:52:40.006,1010223004115207,29.6,2023-01-04 12:52:44.234
186,2023-01-04 12:52:47.545,1010223004115215,29.3,2023-01-04 12:52:51.734
187,2023-01-04 12:52:54.444,1010223004115222,29.0,2023-01-04 12:52:58.704
188,2023-01-04 12:53:01.184,1010223004115229,29.6,2023-01-04 12:53:05.414
189,2023-01-04 12:53:15.434,1010223004115244,29.0,2023-01-04 12:53:19.743
190,2023-01-04 12:53:22.934,1010223004115252,29.6,2023-01-04 12:53:27.104
191,2023-01-04 12:53:30.463,1010223004115259,29.8,2023-01-04 12:53:34.694
192,2023-01-04 12:53:37.323,1010223004115306,28.8,2023-01-04 12:53:41.503
193,2023-01-04 12:53:44.023,1010223004115313,29.6,2023-01-04 12:53:48.292
194,2023-01-04 12:53:58.424,1010223004115328,29.0,2023-01-04 12:54:02.604
195,2023-01-04 12:54:12.653,1010223004115342,29.6,2023-01-04 12:55:09.822
196,2023-01-04 12:55:11.983,1010223004115349,28.8,2023-01-04 12:55:16.131
197,2023-01-04 12:55:25.542,1010223004115403,29.6,2023-01-04 12:55:29.822
198,2023-01-04 12:55:32.391,1010223004115410,29.0,2023-01-04 12:55:36.621
199,2023-01-04 12:55:39.232,1010223004115417,29.3,2023-01-04 12:55:43.440
200,2023-01-04 12:55:46.111,1010223004115425,29.8,2023-01-04 12:55:50.381
201,2023-01-04 12:55:52.911,1010223004115432,29.3,2023-01-04 12:55:57.111
202,2023-01-04 12:55:59.671,1010223004115530,29.0,2023-01-04 12:56:03.901
203,2023-01-04 12:56:06.482,1010223004115537,29.3,2023-01-04 12:56:10.782
204,2023-01-04 12:56:20.641,1010223004115551,29.0,2023-01-04 12:56:24.859
205,2023-01-04 12:56:27.851,1010223004115558,29.6,2023-01-04 12:56:32.059
