manager,player_name,team,photo,player_id
Ali,Antony,MUN,467169,2
Ali,Koulibaly,CHE,86129,2
Ali,Luis Díaz,LIV,244731,2
Ali,Maddison,LEI,172780,2
Ali,Aurier,NFO,80226,2
Ali,Azpilicueta,CHE,41328,2
Youssef,Jensen,BRE,207283,2
Youssef,Podence,WOL,200600,2
Youssef,Jorginho,ARS,85955,2
Ali,Douglas Luiz,AVL,230046,2
Shrey,Wilson,NEW,75115,2
Santi,Xhaka,ARS,84450,2
Shrey,Firmino,LIV,92217,2
Ali,Digne,AVL,101188,2
Youssef,Pinnock,BRE,231065,2
Youssef,Ings,WHU,84939,2
Sami,Martial,MUN,148225,2
Santi,Ward,CRY,55494,2
Ruslan,Ramsey,AVL,232653,2
Ruslan,Romero,TOT,221632,2
Ruslan,Salah,LIV,118748,2
Santi,Bueno,WOL,490721,2
Youssef,Chilwell,CHE,172850,2
Ruslan,Sterling,CHE,103955,2
Ruslan,Struijk,LEE,222694,2
Youssef,Castagne,LEI,166477,2
Ruslan,Ward-Prowse,SOU,101178,2
Sami,Zaha,CRY,82403,2
Sami,Willian,FUL,47431,2
Youssef,Awoniyi,NFO,210156,2
Sami,Semedo,WOL,200402,2
Youssef,Aurier,NFO,80226,2
Sami,Eze,CRY,232413,2
Sami,Harrison,LEE,221399,2
Sami,Iheanacho,LEI,173515,2
Youssef,Amartey,LEI,155569,2
Sami,Jesus,ARS,205651,2
Sami,Mahrez,MCI,103025,2
Ali,Sánchez,TOT,173904,2
Santi,Coleman,EVE,59949,2
Santi,McNeil,EVE,433154,2
Ruslan,Cucurella,CHE,179268,2
Santi,Tete,FUL,167074,2
Ali,Tete,FUL,167074,2
Santi,Senesi,BOU,221466,2
Santi,Sancho,MUN,209243,2
Santi,Sabitzer,MUN,101338,2
Ali,Tielemans,LEI,166989,2
Santi,Pedro Porro,TOT,441164,2
Sami,Malacia,MUN,222690,2
Youssef,Davies,TOT,115556,2
Sami,De Cordova-Reid,FUL,96994,2
Santi,Koulibaly,CHE,86129,2
Santi,Kelly,BOU,235530,2
Ruslan,D.D.Fofana,CHE,520295,2
Ruslan,Darwin,LIV,447203,2
Santi,Jensen,BRE,207283,2
Youssef,Eriksen,MUN,80607,2
Ruslan,Faes,LEI,218218,2
Youssef,Bowen,WHU,178186,1
Shrey,Weghorst,MUN,120202,1
Youssef,Bamford,LEE,106617,1
Youssef,Sinisterra,LEE,224995,1
Youssef,Toti,WOL,510362,1
Yahya,Chilwell,CHE,172850,1
Youssef,Danilo,NFO,513046,1
Ali,A.Armstrong,SOU,155511,1
Shrey,Alonso,CHE,82263,1
Santi,Wissa,BRE,216646,1
Ali,Martial,MUN,148225,1
Ali,Nelson,ARS,200641,1
Ali,Neto,BOU,69752,1
Ali,Ouattara,BOU,533463,1
Ali,Rodri,MCI,220566,1
Ali,Sancho,MUN,209243,1
Ali,Scamacca,WHU,195899,1
Dani,Mitoma,BHA,451340,1
Ruslan,Eriksen,MUN,80607,1
Ruslan,Grealish,MCI,114283,1
Ruslan,Kanté,CHE,116594,1
Ruslan,Kiwior,ARS,440854,1
Ruslan,Martínez,MUN,221820,1
Ruslan,Moore,BOU,128340,1
Ruslan,Mount,CHE,184341,1
Ali,Lewis,MCI,477064,1
Ali,Kulusevski,TOT,445044,1
Ali,Kehrer,WHU,201057,1
Ali,Elanga,MUN,449434,1
Ali,Arrizabalaga,CHE,109745,1
Ali,Barnes,LEI,201666,1
Ali,Bentancur,TOT,202993,1
Ali,Buendía,AVL,195546,1
Ali,Doherty,TOT,87835,1
Ali,Dunk,BHA,83299,1
Ali,Elliott,LIV,444884,1
Ali,Johnstone,CRY,101982,1
Ali,Estupiñán,BHA,204214,1
Ali,Garnacho,MUN,493105,1
Ali,Gibbs-White,NFO,222531,1
Ali,Gray,EVE,172632,1
Ali,Guéhi,CRY,209036,1
Ali,Holding,ARS,156074,1
Ruslan,Mudryk,CHE,465920,1
Ruslan,Mykolenko,EVE,224967,1
Ruslan,Pinnock,BRE,231065,1
Santi,Martínez,AVL,98980,1
Santi,Billing,BOU,168991,1
Santi,Enzo,CHE,448047,1
Santi,Gomez,LIV,171287,1
Santi,Iwobi,EVE,153133,1
Santi,J.Ayew,CRY,80146,1
Santi,Johnson,NFO,242898,1
Santi,Murphy,NEW,114243,1
Sami,Álex Moreno,AVL,106468,1
Santi,Neves,WOL,171317,1
Santi,Olise,CRY,443661,1
Santi,Ortega,MCI,88248,1
Santi,Richarlison,TOT,212319,1
Santi,Toney,BRE,144485,1
Santi,Wilson,FUL,153682,1
Santi,Aguerd,WHU,210494,1
Sami,Rice,WHU,204480,1
Ruslan,Schär,NEW,119471,1
Sami,Gibbs-White,NFO,222531,1
Ruslan,Tielemans,LEI,166989,1
Ruslan,Watkins,AVL,178301,1
Sami,Cash,AVL,199796,1
Sami,Chilwell,CHE,172850,1
Sami,Dier,TOT,93264,1
Sami,Eriksen,MUN,80607,1
Sami,Iwobi,EVE,153133,1
Sami,R.Sessegnon,TOT,184349,1
Sami,Mac Allister,BHA,243016,1
Sami,Madueke,CHE,248857,1
Sami,March,BHA,109345,1
Sami,Nørgaard,BRE,128295,1
Sami,Ouattara,BOU,533463,1
Sami,Pedro Porro,TOT,441164,1
Sami,Murphy,NEW,114243,1
