,time,TraceabilityCode,Defect
160,2023-03-08 00:04:42,1010223066225841,Pęknięcie (cracks)
161,2023-03-08 00:04:34,1010223066225834,Pęknięcie (cracks)
162,2023-03-08 00:04:25,1010223066225827,Pęknięcie (cracks)
163,2023-03-06 19:42:38,1010123065183944,Błąd materiału (meterial failure)
164,2023-03-04 00:49:56,1010223062234525,Przeciągnięcie (thinning)
165,2023-03-04 00:48:15,1010223062233507,Przeciągnięcie (thinning)
166,2023-03-04 00:48:07,1010223062233354,Przeciągnięcie (thinning)
167,2023-03-04 00:36:42,1010223062232733,Przeciągnięcie (thinning)
168,2023-03-04 00:36:35,1010223062232714,Przeciągnięcie (thinning)
169,2023-03-04 00:36:29,1010223062232706,Przeciągnięcie (thinning)
170,2023-03-04 00:35:43,1010223062232501,Wgniot (dent)
171,2023-03-04 00:35:37,1010223062232453,Wgniot (dent)
172,2023-03-04 00:35:29,1010223062232445,Odciśnięte miejsce (marks)
173,2023-03-04 00:35:16,1010223062230107,Odciśnięte miejsce (marks)
174,2023-03-04 00:35:09,1010223062225408,Odciśnięte miejsce (marks)
175,2023-03-03 13:00:09,1010123062115755,Deformacja (deformation)
176,2023-03-03 13:00:00,1010123062115746,Deformacja (deformation)
177,2023-03-03 12:59:52,1010123062115737,Deformacja (deformation)
178,2023-03-03 12:59:47,1010123062115728,Deformacja (deformation)
179,2023-03-03 12:59:29,1010123062115719,Deformacja (deformation)
180,2023-03-03 12:57:57,1010123062115533,Błąd materiału (meterial failure)
181,2023-03-03 12:57:50,1010123062115524,Błąd materiału (meterial failure)
182,2023-02-28 01:49:47,1010123059004600,Przeciągnięcie (thinning)
183,2023-02-28 01:49:40,1010123059004552,Przeciągnięcie (thinning)
184,2023-02-28 01:49:34,1010123059004543,Przeciągnięcie (thinning)
185,2023-02-28 01:49:27,1010123059004535,Przeciągnięcie (thinning)
186,2023-02-28 01:49:21,1010123059004527,Przeciągnięcie (thinning)
187,2023-02-28 01:49:12,1010123059004519,Przeciągnięcie (thinning)
188,2023-02-27 23:14:52,1010123058221220,Odciśnięte miejsce (marks)
189,2023-02-17 12:52:55,1010223048113401,Odciśnięte miejsce (marks)
190,2023-02-17 11:01:29,1010123048095932,Pikos (marks/contamination)
