time;TraceabilityCode;TotalPressForceValue;time.value
2023-01-04 15:59:50.220 CET;1010123004145910;28,9;2023-01-04 15:59:54.690 CET
2023-01-04 15:59:57.591 CET;1010123004145918;28,7;2023-01-04 16:00:02.111 CET
2023-01-04 16:00:05.040 CET;1010123004145925;29;2023-01-04 16:00:09.460 CET
2023-01-04 16:00:12.450 CET;1010123004145933;28,7;2023-01-04 16:00:16.901 CET
2023-01-04 16:00:19.871 CET;1010123004145940;28,8;2023-01-04 16:00:24.371 CET
2023-01-04 16:00:27.270 CET;1010123004145948;28,6;2023-01-04 16:00:31.730 CET
2023-01-04 16:00:34.680 CET;1010123004145955;28,9;2023-01-04 16:00:39.091 CET
2023-01-04 16:00:42.121 CET;1010123004150002;28,8;2023-01-04 16:00:46.611 CET
2023-01-04 16:00:49.510 CET;1010123004150010;28,7;2023-01-04 16:00:53.950 CET
2023-01-04 16:01:12.809 CET;1010123004150039;28,8;2023-01-04 16:01:17.249 CET
2023-01-04 16:01:20.130 CET;1010123004150046;28,6;2023-01-04 16:01:24.688 CET
2023-01-04 16:01:27.569 CET;1010123004150053;28,8;2023-01-04 16:01:31.969 CET
2023-01-04 16:05:01.326 CET;1010123004150136;28,7;2023-01-04 16:05:05.907 CET
2023-01-04 16:05:08.726 CET;1010123004150143;28,6;2023-01-04 16:05:13.256 CET
2023-01-04 16:06:23.966 CET;1010123004150212;28,4;2023-01-04 16:09:19.691 CET
2023-01-04 16:09:26.171 CET;1010123004150427;28,5;2023-01-04 16:09:30.680 CET
2023-01-04 16:09:43.002 CET;1010123004150509;28,4;2023-01-04 16:09:47.500 CET
2023-01-04 16:14:47.677 CET;1010123004150909;28,5;2023-01-04 16:14:52.155 CET
2023-01-04 16:14:55.486 CET;1010123004150917;28,4;2023-01-04 16:15:00.065 CET
2023-01-04 16:15:10.186 CET;1010123004151147;28,2;2023-01-04 16:15:14.595 CET
2023-01-04 16:15:17.496 CET;1010123004151154;28,4;2023-01-04 16:15:21.865 CET
2023-01-04 16:15:24.756 CET;1010123004151435;28,5;2023-01-04 16:15:29.246 CET
2023-01-04 16:15:32.085 CET;1010123004151449;28,4;2023-01-04 16:15:36.536 CET
2023-01-04 16:15:54.214 CET;1010123004151513;28,2;2023-01-04 16:15:58.734 CET
