time;PressMode
2023-02-21 17:38:03.709 CET;16
2023-02-21 20:31:24.305 CET;0
2023-02-21 20:31:25.303 CET;8
2023-02-21 20:37:35.788 CET;4
2023-02-21 20:42:21.934 CET;16
2023-02-22 01:27:19.213 CET;4
2023-02-22 03:46:22.555 CET;16
2023-02-22 06:43:40.065 CET;8
2023-02-22 06:49:01.348 CET;4
2023-02-22 06:50:39.739 CET;16
2023-02-22 15:22:39.507 CET;0
2023-02-22 15:22:40.517 CET;8
2023-02-22 15:30:01.270 CET;0
2023-02-22 15:30:02.280 CET;4
2023-02-22 15:35:05.486 CET;16
2023-02-22 19:49:03.391 CET;32
2023-02-22 19:49:04.400 CET;8
2023-02-22 19:57:28.410 CET;32
2023-02-22 19:57:29.410 CET;4
2023-02-22 20:09:17.239 CET;16
2023-02-23 03:14:56.302 CET;0
2023-02-23 03:14:57.302 CET;8
2023-02-23 03:21:52.964 CET;4
2023-02-23 03:24:31.602 CET;16
2023-02-23 06:13:28.108 CET;4
2023-02-23 06:15:04.494 CET;16
2023-02-23 06:17:05.983 CET;4
2023-02-23 06:17:13.013 CET;16
2023-02-23 08:40:07.451 CET;16
2023-02-23 08:57:24.153 CET;16
2023-02-23 08:58:15.982 CET;16
2023-02-23 09:15:19.553 CET;16
2023-02-23 09:16:39.983 CET;16
2023-02-23 09:17:14.322 CET;16
2023-02-23 09:17:29.262 CET;16
2023-02-23 09:20:51.835 CET;16
2023-02-23 09:34:18.069 CET;16
2023-02-23 09:35:50.688 CET;16
2023-02-23 09:40:17.328 CET;16
2023-02-23 09:40:50.605 CET;16
2023-02-23 09:43:04.209 CET;16
2023-02-23 09:43:41.559 CET;16
2023-02-23 09:51:29.756 CET;16
2023-02-23 09:51:29.808 CET;16
2023-02-23 10:14:47.973 CET;16
2023-02-23 10:14:48.026 CET;16
2023-02-23 10:18:52.957 CET;0
2023-02-23 10:18:53.957 CET;8
2023-02-23 10:27:07.941 CET;4
2023-02-23 10:29:49.588 CET;16
2023-02-23 11:02:59.029 CET;16
2023-02-23 11:02:59.081 CET;16
2023-02-23 11:05:06.588 CET;16
2023-02-23 11:05:06.638 CET;16
2023-02-23 11:06:18.926 CET;16
2023-02-23 11:06:18.976 CET;16
2023-02-23 11:06:39.595 CET;16
2023-02-23 11:06:39.647 CET;16
2023-02-23 13:00:23.191 CET;16
2023-02-23 13:00:23.243 CET;16
2023-02-23 14:47:18.357 CET;16
2023-02-23 14:47:18.407 CET;16
2023-02-23 14:55:11.005 CET;16
2023-02-23 15:00:12.484 CET;16
2023-02-23 15:01:54.526 CET;16
2023-02-23 15:07:58.368 CET;16
2023-02-23 15:16:02.418 CET;16
2023-02-23 15:49:35.250 CET;8
2023-02-23 15:55:51.752 CET;4
2023-02-23 15:55:59.780 CET;0
2023-02-23 15:56:00.790 CET;8
2023-02-23 15:57:52.240 CET;4
2023-02-23 16:07:15.489 CET;16
2023-02-23 22:37:04.976 CET;8
2023-02-23 22:48:16.654 CET;0
2023-02-23 22:48:17.664 CET;4
2023-02-23 22:51:00.313 CET;16
2023-02-23 23:05:05.687 CET;0
2023-02-23 23:05:06.698 CET;4
2023-02-23 23:05:14.727 CET;16
2023-02-23 23:12:11.392 CET;4
2023-02-23 23:12:29.461 CET;16
2023-02-24 00:35:50.447 CET;4
2023-02-24 00:36:32.615 CET;16
2023-02-24 00:36:48.686 CET;4
2023-02-24 00:40:09.492 CET;16
2023-02-24 00:49:23.701 CET;4
2023-02-24 00:50:06.871 CET;16
2023-02-24 00:50:36.990 CET;4
2023-02-24 00:50:45.019 CET;16
2023-02-24 00:50:53.049 CET;4
2023-02-24 00:50:57.071 CET;0
2023-02-24 00:50:58.069 CET;16
2023-02-24 00:51:07.109 CET;4
2023-02-24 00:51:15.141 CET;16
2023-02-24 06:41:47.203 CET;0
2023-02-24 06:41:48.213 CET;4
2023-02-24 06:42:57.483 CET;16
2023-02-24 07:01:44.996 CET;4
2023-02-24 07:02:27.157 CET;16
2023-02-24 08:40:41.717 CET;4
2023-02-24 08:40:54.776 CET;16
2023-02-24 08:42:45.214 CET;8
2023-02-24 08:53:36.825 CET;4
2023-02-24 09:33:28.381 CET;16
2023-02-24 11:57:36.944 CET;8
2023-02-24 12:05:18.788 CET;4
2023-02-24 12:06:49.155 CET;16
2023-02-24 19:15:03.846 CET;32
2023-02-24 19:15:04.857 CET;8
2023-02-24 19:22:52.720 CET;0
2023-02-24 19:22:53.730 CET;4
2023-02-24 19:24:31.117 CET;16
2023-02-24 20:18:23.028 CET;8
2023-02-24 23:26:30.138 CET;4
2023-02-24 23:42:08.884 CET;16
2023-02-24 23:43:31.213 CET;4
2023-02-24 23:43:35.233 CET;16
2023-02-24 23:44:05.354 CET;4
2023-02-24 23:44:12.382 CET;16
2023-02-25 01:29:23.609 CET;4
2023-02-25 01:29:32.640 CET;16
2023-02-25 01:29:54.730 CET;4
2023-02-25 02:57:15.683 CET;16
2023-02-25 02:57:41.782 CET;4
2023-02-25 03:04:25.397 CET;16
2023-02-25 03:04:52.506 CET;4
2023-02-25 03:11:05.002 CET;16
2023-02-25 03:11:19.051 CET;0
2023-02-25 03:11:20.062 CET;4
2023-02-26 00:21:47.661 CET;64
2023-02-26 01:05:19.101 CET;0
2023-02-26 01:05:20.101 CET;4
2023-02-26 04:47:26.352 CET;0
2023-02-26 04:47:27.352 CET;64
2023-02-27 02:33:44.519 CET;4
2023-02-27 06:34:18.193 CET;16
2023-02-27 07:23:52.075 CET;4
2023-02-27 07:24:09.147 CET;16
2023-02-27 08:10:09.171 CET;4
2023-02-27 08:10:28.252 CET;16
2023-02-27 08:41:12.520 CET;16
2023-02-27 08:43:58.278 CET;4
2023-02-27 08:45:47.714 CET;16
2023-02-27 12:14:26.729 CET;4
2023-02-27 12:14:39.778 CET;16
2023-02-27 13:07:22.209 CET;4
2023-02-27 13:07:25.219 CET;16
2023-02-27 13:14:16.841 CET;4
2023-02-27 13:14:38.928 CET;8
2023-02-27 13:20:29.319 CET;0
2023-02-27 13:20:30.319 CET;4
2023-02-27 14:17:26.890 CET;16
2023-02-27 17:41:58.260 CET;8
2023-02-27 17:49:59.193 CET;4
2023-02-27 17:52:50.894 CET;16
2023-02-27 21:43:22.157 CET;32
2023-02-27 21:43:23.167 CET;8
2023-02-27 21:52:44.408 CET;4
2023-02-27 22:14:32.637 CET;16
2023-02-28 00:49:16.721 CET;0
2023-02-28 00:49:17.732 CET;8
2023-02-28 00:55:51.293 CET;4
2023-02-28 01:06:25.832 CET;16
2023-02-28 06:20:03.035 CET;8
2023-02-28 06:30:17.487 CET;16
2023-02-28 06:30:18.496 CET;4
2023-02-28 06:31:17.736 CET;16
2023-02-28 10:39:03.128 CET;32
2023-02-28 10:39:04.138 CET;8
2023-02-28 11:29:17.174 CET;4
2023-02-28 12:01:40.948 CET;16
2023-02-28 17:02:38.105 CET;4
2023-02-28 17:03:13.243 CET;16
2023-02-28 17:04:25.532 CET;4
2023-02-28 17:06:19.990 CET;0
2023-02-28 17:06:21.000 CET;16
2023-02-28 18:12:41.892 CET;4
2023-02-28 18:13:26.062 CET;0
2023-02-28 18:13:29.072 CET;1
2023-02-28 18:14:19.270 CET;0
2023-02-28 18:14:20.280 CET;4
2023-02-28 18:15:01.450 CET;16
2023-02-28 19:05:48.621 CET;0
2023-02-28 19:05:49.631 CET;8
2023-02-28 19:19:47.977 CET;4
2023-02-28 19:24:20.063 CET;16
