time;TraceabilityCode;CushionPumpMaxPower3;time.value
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 14:49:07.213 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 14:49:25.463 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 14:50:01.944 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 14:50:11.065 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 14:51:32.907 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 14:52:00.348 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 14:52:09.470 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 14:52:18.579 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 14:52:55.079 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 14:53:04.118 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 14:53:22.269 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 14:53:31.309 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 14:54:25.789 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 14:54:34.928 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 14:54:44.118 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 14:54:53.148 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 14:55:02.187 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 14:55:20.427 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 14:56:15.075 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 14:56:24.197 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 14:58:04.115 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 14:58:22.194 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 14:59:25.963 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,5;2023-02-22 14:59:35.082 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 14:59:44.193 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 14:59:53.243 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 15:00:29.552 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 15:00:38.601 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 15:01:15.000 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 15:01:51.160 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 15:02:00.289 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 15:02:09.309 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 15:02:18.440 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 15:02:27.470 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 15:02:36.510 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 15:02:54.759 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 15:03:03.888 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 15:03:31.078 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 15:03:40.289 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 15:03:58.447 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 15:04:25.717 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 15:05:11.246 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 15:05:20.187 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 15:05:56.516 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 15:06:05.556 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 15:06:14.605 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 15:06:23.724 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 15:06:32.845 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 15:06:51.246 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 15:07:36.434 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 15:07:45.563 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 15:08:21.713 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 15:08:48.921 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 15:09:16.532 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 15:09:34.532 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 15:09:52.772 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 15:10:01.801 CET
