time;TraceabilityCode;PressForceValueFL;time.value
2023-01-04 15:26:49.016 CET;1010123004142609;26,1;2023-01-04 15:26:53.546 CET
2023-01-04 15:26:56.467 CET;1010123004142617;27,4;2023-01-04 15:27:00.885 CET
2023-01-04 15:27:03.967 CET;1010123004142624;25,8;2023-01-04 15:27:08.486 CET
2023-01-04 15:27:11.387 CET;1010123004142632;26,9;2023-01-04 15:27:15.835 CET
2023-01-04 15:27:18.627 CET;1010123004142639;27,4;2023-01-04 15:27:23.155 CET
2023-01-04 15:27:26.026 CET;1010123004142646;26,9;2023-01-04 15:27:30.496 CET
2023-01-04 15:27:33.427 CET;1010123004142654;27,7;2023-01-04 15:27:37.867 CET
2023-01-04 15:27:40.736 CET;1010123004142701;27,4;2023-01-04 15:27:45.226 CET
2023-01-04 15:27:55.696 CET;1010123004142716;26,9;2023-01-04 15:28:00.154 CET
2023-01-04 15:28:03.046 CET;1010123004142723;27,4;2023-01-04 15:28:07.446 CET
2023-01-04 15:28:10.476 CET;1010123004142731;26,6;2023-01-04 15:28:14.984 CET
2023-01-04 15:28:17.766 CET;1010123004142738;27,2;2023-01-04 15:28:22.265 CET
2023-01-04 15:28:39.786 CET;1010123004142800;26,6;2023-01-04 15:28:44.234 CET
2023-01-04 15:28:54.714 CET;1010123004142815;26,9;2023-01-04 15:28:59.144 CET
2023-01-04 15:29:02.154 CET;1010123004142823;26,6;2023-01-04 15:29:06.595 CET
2023-01-04 15:29:09.484 CET;1010123004142830;27,2;2023-01-04 15:29:13.954 CET
2023-01-04 15:29:16.865 CET;1010123004142837;26,4;2023-01-04 15:29:21.392 CET
2023-01-04 15:29:24.203 CET;1010123004142845;27,4;2023-01-04 15:29:28.663 CET
2023-01-04 15:29:31.624 CET;1010123004142852;27,2;2023-01-04 15:29:36.153 CET
2023-01-04 15:29:38.963 CET;1010123004142859;26,6;2023-01-04 15:29:43.513 CET
2023-01-04 15:29:46.354 CET;1010123004142907;27,2;2023-01-04 15:29:50.823 CET
2023-01-04 15:29:53.713 CET;1010123004142914;26,9;2023-01-04 15:29:58.183 CET
2023-01-04 15:30:01.144 CET;1010123004142921;27,7;2023-01-04 15:30:05.533 CET
2023-01-04 15:30:08.434 CET;1010123004142929;27,4;2023-01-04 15:30:12.892 CET
2023-01-04 15:30:23.312 CET;1010123004142944;26,4;2023-01-04 15:30:27.752 CET
2023-01-04 15:30:30.763 CET;1010123004142951;27,2;2023-01-04 15:30:35.191 CET
2023-01-04 15:30:45.612 CET;1010123004143006;26,6;2023-01-04 15:30:50.112 CET
2023-01-04 15:30:52.943 CET;1010123004143013;27,2;2023-01-04 15:30:57.381 CET
2023-01-04 15:31:07.743 CET;1010123004143028;27,4;2023-01-04 15:31:12.171 CET
2023-01-04 15:31:15.193 CET;1010123004143035;26,9;2023-01-04 15:31:19.601 CET
2023-01-04 15:31:22.451 CET;1010123004143043;27,7;2023-01-04 15:31:26.961 CET
