time;TraceabilityCode;PressForceValueRL;time.value
2023-01-04 15:30:38.193 CET;1010123004142959;28,5;2023-01-04 15:30:42.671 CET
2023-01-04 15:30:45.612 CET;1010123004143006;28,8;2023-01-04 15:30:50.112 CET
2023-01-04 15:30:52.943 CET;1010123004143013;28,2;2023-01-04 15:30:57.381 CET
2023-01-04 15:31:07.743 CET;1010123004143028;28,5;2023-01-04 15:31:12.171 CET
2023-01-04 15:31:15.193 CET;1010123004143035;28,8;2023-01-04 15:31:19.601 CET
2023-01-04 15:31:22.451 CET;1010123004143043;28,5;2023-01-04 15:31:26.961 CET
2023-01-04 15:31:44.681 CET;1010123004143105;28;2023-01-04 15:31:49.151 CET
2023-01-04 15:31:52.101 CET;1010123004143113;28,2;2023-01-04 15:31:56.582 CET
2023-01-04 15:31:59.461 CET;1010123004143120;28;2023-01-04 15:32:03.921 CET
2023-01-04 15:32:06.911 CET;1010123004143127;28,2;2023-01-04 15:32:11.292 CET
2023-01-04 15:32:14.332 CET;1010123004143135;28,5;2023-01-04 15:32:18.762 CET
2023-01-04 15:32:21.710 CET;1010123004143142;28,2;2023-01-04 15:32:26.190 CET
2023-01-04 15:32:29.200 CET;1010123004143149;28;2023-01-04 15:32:33.710 CET
2023-01-04 15:32:36.540 CET;1010123004143157;28,2;2023-01-04 15:32:40.990 CET
2023-01-04 15:47:36.776 CET;1010123004143212;27,4;2023-01-04 15:47:42.585 CET
2023-01-04 15:47:44.696 CET;1010123004143227;27,7;2023-01-04 15:47:49.134 CET
2023-01-04 15:47:59.734 CET;1010123004143234;27,2;2023-01-04 15:48:04.164 CET
2023-01-04 15:48:12.974 CET;1010123004143241;27,4;2023-01-04 15:48:17.365 CET
2023-01-04 15:48:43.335 CET;1010123004144726;28;2023-01-04 15:48:47.765 CET
2023-01-04 15:49:42.683 CET;1010123004144736;27,7;2023-01-04 15:49:47.121 CET
2023-01-04 15:49:57.602 CET;1010123004144810;28;2023-01-04 15:50:02.111 CET
2023-01-04 15:50:19.842 CET;1010123004144847;27,4;2023-01-04 15:50:24.262 CET
2023-01-04 15:50:27.111 CET;1010123004144948;28;2023-01-04 15:50:31.561 CET
2023-01-04 15:50:34.482 CET;1010123004144955;27,7;2023-01-04 15:50:38.992 CET
2023-01-04 15:50:41.961 CET;1010123004145002;28;2023-01-04 15:50:46.361 CET
2023-01-04 15:50:49.391 CET;1010123004145010;27,4;2023-01-04 15:50:53.782 CET
2023-01-04 15:50:56.792 CET;1010123004145017;28;2023-01-04 15:51:01.211 CET
2023-01-04 15:51:11.601 CET;1010123004145032;27,7;2023-01-04 15:51:16.121 CET
2023-01-04 15:51:19.052 CET;1010123004145039;28;2023-01-04 15:51:23.480 CET
2023-01-04 15:51:26.301 CET;1010123004145047;27,4;2023-01-04 15:51:30.839 CET
2023-01-04 15:51:33.760 CET;1010123004145054;28,2;2023-01-04 15:51:38.190 CET
2023-01-04 15:51:48.510 CET;1010123004145109;27,7;2023-01-04 15:51:52.901 CET
2023-01-04 15:51:55.901 CET;1010123004145116;28;2023-01-04 15:52:00.450 CET
2023-01-04 15:52:03.341 CET;1010123004145124;28,2;2023-01-04 15:52:07.809 CET
2023-01-04 15:52:10.720 CET;1010123004145131;28,5;2023-01-04 15:52:15.170 CET
2023-01-04 15:52:18.040 CET;1010123004145139;28,2;2023-01-04 15:52:22.578 CET
2023-01-04 15:52:32.819 CET;1010123004145153;28,5;2023-01-04 15:52:37.219 CET
2023-01-04 15:52:40.200 CET;1010123004145201;28,2;2023-01-04 15:52:44.688 CET
2023-01-04 15:52:47.549 CET;1010123004145208;28;2023-01-04 15:52:52.049 CET
2023-01-04 15:52:55.148 CET;1010123004145215;28,5;2023-01-04 15:52:59.648 CET
2023-01-04 15:53:09.838 CET;1010123004145230;28,2;2023-01-04 15:53:14.259 CET
2023-01-04 15:53:17.249 CET;1010123004145238;28;2023-01-04 15:53:21.688 CET
2023-01-04 15:53:32.098 CET;1010123004145252;28,5;2023-01-04 15:53:36.598 CET
2023-01-04 15:53:39.479 CET;1010123004145300;28,8;2023-01-04 15:53:43.969 CET
2023-01-04 15:53:47.069 CET;1010123004145307;27,7;2023-01-04 15:53:51.486 CET
2023-01-04 15:53:54.398 CET;1010123004145315;28;2023-01-04 15:53:58.917 CET
2023-01-04 15:54:01.818 CET;1010123004145322;28,2;2023-01-04 15:54:06.286 CET
2023-01-04 15:54:09.227 CET;1010123004145329;28,5;2023-01-04 15:54:13.717 CET
2023-01-04 15:54:16.638 CET;1010123004145337;28,2;2023-01-04 15:54:21.058 CET
2023-01-04 15:54:24.148 CET;1010123004145344;28;2023-01-04 15:54:28.598 CET
2023-01-04 15:54:31.628 CET;1010123004145352;28,5;2023-01-04 15:54:36.127 CET
2023-01-04 15:54:38.967 CET;1010123004145359;28;2023-01-04 15:54:43.407 CET
2023-01-04 15:54:46.247 CET;1010123004145407;27,7;2023-01-04 15:54:50.766 CET
2023-01-04 15:54:53.786 CET;1010123004145414;28;2023-01-04 15:54:58.276 CET
2023-01-04 15:55:15.996 CET;1010123004145436;28,2;2023-01-04 15:55:20.426 CET
2023-01-04 15:55:30.826 CET;1010123004145451;28,5;2023-01-04 15:55:35.335 CET
2023-01-04 15:55:38.226 CET;1010123004145459;28,2;2023-01-04 15:55:42.686 CET
2023-01-04 15:55:45.607 CET;1010123004145506;28;2023-01-04 15:55:50.035 CET
