,time,TraceabilityCode,PressForceValueRR,time.value
212,2023-01-04 15:53:09.838,1010123004145230,32.0,2023-01-04 15:53:14.259
213,2023-01-04 15:53:17.249,1010123004145238,31.4,2023-01-04 15:53:21.688
214,2023-01-04 15:53:24.578,1010123004145245,31.2,2023-01-04 15:53:28.979
215,2023-01-04 15:53:32.098,1010123004145252,31.4,2023-01-04 15:53:36.598
216,2023-01-04 15:53:39.479,1010123004145300,31.7,2023-01-04 15:53:43.969
217,2023-01-04 15:53:47.069,1010123004145307,31.2,2023-01-04 15:53:51.486
218,2023-01-04 15:53:54.398,1010123004145315,32.0,2023-01-04 15:53:58.917
219,2023-01-04 15:54:01.818,1010123004145322,31.7,2023-01-04 15:54:06.286
220,2023-01-04 15:54:09.227,1010123004145329,31.4,2023-01-04 15:54:13.717
221,2023-01-04 15:54:16.638,1010123004145337,32.2,2023-01-04 15:54:21.058
222,2023-01-04 15:54:24.148,1010123004145344,32.5,2023-01-04 15:54:28.598
223,2023-01-04 15:54:38.967,1010123004145359,33.0,2023-01-04 15:54:43.407
224,2023-01-04 15:54:46.247,1010123004145407,32.8,2023-01-04 15:54:50.766
225,2023-01-04 15:54:53.786,1010123004145414,32.2,2023-01-04 15:54:58.276
226,2023-01-04 15:55:01.167,1010123004145421,31.7,2023-01-04 15:55:05.726
227,2023-01-04 15:55:30.826,1010123004145451,32.0,2023-01-04 15:55:35.335
228,2023-01-04 15:55:45.607,1010123004145506,31.7,2023-01-04 15:55:50.035
229,2023-01-04 15:56:00.494,1010123004145521,31.2,2023-01-04 15:56:04.974
230,2023-01-04 15:56:07.904,1010123004145528,31.4,2023-01-04 15:56:12.375
231,2023-01-04 15:56:22.765,1010123004145543,32.5,2023-01-04 15:56:27.323
232,2023-01-04 15:56:30.154,1010123004145550,32.0,2023-01-04 15:56:34.605
233,2023-01-04 15:56:37.615,1010123004145558,32.5,2023-01-04 15:56:42.124
234,2023-01-04 15:56:52.375,1010123004145613,32.2,2023-01-04 15:56:56.813
235,2023-01-04 15:56:59.785,1010123004145620,32.5,2023-01-04 15:57:04.283
236,2023-01-04 15:57:07.015,1010123004145627,32.8,2023-01-04 15:57:11.563
237,2023-01-04 15:57:14.384,1010123004145635,32.2,2023-01-04 15:57:18.924
238,2023-01-04 15:57:29.194,1010123004145650,32.5,2023-01-04 15:57:33.693
239,2023-01-04 15:57:36.614,1010123004145657,32.2,2023-01-04 15:57:41.072
240,2023-01-04 15:57:44.144,1010123004145705,31.4,2023-01-04 15:57:48.612
241,2023-01-04 15:58:13.743,1010123004145734,31.7,2023-01-04 15:58:18.173
242,2023-01-04 15:58:21.082,1010123004145741,31.4,2023-01-04 15:58:25.542
243,2023-01-04 15:58:28.572,1010123004145749,32.2,2023-01-04 15:58:33.012
244,2023-01-04 15:58:35.923,1010123004145756,32.0,2023-01-04 15:58:40.381
245,2023-01-04 15:58:43.392,1010123004145804,31.4,2023-01-04 15:58:47.891
246,2023-01-04 15:58:50.782,1010123004145811,32.5,2023-01-04 15:58:55.253
247,2023-01-04 15:58:58.243,1010123004145819,32.8,2023-01-04 15:59:02.773
248,2023-01-04 15:59:05.683,1010123004145826,32.2,2023-01-04 15:59:10.121
249,2023-01-04 15:59:13.032,1010123004145833,32.5,2023-01-04 15:59:17.542
250,2023-01-04 15:59:20.522,1010123004145841,32.2,2023-01-04 15:59:24.901
251,2023-01-04 15:59:27.901,1010123004145848,32.0,2023-01-04 15:59:32.460
