,time,TraceabilityCode,TotalPressForceValue,time.value
116,2023-01-04 15:16:38.427,1010123004141559,28.9,2023-01-04 15:16:42.867
117,2023-01-04 15:16:45.717,1010123004141606,29.1,2023-01-04 15:16:50.167
118,2023-01-04 15:16:53.127,1010123004141614,29.0,2023-01-04 15:16:57.707
119,2023-01-04 15:17:00.526,1010123004141621,28.9,2023-01-04 15:18:36.454
120,2023-01-04 15:18:50.974,1010123004141628,29.0,2023-01-04 15:18:55.463
121,2023-01-04 15:18:58.904,1010123004141636,28.9,2023-01-04 15:19:03.375
122,2023-01-04 15:19:06.785,1010123004141643,28.8,2023-01-04 15:19:11.293
123,2023-01-04 15:19:14.164,1010123004141650,29.0,2023-01-04 15:19:18.573
124,2023-01-04 15:19:21.414,1010123004141658,29.2,2023-01-04 15:19:25.953
125,2023-01-04 15:19:28.793,1010123004141705,28.6,2023-01-04 15:19:33.283
126,2023-01-04 15:19:35.963,1010123004141713,28.9,2023-01-04 15:19:40.463
127,2023-01-04 15:19:43.914,1010123004141720,28.8,2023-01-04 15:19:48.403
128,2023-01-04 15:19:58.473,1010123004141918,28.6,2023-01-04 15:20:02.983
129,2023-01-04 15:20:05.832,1010123004141925,28.7,2023-01-04 15:20:10.332
130,2023-01-04 15:20:13.132,1010123004141932,28.9,2023-01-04 15:20:17.622
131,2023-01-04 15:20:21.013,1010123004141947,28.7,2023-01-04 15:20:25.453
132,2023-01-04 15:20:28.312,1010123004141954,29.0,2023-01-04 15:20:32.792
133,2023-01-04 15:20:40.132,1010123004142008,28.8,2023-01-04 15:20:44.572
134,2023-01-04 15:21:01.391,1010123004142029,28.7,2023-01-04 15:21:05.861
135,2023-01-04 15:21:08.732,1010123004142036,28.8,2023-01-04 15:21:13.312
136,2023-01-04 15:21:22.451,1010123004142050,29.0,2023-01-04 15:21:26.971
137,2023-01-04 15:21:29.861,1010123004142057,28.9,2023-01-04 15:21:34.361
138,2023-01-04 15:21:43.562,1010123004142111,28.7,2023-01-04 15:21:48.082
139,2023-01-04 15:21:50.980,1010123004142118,28.8,2023-01-04 15:21:55.540
140,2023-01-04 15:22:04.651,1010123004142133,28.5,2023-01-04 15:22:09.119
141,2023-01-04 15:22:25.911,1010123004142154,29.0,2023-01-04 15:22:30.321
142,2023-01-04 15:23:30.109,1010123004142201,28.8,2023-01-04 15:23:34.650
143,2023-01-04 15:24:00.019,1010123004142257,28.7,2023-01-04 15:24:04.588
144,2023-01-04 15:24:27.569,1010123004142355,28.8,2023-01-04 15:24:32.078
145,2023-01-04 15:24:35.059,1010123004142402,28.6,2023-01-04 15:24:39.469
146,2023-01-04 15:24:42.459,1010123004142409,28.5,2023-01-04 15:24:46.898
147,2023-01-04 15:24:50.388,1010123004142416,28.8,2023-01-04 15:24:54.819
148,2023-01-04 15:25:05.178,1010123004142431,29.0,2023-01-04 15:25:09.618
149,2023-01-04 15:25:12.618,1010123004142438,28.7,2023-01-04 15:25:17.148
150,2023-01-04 15:25:20.017,1010123004142445,29.0,2023-01-04 15:25:24.497
151,2023-01-04 15:25:27.407,1010123004142452,29.1,2023-01-04 15:25:31.846
152,2023-01-04 15:25:34.788,1010123004142459,29.0,2023-01-04 15:25:39.197
153,2023-01-04 15:25:42.207,1010123004142506,28.9,2023-01-04 15:25:46.677
154,2023-01-04 15:25:49.717,1010123004142513,28.6,2023-01-04 15:25:54.187
155,2023-01-04 15:25:57.177,1010123004142520,29.0,2023-01-04 15:26:01.717
156,2023-01-04 15:26:04.556,1010123004142527,28.9,2023-01-04 15:26:08.976
157,2023-01-04 15:26:11.976,1010123004142534,28.7,2023-01-04 15:26:16.407
158,2023-01-04 15:26:19.358,1010123004142541,28.8,2023-01-04 15:26:23.826
159,2023-01-04 15:26:26.798,1010123004142548,29.1,2023-01-04 15:26:31.246
160,2023-01-04 15:26:34.237,1010123004142555,28.8,2023-01-04 15:26:38.746
161,2023-01-04 15:26:41.648,1010123004142602,28.6,2023-01-04 15:26:46.096
162,2023-01-04 15:26:49.016,1010123004142609,28.8,2023-01-04 15:26:53.546
163,2023-01-04 15:26:56.467,1010123004142617,29.0,2023-01-04 15:27:00.885
164,2023-01-04 15:27:03.967,1010123004142624,28.6,2023-01-04 15:27:08.486
165,2023-01-04 15:27:11.387,1010123004142632,29.0,2023-01-04 15:27:15.835
166,2023-01-04 15:27:18.627,1010123004142639,28.9,2023-01-04 15:27:23.155
167,2023-01-04 15:27:26.026,1010123004142646,28.8,2023-01-04 15:27:30.496
168,2023-01-04 15:27:33.427,1010123004142654,29.3,2023-01-04 15:27:37.867
169,2023-01-04 15:27:40.736,1010123004142701,29.0,2023-01-04 15:27:45.226
170,2023-01-04 15:28:10.476,1010123004142731,28.6,2023-01-04 15:28:14.984
171,2023-01-04 15:28:17.766,1010123004142738,28.9,2023-01-04 15:28:22.265
172,2023-01-04 15:28:25.095,1010123004142746,29.2,2023-01-04 15:28:29.625
173,2023-01-04 15:28:32.496,1010123004142753,29.0,2023-01-04 15:28:36.984
174,2023-01-04 15:28:39.786,1010123004142800,28.8,2023-01-04 15:28:44.234
175,2023-01-04 15:28:54.714,1010123004142815,29.0,2023-01-04 15:28:59.144
176,2023-01-04 15:29:02.154,1010123004142823,28.8,2023-01-04 15:29:06.595
177,2023-01-04 15:29:09.484,1010123004142830,29.0,2023-01-04 15:29:13.954
178,2023-01-04 15:29:31.624,1010123004142852,29.1,2023-01-04 15:29:36.153
179,2023-01-04 15:29:38.963,1010123004142859,28.8,2023-01-04 15:29:43.513
180,2023-01-04 15:29:46.354,1010123004142907,29.0,2023-01-04 15:29:50.823
181,2023-01-04 15:29:53.713,1010123004142914,28.8,2023-01-04 15:29:58.183
182,2023-01-04 15:30:01.144,1010123004142921,29.0,2023-01-04 15:30:05.533
183,2023-01-04 15:30:23.312,1010123004142944,28.6,2023-01-04 15:30:27.752
184,2023-01-04 15:30:30.763,1010123004142951,28.8,2023-01-04 15:30:35.191
185,2023-01-04 15:30:38.193,1010123004142959,28.9,2023-01-04 15:30:42.671
186,2023-01-04 15:30:45.612,1010123004143006,29.0,2023-01-04 15:30:50.112
187,2023-01-04 15:30:52.943,1010123004143013,28.9,2023-01-04 15:30:57.381
188,2023-01-04 15:31:00.362,1010123004143021,29.0,2023-01-04 15:31:04.822
189,2023-01-04 15:31:22.451,1010123004143043,29.2,2023-01-04 15:31:26.961
190,2023-01-04 15:31:29.911,1010123004143050,28.9,2023-01-04 15:31:34.441
191,2023-01-04 15:31:37.191,1010123004143058,28.8,2023-01-04 15:31:41.631
192,2023-01-04 15:31:59.461,1010123004143120,28.6,2023-01-04 15:32:03.921
193,2023-01-04 15:32:06.911,1010123004143127,29.0,2023-01-04 15:32:11.292
194,2023-01-04 15:32:14.332,1010123004143135,28.8,2023-01-04 15:32:18.762
195,2023-01-04 15:32:21.710,1010123004143142,28.7,2023-01-04 15:32:26.190
196,2023-01-04 15:32:29.200,1010123004143149,29.0,2023-01-04 15:32:33.710
197,2023-01-04 15:32:43.990,1010123004143204,28.9,2023-01-04 15:32:48.510
198,2023-01-04 15:47:36.776,1010123004143212,28.2,2023-01-04 15:47:42.585
199,2023-01-04 15:48:20.785,1010123004144556,28.1,2023-01-04 15:48:25.323
200,2023-01-04 15:48:28.154,1010123004144604,28.3,2023-01-04 15:48:32.605
201,2023-01-04 15:48:36.025,1010123004144709,28.4,2023-01-04 15:48:40.515
202,2023-01-04 15:49:42.683,1010123004144736,28.3,2023-01-04 15:49:47.121
203,2023-01-04 15:49:57.602,1010123004144810,28.4,2023-01-04 15:50:02.111
204,2023-01-04 15:50:05.062,1010123004144825,28.5,2023-01-04 15:50:09.463
205,2023-01-04 15:50:12.503,1010123004144839,28.4,2023-01-04 15:50:16.892
206,2023-01-04 15:50:19.842,1010123004144847,28.7,2023-01-04 15:50:24.262
207,2023-01-04 15:50:27.111,1010123004144948,28.4,2023-01-04 15:50:31.561
208,2023-01-04 15:50:41.961,1010123004145002,28.6,2023-01-04 15:50:46.361
209,2023-01-04 15:50:49.391,1010123004145010,28.2,2023-01-04 15:50:53.782
210,2023-01-04 15:50:56.792,1010123004145017,28.7,2023-01-04 15:51:01.211
211,2023-01-04 15:51:04.121,1010123004145025,28.8,2023-01-04 15:51:08.651
212,2023-01-04 15:51:11.601,1010123004145032,28.4,2023-01-04 15:51:16.121
213,2023-01-04 15:51:19.052,1010123004145039,28.6,2023-01-04 15:51:23.480
214,2023-01-04 15:51:26.301,1010123004145047,28.5,2023-01-04 15:51:30.839
215,2023-01-04 15:51:33.760,1010123004145054,28.4,2023-01-04 15:51:38.190
216,2023-01-04 15:51:41.190,1010123004145101,28.6,2023-01-04 15:51:45.609
217,2023-01-04 15:51:48.510,1010123004145109,28.4,2023-01-04 15:51:52.901
218,2023-01-04 15:51:55.901,1010123004145116,28.6,2023-01-04 15:52:00.450
219,2023-01-04 15:52:03.341,1010123004145124,28.8,2023-01-04 15:52:07.809
220,2023-01-04 15:52:10.720,1010123004145131,29.0,2023-01-04 15:52:15.170
221,2023-01-04 15:52:25.420,1010123004145146,28.9,2023-01-04 15:52:29.858
222,2023-01-04 15:52:32.819,1010123004145153,28.8,2023-01-04 15:52:37.219
223,2023-01-04 15:52:40.200,1010123004145201,28.6,2023-01-04 15:52:44.688
224,2023-01-04 15:52:47.549,1010123004145208,28.8,2023-01-04 15:52:52.049
225,2023-01-04 15:52:55.148,1010123004145215,28.5,2023-01-04 15:52:59.648
226,2023-01-04 15:53:02.428,1010123004145223,28.8,2023-01-04 15:53:06.918
227,2023-01-04 15:53:09.838,1010123004145230,28.9,2023-01-04 15:53:14.259
228,2023-01-04 15:53:17.249,1010123004145238,28.7,2023-01-04 15:53:21.688
229,2023-01-04 15:53:24.578,1010123004145245,28.6,2023-01-04 15:53:28.979
230,2023-01-04 15:53:39.479,1010123004145300,28.8,2023-01-04 15:53:43.969
231,2023-01-04 15:53:47.069,1010123004145307,28.5,2023-01-04 15:53:51.486
232,2023-01-04 15:53:54.398,1010123004145315,28.6,2023-01-04 15:53:58.917
233,2023-01-04 15:54:01.818,1010123004145322,28.7,2023-01-04 15:54:06.286
234,2023-01-04 15:54:09.227,1010123004145329,28.6,2023-01-04 15:54:13.717
235,2023-01-04 15:54:16.638,1010123004145337,28.9,2023-01-04 15:54:21.058
236,2023-01-04 15:54:24.148,1010123004145344,28.8,2023-01-04 15:54:28.598
237,2023-01-04 15:54:31.628,1010123004145352,28.6,2023-01-04 15:54:36.127
238,2023-01-04 15:54:38.967,1010123004145359,28.9,2023-01-04 15:54:43.407
239,2023-01-04 15:54:46.247,1010123004145407,28.8,2023-01-04 15:54:50.766
240,2023-01-04 15:54:53.786,1010123004145414,28.6,2023-01-04 15:54:58.276
241,2023-01-04 15:55:15.996,1010123004145436,28.8,2023-01-04 15:55:20.426
242,2023-01-04 15:55:30.826,1010123004145451,29.0,2023-01-04 15:55:35.335
243,2023-01-04 15:55:38.226,1010123004145459,28.9,2023-01-04 15:55:42.686
244,2023-01-04 15:55:45.607,1010123004145506,28.8,2023-01-04 15:55:50.035
245,2023-01-04 15:56:00.494,1010123004145521,28.2,2023-01-04 15:56:04.974
246,2023-01-04 15:56:07.904,1010123004145528,28.7,2023-01-04 15:56:12.375
247,2023-01-04 15:56:15.285,1010123004145536,28.6,2023-01-04 15:56:19.805
