,time,TraceabilityCode,PressForceValueRL,time.value
98,2023-01-04 15:15:53.997,1010123004141514,28.0,2023-01-04 15:15:58.388
99,2023-01-04 15:16:01.378,1010123004141522,28.2,2023-01-04 15:16:05.927
100,2023-01-04 15:16:16.227,1010123004141536,28.0,2023-01-04 15:16:20.667
101,2023-01-04 15:16:30.957,1010123004141551,28.5,2023-01-04 15:16:35.437
102,2023-01-04 15:16:45.717,1010123004141606,28.2,2023-01-04 15:16:50.167
103,2023-01-04 15:17:00.526,1010123004141621,28.0,2023-01-04 15:18:36.454
104,2023-01-04 15:19:06.785,1010123004141643,28.2,2023-01-04 15:19:11.293
105,2023-01-04 15:19:14.164,1010123004141650,28.5,2023-01-04 15:19:18.573
106,2023-01-04 15:19:28.793,1010123004141705,28.0,2023-01-04 15:19:33.283
107,2023-01-04 15:19:35.963,1010123004141713,28.2,2023-01-04 15:19:40.463
108,2023-01-04 15:20:13.132,1010123004141932,28.5,2023-01-04 15:20:17.622
109,2023-01-04 15:20:21.013,1010123004141947,28.2,2023-01-04 15:20:25.453
110,2023-01-04 15:20:28.312,1010123004141954,28.8,2023-01-04 15:20:32.792
111,2023-01-04 15:20:40.132,1010123004142008,28.2,2023-01-04 15:20:44.572
112,2023-01-04 15:20:47.503,1010123004142015,28.0,2023-01-04 15:20:52.000
113,2023-01-04 15:21:01.391,1010123004142029,28.2,2023-01-04 15:21:05.861
114,2023-01-04 15:21:08.732,1010123004142036,28.0,2023-01-04 15:21:13.312
115,2023-01-04 15:21:22.451,1010123004142050,28.5,2023-01-04 15:21:26.971
116,2023-01-04 15:21:29.861,1010123004142057,28.2,2023-01-04 15:21:34.361
117,2023-01-04 15:22:04.651,1010123004142133,28.0,2023-01-04 15:22:09.119
118,2023-01-04 15:22:12.131,1010123004142140,28.5,2023-01-04 15:22:16.660
119,2023-01-04 15:23:30.109,1010123004142201,27.7,2023-01-04 15:23:34.650
120,2023-01-04 15:23:37.519,1010123004142215,28.0,2023-01-04 15:23:41.948
121,2023-01-04 15:23:44.890,1010123004142222,28.5,2023-01-04 15:23:49.378
122,2023-01-04 15:23:52.319,1010123004142250,28.0,2023-01-04 15:23:56.818
123,2023-01-04 15:24:00.019,1010123004142257,28.2,2023-01-04 15:24:04.588
124,2023-01-04 15:24:27.569,1010123004142355,28.0,2023-01-04 15:24:32.078
125,2023-01-04 15:24:35.059,1010123004142402,28.2,2023-01-04 15:24:39.469
126,2023-01-04 15:24:57.668,1010123004142423,28.0,2023-01-04 15:25:02.178
127,2023-01-04 15:25:05.178,1010123004142431,28.5,2023-01-04 15:25:09.618
128,2023-01-04 15:25:12.618,1010123004142438,28.2,2023-01-04 15:25:17.148
129,2023-01-04 15:25:20.017,1010123004142445,28.5,2023-01-04 15:25:24.497
130,2023-01-04 15:25:49.717,1010123004142513,28.2,2023-01-04 15:25:54.187
131,2023-01-04 15:25:57.177,1010123004142520,29.0,2023-01-04 15:26:01.717
132,2023-01-04 15:26:04.556,1010123004142527,28.5,2023-01-04 15:26:08.976
133,2023-01-04 15:26:11.976,1010123004142534,28.2,2023-01-04 15:26:16.407
134,2023-01-04 15:26:19.358,1010123004142541,28.5,2023-01-04 15:26:23.826
135,2023-01-04 15:26:26.798,1010123004142548,28.2,2023-01-04 15:26:31.246
136,2023-01-04 15:26:34.237,1010123004142555,28.5,2023-01-04 15:26:38.746
137,2023-01-04 15:26:41.648,1010123004142602,28.2,2023-01-04 15:26:46.096
138,2023-01-04 15:26:49.016,1010123004142609,28.5,2023-01-04 15:26:53.546
139,2023-01-04 15:26:56.467,1010123004142617,28.2,2023-01-04 15:27:00.885
140,2023-01-04 15:27:03.967,1010123004142624,28.0,2023-01-04 15:27:08.486
141,2023-01-04 15:27:11.387,1010123004142632,28.2,2023-01-04 15:27:15.835
142,2023-01-04 15:27:18.627,1010123004142639,28.5,2023-01-04 15:27:23.155
143,2023-01-04 15:27:26.026,1010123004142646,28.2,2023-01-04 15:27:30.496
144,2023-01-04 15:27:33.427,1010123004142654,28.5,2023-01-04 15:27:37.867
145,2023-01-04 15:28:17.766,1010123004142738,28.0,2023-01-04 15:28:22.265
146,2023-01-04 15:28:25.095,1010123004142746,28.8,2023-01-04 15:28:29.625
147,2023-01-04 15:28:32.496,1010123004142753,28.2,2023-01-04 15:28:36.984
148,2023-01-04 15:28:39.786,1010123004142800,28.5,2023-01-04 15:28:44.234
149,2023-01-04 15:28:54.714,1010123004142815,28.8,2023-01-04 15:28:59.144
150,2023-01-04 15:29:02.154,1010123004142823,28.0,2023-01-04 15:29:06.595
151,2023-01-04 15:29:09.484,1010123004142830,28.5,2023-01-04 15:29:13.954
152,2023-01-04 15:29:24.203,1010123004142845,28.2,2023-01-04 15:29:28.663
153,2023-01-04 15:29:31.624,1010123004142852,28.5,2023-01-04 15:29:36.153
154,2023-01-04 15:29:38.963,1010123004142859,28.2,2023-01-04 15:29:43.513
155,2023-01-04 15:29:46.354,1010123004142907,28.5,2023-01-04 15:29:50.823
156,2023-01-04 15:29:53.713,1010123004142914,28.0,2023-01-04 15:29:58.183
157,2023-01-04 15:30:08.434,1010123004142929,28.5,2023-01-04 15:30:12.892
158,2023-01-04 15:30:15.914,1010123004142936,28.2,2023-01-04 15:30:20.411
159,2023-01-04 15:30:23.312,1010123004142944,28.5,2023-01-04 15:30:27.752
160,2023-01-04 15:30:30.763,1010123004142951,28.2,2023-01-04 15:30:35.191
