,time,TraceabilityCode,PressForceValueFR,time.value
108,2023-01-04 15:21:29.861,1010123004142057,28.0,2023-01-04 15:21:34.361
109,2023-01-04 15:21:50.980,1010123004142118,28.2,2023-01-04 15:21:55.540
110,2023-01-04 15:22:04.651,1010123004142133,28.0,2023-01-04 15:22:09.119
111,2023-01-04 15:22:12.131,1010123004142140,28.5,2023-01-04 15:22:16.660
112,2023-01-04 15:23:37.519,1010123004142215,28.2,2023-01-04 15:23:41.948
113,2023-01-04 15:23:44.890,1010123004142222,28.5,2023-01-04 15:23:49.378
114,2023-01-04 15:23:52.319,1010123004142250,28.2,2023-01-04 15:23:56.818
115,2023-01-04 15:24:27.569,1010123004142355,28.5,2023-01-04 15:24:32.078
116,2023-01-04 15:24:35.059,1010123004142402,28.2,2023-01-04 15:24:39.469
117,2023-01-04 15:24:42.459,1010123004142409,28.0,2023-01-04 15:24:46.898
118,2023-01-04 15:24:50.388,1010123004142416,28.2,2023-01-04 15:24:54.819
119,2023-01-04 15:24:57.668,1010123004142423,27.7,2023-01-04 15:25:02.178
120,2023-01-04 15:25:05.178,1010123004142431,28.2,2023-01-04 15:25:09.618
121,2023-01-04 15:25:12.618,1010123004142438,28.0,2023-01-04 15:25:17.148
122,2023-01-04 15:25:20.017,1010123004142445,27.7,2023-01-04 15:25:24.497
123,2023-01-04 15:25:27.407,1010123004142452,28.0,2023-01-04 15:25:31.846
124,2023-01-04 15:25:42.207,1010123004142506,28.5,2023-01-04 15:25:46.677
125,2023-01-04 15:25:49.717,1010123004142513,28.0,2023-01-04 15:25:54.187
126,2023-01-04 15:25:57.177,1010123004142520,28.5,2023-01-04 15:26:01.717
127,2023-01-04 15:26:04.556,1010123004142527,28.2,2023-01-04 15:26:08.976
128,2023-01-04 15:26:26.798,1010123004142548,28.5,2023-01-04 15:26:31.246
129,2023-01-04 15:26:34.237,1010123004142555,28.2,2023-01-04 15:26:38.746
130,2023-01-04 15:27:03.967,1010123004142624,28.0,2023-01-04 15:27:08.486
131,2023-01-04 15:27:11.387,1010123004142632,28.2,2023-01-04 15:27:15.835
132,2023-01-04 15:27:18.627,1010123004142639,28.0,2023-01-04 15:27:23.155
133,2023-01-04 15:27:33.427,1010123004142654,28.5,2023-01-04 15:27:37.867
134,2023-01-04 15:27:48.177,1010123004142709,28.2,2023-01-04 15:27:52.734
135,2023-01-04 15:27:55.696,1010123004142716,28.5,2023-01-04 15:28:00.154
136,2023-01-04 15:28:10.476,1010123004142731,28.0,2023-01-04 15:28:14.984
137,2023-01-04 15:28:17.766,1010123004142738,28.2,2023-01-04 15:28:22.265
138,2023-01-04 15:28:25.095,1010123004142746,28.5,2023-01-04 15:28:29.625
139,2023-01-04 15:28:32.496,1010123004142753,28.2,2023-01-04 15:28:36.984
140,2023-01-04 15:28:39.786,1010123004142800,28.8,2023-01-04 15:28:44.234
141,2023-01-04 15:28:47.196,1010123004142808,28.5,2023-01-04 15:28:51.625
142,2023-01-04 15:29:02.154,1010123004142823,28.0,2023-01-04 15:29:06.595
143,2023-01-04 15:29:09.484,1010123004142830,28.2,2023-01-04 15:29:13.954
144,2023-01-04 15:29:38.963,1010123004142859,28.0,2023-01-04 15:29:43.513
145,2023-01-04 15:30:01.144,1010123004142921,28.5,2023-01-04 15:30:05.533
146,2023-01-04 15:30:15.914,1010123004142936,28.0,2023-01-04 15:30:20.411
147,2023-01-04 15:30:23.312,1010123004142944,28.5,2023-01-04 15:30:27.752
148,2023-01-04 15:30:45.612,1010123004143006,28.2,2023-01-04 15:30:50.112
149,2023-01-04 15:31:29.911,1010123004143050,28.0,2023-01-04 15:31:34.441
150,2023-01-04 15:31:37.191,1010123004143058,28.2,2023-01-04 15:31:41.631
151,2023-01-04 15:31:44.681,1010123004143105,27.7,2023-01-04 15:31:49.151
152,2023-01-04 15:31:52.101,1010123004143113,28.2,2023-01-04 15:31:56.582
153,2023-01-04 15:32:14.332,1010123004143135,28.0,2023-01-04 15:32:18.762
154,2023-01-04 15:32:21.710,1010123004143142,28.5,2023-01-04 15:32:26.190
155,2023-01-04 15:32:43.990,1010123004143204,28.2,2023-01-04 15:32:48.510
156,2023-01-04 15:47:36.776,1010123004143212,28.0,2023-01-04 15:47:42.585
157,2023-01-04 15:47:44.696,1010123004143227,27.4,2023-01-04 15:47:49.134
158,2023-01-04 15:47:59.734,1010123004143234,27.7,2023-01-04 15:48:04.164
159,2023-01-04 15:48:12.974,1010123004143241,28.0,2023-01-04 15:48:17.365
160,2023-01-04 15:48:20.785,1010123004144556,27.4,2023-01-04 15:48:25.323
161,2023-01-04 15:48:28.154,1010123004144604,27.7,2023-01-04 15:48:32.605
162,2023-01-04 15:48:36.025,1010123004144709,28.0,2023-01-04 15:48:40.515
163,2023-01-04 15:48:43.335,1010123004144726,27.4,2023-01-04 15:48:47.765
164,2023-01-04 15:49:42.683,1010123004144736,27.7,2023-01-04 15:49:47.121
165,2023-01-04 15:49:57.602,1010123004144810,28.2,2023-01-04 15:50:02.111
166,2023-01-04 15:50:05.062,1010123004144825,27.2,2023-01-04 15:50:09.463
167,2023-01-04 15:50:12.503,1010123004144839,27.4,2023-01-04 15:50:16.892
168,2023-01-04 15:50:19.842,1010123004144847,28.2,2023-01-04 15:50:24.262
169,2023-01-04 15:50:27.111,1010123004144948,27.4,2023-01-04 15:50:31.561
170,2023-01-04 15:50:34.482,1010123004144955,28.0,2023-01-04 15:50:38.992
171,2023-01-04 15:50:41.961,1010123004145002,27.7,2023-01-04 15:50:46.361
172,2023-01-04 15:50:56.792,1010123004145017,28.0,2023-01-04 15:51:01.211
173,2023-01-04 15:51:11.601,1010123004145032,27.7,2023-01-04 15:51:16.121
174,2023-01-04 15:51:26.301,1010123004145047,28.0,2023-01-04 15:51:30.839
175,2023-01-04 15:51:33.760,1010123004145054,27.4,2023-01-04 15:51:38.190
176,2023-01-04 15:51:41.190,1010123004145101,28.0,2023-01-04 15:51:45.609
177,2023-01-04 15:51:48.510,1010123004145109,27.7,2023-01-04 15:51:52.901
178,2023-01-04 15:52:18.040,1010123004145139,28.0,2023-01-04 15:52:22.578
179,2023-01-04 15:52:32.819,1010123004145153,28.2,2023-01-04 15:52:37.219
180,2023-01-04 15:52:40.200,1010123004145201,27.4,2023-01-04 15:52:44.688
181,2023-01-04 15:52:47.549,1010123004145208,28.0,2023-01-04 15:52:52.049
182,2023-01-04 15:53:02.428,1010123004145223,27.7,2023-01-04 15:53:06.918
183,2023-01-04 15:53:09.838,1010123004145230,28.0,2023-01-04 15:53:14.259
184,2023-01-04 15:53:17.249,1010123004145238,28.2,2023-01-04 15:53:21.688
185,2023-01-04 15:53:24.578,1010123004145245,27.7,2023-01-04 15:53:28.979
186,2023-01-04 15:53:32.098,1010123004145252,28.8,2023-01-04 15:53:36.598
187,2023-01-04 15:53:39.479,1010123004145300,28.2,2023-01-04 15:53:43.969
188,2023-01-04 15:53:47.069,1010123004145307,28.0,2023-01-04 15:53:51.486
189,2023-01-04 15:53:54.398,1010123004145315,28.2,2023-01-04 15:53:58.917
190,2023-01-04 15:54:01.818,1010123004145322,28.0,2023-01-04 15:54:06.286
191,2023-01-04 15:54:53.786,1010123004145414,27.7,2023-01-04 15:54:58.276
192,2023-01-04 15:55:01.167,1010123004145421,28.0,2023-01-04 15:55:05.726
193,2023-01-04 15:55:15.996,1010123004145436,28.2,2023-01-04 15:55:20.426
194,2023-01-04 15:55:23.437,1010123004145444,28.0,2023-01-04 15:55:27.926
195,2023-01-04 15:55:30.826,1010123004145451,28.5,2023-01-04 15:55:35.335
