,,POS,MP,GS,A,CS,GC,OG,PS,PM,YC,RC,S,B,BPS,I,C,T,II,
Starters,"Schär
NEWDEF",DEF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruslan
Starters,"Struijk
LEEDEF",DEF,90,0,0,0,1,0,0,0,0,0,0,2,24,27.2,21.1,0,4.8,Ruslan
Starters,"Salah
LIVMID",MID,90,0,2,0,1,0,0,0,0,0,0,2,28,44,64.3,39,14.7,Ruslan
Starters,"Groß
BHAMID",MID,90,0,0,0,2,0,0,0,0,0,0,0,6,11.8,6,11,2.9,Ruslan
Starters,"Højbjerg
TOTMID",MID,90,0,0,0,1,0,0,0,0,0,0,0,14,14.8,15.3,7,3.7,Ruslan
Starters,"Antonio
WHUFWD",FWD,90,0,1,0,1,0,0,0,0,0,0,0,16,18.2,12.6,6,3.7,Ruslan
Starters,"Toney
BREFWD",FWD,90,0,0,0,1,0,0,0,1,0,0,0,3,4.8,24.3,18,4.7,Ruslan
Substitutes,"Fabianski
WHUGKP",GKP,90,0,0,0,1,0,0,0,0,0,4,1,17,13.8,0,0,1.4,Ruslan
Substitutes,"Darwin
LIVFWD",FWD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruslan
Substitutes,"Grealish
MCIMID",MID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruslan
Substitutes,"Kanté
CHEMID",MID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruslan
,,,,,,,,,,,,,,,,,,,,
Starters,"Sá
WOLGKP",GKP,90,0,0,1,0,0,0,0,0,0,2,0,24,18.8,0,0,1.9,Sami
Starters,"Cancelo
MCIDEF",DEF,67,1,0,1,0,0,0,0,0,0,0,0,31,37.2,9.2,15,6.1,Sami
Starters,"Trippier
NEWDEF",DEF,90,0,0,0,2,0,0,0,1,0,0,0,11,21.2,0.8,7,2.9,Sami
Starters,"Dier
TOTDEF",DEF,90,0,0,0,1,0,0,0,0,0,0,1,17,22,0.7,0,2.3,Sami
Starters,"Dalot
MUNDEF",DEF,90,0,0,1,0,0,0,0,1,0,0,3,29,15.2,12.1,4,3.1,Sami
Starters,"Ødegaard
ARSMID",MID,80,0,0,0,1,0,0,0,1,0,0,0,12,13,37.8,47,9.8,Sami
Starters,"Ward-Prowse
SOUMID",MID,90,0,0,0,1,0,0,0,1,0,0,0,0,0,16.3,0,1.6,Sami
Starters,"Eze
CRYMID",MID,75,0,0,1,0,0,0,0,0,0,0,0,11,10.6,28.3,5,4.4,Sami
Starters,"Harrison
LEEMID",MID,90,0,0,0,1,0,0,0,0,0,0,0,-5,7.6,37.4,34,7.9,Sami
Starters,"Jesus
ARSFWD",FWD,87,1,0,0,1,0,0,0,0,0,0,0,19,37.8,12.3,92,14.2,Sami
Starters,"Edouard
CRYFWD",FWD,36,0,0,0,1,0,0,0,0,0,0,0,4,1,1.6,0,0.3,Sami
Substitutes,"Meslier
LEEGKP",GKP,90,0,0,0,1,0,0,0,0,0,1,0,9,11,0,0,1.1,Sami
Substitutes,"Zinchenko
ARSDEF",DEF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sami
Substitutes,"Saint-Maximin
NEWMID",MID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sami
Substitutes,"Watkins
AVLFWD",FWD,90,0,0,0,2,0,0,0,0,0,0,0,6,7.4,2.4,0,1,Sami
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Starters,"Ederson
MCIGKP",GKP,90,0,0,1,0,0,0,0,0,0,1,0,26,9.6,0,0,1,Yahya
Starters,"Burn
NEWDEF",DEF,90,0,0,0,2,0,0,0,0,0,0,0,11,28,0.2,0,2.8,Yahya
Starters,"Chilwell
CHEDEF",DEF,23,0,0,0,0,0,0,0,0,0,0,0,9,10.2,2.1,2,1.4,Yahya
Starters,"Thiago Silva
CHEDEF",DEF,90,0,0,0,2,0,0,0,0,0,0,0,21,42.2,2,8,5.2,Yahya
Starters,"Coady
EVEDEF",DEF,90,0,0,0,1,0,0,0,0,0,0,0,10,7.4,0.1,0,0.8,Yahya
Starters,"Sterling
CHEMID",MID,90,1,0,0,2,0,0,0,0,0,0,1,25,43,31.5,52,12.7,Yahya
Starters,"Andreas
FULMID",MID,77,0,1,0,1,0,0,0,0,0,0,1,20,6.8,19.6,5,3.1,Yahya
