index,accident_id,ST_CASE,VE_FORMS,Make,Model,BODY_TYP,MOD_YEAR,IMPACT1,DEFORMED,,M_HARM,L_STATUS,L_TYPE,CDL_STAT,L_ENDORS,L_COMPL,L_RESTRI,DR_HGT,DR_WGT,PREV_ACC,PREV_SUS,PREV_DWI,PREV_SPD,PREV_OTH,FIRST_MO,FIRST_YR,LAST_MO,LAST_YR,SPEEDREL,DR_SF1,DR_SF2,DR_SF3,DR_SF4,VTRAFWAY,VNUM_LAN,VSPD_LIM,VALIGN,VPROFILE,VPAVETYP,VSURCOND,VTRAFCON,VTCONT_F,P_CRASH1,P_CRASH2,P_CRASH3,PCRASH4,PCRASH5,DR_DRINK
748,2016040508,40508,4,49,472,30,2009,82,6,,12,6,1,0,0,3,0,67,150,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,4,45,1,1,2,1,3,3,15,11,99,9,2,0
749,2016040508,40508,4,38,421,15,2003,9,6,,12,6,1,0,0,3,0,65,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,45,1,1,2,1,3,3,3,60,99,9,1,0
750,2016040508,40508,4,49,401,14,2002,6,6,,12,6,1,0,0,3,0,67,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,45,1,1,2,1,3,3,5,53,1,1,1,0
751,2016040508,40508,4,23,472,30,2010,6,2,,12,6,1,0,0,3,0,64,118,0,0,0,1,0,3,2012,3,2012,0,0,0,0,0,2,4,45,1,1,2,1,3,3,3,53,10,1,1,0
752,2016040509,40509,1,35,50,4,2015,12,6,,20,6,1,0,0,3,0,64,105,0,0,0,1,0,8,2014,8,2014,0,0,0,0,0,3,5,65,1,1,2,1,0,0,1,19,99,9,4,1
753,2016040510,40510,3,76,706,80,2005,12,6,,12,6,1,0,0,3,0,72,165,0,2,0,0,1,10,2014,6,2016,4,39,89,0,0,2,5,40,1,1,2,1,3,3,1,17,99,9,3,0
754,2016040510,40510,3,20,421,15,2002,83,4,,12,6,1,0,0,3,3,66,130,0,0,0,0,0,0,0,0,0,0,89,0,0,0,2,5,40,1,1,2,1,3,3,1,66,99,9,3,0
755,2016040510,40510,3,6,52,6,2001,9,2,,54,6,1,0,0,3,0,68,220,0,0,0,1,0,1,2015,1,2015,0,0,0,0,0,1,6,40,1,1,2,1,3,3,1,98,99,9,3,0
756,2016040511,40511,1,20,421,15,1999,0,6,,1,1,1,0,0,2,0,62,135,1,3,0,1,0,5,2014,4,2016,4,12,0,0,0,2,2,65,1,1,2,1,0,0,1,6,7,9,4,0
757,2016040512,40512,2,63,401,14,2013,12,6,,12,6,1,0,0,3,0,70,245,0,7,1,4,1,12,2012,4,2015,4,0,0,0,0,2,2,65,1,1,2,1,0,0,1,51,99,1,1,0
758,2016040512,40512,2,12,401,14,1999,6,6,,12,6,1,0,0,3,0,66,125,0,0,0,0,0,0,0,0,0,0,53,0,0,0,2,2,65,1,1,2,1,0,0,1,53,99,1,1,0
759,2016040513,40513,2,22,2,4,1990,12,6,,12,6,1,0,0,3,0,69,180,0,0,0,0,0,0,0,0,0,0,28,89,23,0,5,5,55,1,1,2,1,0,0,1,10,99,1,2,1
760,2016040513,40513,2,12,4,2,1992,12,6,,12,0,0,0,0,0,0,70,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,55,1,1,2,1,0,0,1,62,99,9,3,0
761,2016040514,40514,1,72,706,80,2014,12,2,,5,6,1,0,0,3,0,68,198,1,0,0,3,2,3,2012,4,2016,0,81,0,0,0,2,2,75,1,1,2,1,0,0,1,90,99,1,1,0
762,2016040515,40515,2,34,35,4,2007,12,6,,12,6,1,0,0,3,0,67,130,0,2,0,0,0,7,2013,9,2013,4,91,0,0,0,1,7,45,1,1,8,1,3,3,1,52,99,1,1,1
763,2016040515,40515,2,55,36,4,2013,6,6,,12,6,1,0,0,3,0,67,135,0,0,0,1,0,3,2012,3,2012,0,0,0,0,0,1,7,45,1,1,8,1,3,3,2,53,99,1,1,1
764,2016040516,40516,3,72,706,80,2009,12,6,,12,6,1,0,0,3,3,66,145,1,1,0,0,1,11,2011,7,2014,4,0,0,0,0,3,5,65,1,1,2,1,0,0,15,10,99,1,2,0
765,2016040516,40516,3,12,23,4,2014,6,6,,12,6,1,0,0,3,0,65,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,65,1,1,2,1,0,0,2,61,99,1,1,0
766,2016040516,40516,3,35,446,20,2016,12,6,,12,6,1,0,0,3,3,68,200,0,1,0,1,1,9,2014,7,2015,0,0,0,0,0,3,5,65,1,1,2,1,0,0,1,54,16,1,1,0
767,2016040517,40517,2,49,40,4,2013,12,6,,12,6,1,0,0,3,0,67,175,98,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,75,1,1,2,1,0,0,1,12,1,1,4,0
768,2016040517,40517,2,85,881,66,2016,63,2,,12,6,1,6,0,3,0,76,290,0,0,0,1,0,3,2016,3,2016,0,0,0,0,0,2,2,75,1,1,2,1,0,0,1,62,99,9,3,0
769,2016040518,40518,1,23,423,15,2014,98,9,,8,9,9,99,0,9,9,999,999,99,99,99,99,99,99,9999,99,9999,9,99,99,99,99,9,9,99,1,9,9,99,0,0,1,80,99,9,3,0
770,2016040519,40519,2,85,881,63,2007,98,9,,12,9,9,99,9,9,9,999,999,99,99,99,99,99,99,9999,99,9999,9,38,0,0,0,5,6,99,1,9,2,99,0,0,11,15,99,9,3,0
771,2016040519,40519,2,37,31,9,2015,12,9,,12,6,1,0,0,3,3,61,165,0,0,0,0,0,0,0,0,0,9,99,99,99,99,5,7,99,1,9,2,99,0,0,1,62,99,9,3,1
772,2016040520,40520,2,20,444,20,2006,12,9,,12,6,1,0,0,3,3,69,190,0,0,0,1,2,4,2014,9,2015,5,91,0,0,0,2,3,99,1,1,1,99,0,0,1,51,99,9,1,0
773,2016040520,40520,2,20,481,31,1986,6,9,,1,1,1,0,0,2,3,64,200,1,2,0,0,1,7,2014,12,2014,0,0,0,0,0,2,3,99,1,1,1,99,0,0,1,53,99,9,1,0
774,2016040521,40521,2,20,481,31,2001,12,9,,12,1,1,0,0,2,3,67,205,0,4,0,3,0,3,2013,11,2015,5,99,99,99,99,9,9,99,1,9,9,99,0,0,99,51,99,9,3,1
775,2016040521,40521,2,35,402,14,2000,6,9,,1,0,0,0,0,0,0,999,999,0,0,0,1,0,12,2014,12,2014,9,99,99,99,99,9,9,99,1,9,9,99,0,0,99,99,99,9,9,0
776,2016040522,40522,1,23,421,15,2011,0,6,,1,6,1,0,0,3,3,69,140,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,65,1,6,2,1,0,0,1,10,99,4,6,0
777,2016040523,40523,1,30,32,2,1971,61,6,,30,6,1,0,0,3,3,69,170,0,0,0,0,0,0,0,0,0,0,99,99,99,99,2,3,65,2,1,2,1,0,0,14,12,7,9,4,0
778,2016040524,40524,1,72,706,80,2001,0,6,,1,6,1,0,0,3,0,73,180,0,0,0,0,0,0,0,0,0,9,0,0,0,0,6,1,65,3,1,1,1,0,0,14,11,99,9,4,1
779,2016040525,40525,1,20,403,14,2003,98,6,,19,6,1,0,0,3,0,66,135,0,0,0,0,1,4,2016,4,2016,3,0,0,0,0,1,7,40,1,1,2,1,0,0,1,6,99,4,4,1
780,2016040526,40526,2,12,481,31,2003,12,6,,12,6,1,0,0,3,0,68,251,0,0,0,1,0,5,2016,5,2016,0,80,0,0,0,2,2,75,1,6,2,1,0,0,1,1,99,9,4,0
781,2016040526,40526,2,49,401,14,2014,12,6,,12,0,0,0,0,0,0,60,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,75,1,5,2,1,0,0,1,62,1,1,1,0
782,2016040527,40527,1,12,401,14,2002,12,6,,8,6,1,0,0,3,0,71,185,0,8,0,3,3,1,2014,12,2015,9,99,99,99,99,5,5,45,1,1,2,1,0,0,1,80,99,1,1,0
783,2016040528,40528,2,20,481,31,2009,98,6,,12,6,1,0,0,3,0,69,230,0,0,0,0,0,0,0,0,0,9,16,0,0,0,1,2,55,2,1,2,1,0,0,14,10,99,9,1,0
784,2016040528,40528,2,23,880,67,2015,83,6,,12,6,1,0,0,3,3,72,230,98,0,0,1,0,8,2014,8,2014,0,0,0,0,0,1,2,55,3,1,2,1,0,0,14,62,6,1,3,0
785,2016040529,40529,1,12,481,31,1998,0,6,,1,2,1,0,0,2,0,67,185,0,1,1,0,1,1,2012,5,2016,9,99,99,99,99,2,2,75,3,6,2,1,0,0,14,12,8,1,4,1
786,2016040530,40530,7,63,398,4,2004,62,6,,12,6,1,0,0,3,0,71,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,55,1,1,2,1,0,0,1,12,99,9,4,0
787,2016040530,40530,7,20,422,15,2015,63,4,,12,6,1,0,0,3,0,72,215,0,0,0,2,0,9,2013,12,2013,0,0,0,0,0,2,2,55,1,1,2,1,0,0,1,62,99,9,1,0
788,2016040530,40530,7,12,880,67,2014,12,6,,99,6,1,0,0,3,0,68,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,55,1,1,2,1,0,0,1,62,6,1,4,0
789,2016040530,40530,7,12,481,31,2016,12,6,,12,6,1,6,0,3,0,74,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,55,1,1,2,1,0,0,1,54,99,9,1,0
790,2016040530,40530,7,7,442,20,2007,12,2,,54,6,1,0,0,3,0,65,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,55,1,1,2,1,0,0,1,90,99,9,1,0
791,2016040530,40530,7,6,441,20,1998,82,6,,54,6,1,0,0,3,3,65,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,55,1,1,2,1,0,0,1,90,99,9,3,0
792,2016040530,40530,7,49,404,14,2007,10,2,,54,6,1,0,0,3,3,66,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,55,1,1,2,1,0,0,1,90,1,1,1,0
793,2016040531,40531,1,24,401,14,2005,12,6,,15,6,1,0,0,3,3,72,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,35,1,1,8,1,0,0,1,83,99,9,1,0
794,2016040532,40532,1,12,24,6,2008,98,6,,1,6,1,0,0,3,3,69,175,0,0,0,0,0,0,0,0,0,0,89,0,0,0,2,3,75,1,1,2,1,0,0,1,13,99,9,4,0
795,2016040533,40533,1,49,482,31,2010,12,6,,8,6,1,0,0,3,3,68,185,0,0,0,2,0,9,2013,5,2015,0,0,0,0,0,1,2,55,1,1,2,1,0,0,1,80,99,1,1,0
796,2016040534,40534,1,99,999,99,9999,0,9,,1,9,9,99,0,9,9,999,999,99,99,99,99,99,99,9999,99,9999,9,99,99,99,99,9,9,99,9,9,8,99,99,9,99,99,99,9,9,0
797,2016040535,40535,2,35,51,6,2015,98,6,,12,6,1,0,0,3,3,67,200,0,0,0,0,0,0,0,0,0,0,38,91,0,0,2,4,45,1,1,2,1,3,3,11,15,99,1,1,0
798,2016040535,40535,2,73,706,80,2013,98,6,,12,6,1,0,0,3,3,72,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,35,1,1,2,1,3,3,1,62,99,9,3,0
799,2016040536,40536,1,99,739,90,9999,99,9,,99,9,9,99,0,9,9,999,999,99,99,99,99,99,99,9999,99,9999,9,99,99,99,99,9,9,99,9,9,9,99,99,9,99,99,99,9,9,0
800,2016040537,40537,1,12,442,20,2002,12,6,,30,6,1,0,0,3,0,71,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,55,1,1,2,1,0,0,1,13,99,1,4,0
801,2016040538,40538,1,2,404,14,2004,0,6,,1,0,0,0,0,0,0,69,250,0,0,0,0,0,0,0,0,0,9,58,0,0,0,1,2,98,8,6,2,1,0,0,99,13,99,4,4,0
802,2016040539,40539,1,20,481,31,2004,0,0,,5,6,1,0,0,3,3,70,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,8,1,0,0,1,98,99,9,1,1
803,2016040540,40540,1,82,881,66,2013,0,6,,1,6,1,6,0,3,3,70,220,0,0,0,2,6,5,2012,6,2014,0,0,0,0,0,2,2,75,2,1,2,1,0,0,14,9,99,9,4,0
804,2016040541,40541,1,20,481,31,1999,12,6,,1,1,1,0,0,2,3,999,999,98,0,1,0,0,3,2016,3,2016,0,0,0,0,0,2,2,75,2,6,2,1,0,0,14,12,99,1,4,1
805,2016040542,40542,7,42,47,2,2004,62,6,,12,6,1,0,0,3,1,70,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,65,1,1,2,1,0,0,15,11,99,9,3,0
806,2016040542,40542,7,53,706,80,2016,83,6,,12,6,1,0,0,3,3,70,150,0,0,0,1,0,1,2013,1,2013,0,89,0,0,0,3,7,65,1,1,2,1,0,0,15,11,99,9,2,1
807,2016040542,40542,7,35,50,5,2009,12,6,,12,6,1,0,0,3,0,63,140,0,0,0,1,0,3,2012,3,2012,0,0,0,0,0,3,7,65,1,1,2,1,0,0,1,50,16,1,1,0
808,2016040542,40542,7,49,40,4,2011,82,6,,12,6,1,0,0,3,3,69,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,65,1,1,2,1,0,0,1,61,99,9,1,0
809,2016040542,40542,7,55,36,3,2007,6,6,,12,6,1,0,0,3,0,71,230,1,0,0,1,0,3,2012,3,2013,0,89,0,0,0,3,7,65,1,1,2,1,0,0,1,60,99,9,1,0
810,2016040542,40542,7,20,461,21,1988,14,0,,73,6,1,0,0,3,3,71,177,0,0,0,1,0,7,2014,7,2014,0,0,0,0,0,3,7,65,1,1,2,1,0,0,1,90,6,1,1,0
811,2016040542,40542,7,20,2,4,2013,14,0,,73,6,1,0,0,3,3,75,290,0,0,0,2,0,9,2012,10,2012,0,0,0,0,0,3,7,65,1,1,2,1,0,0,1,90,1,1,1,0
812,2016040543,40543,1,99,499,39,9999,98,9,,8,9,9,99,0,9,9,999,999,99,99,99,99,99,99,9999,99,9999,9,99,99,99,99,1,6,99,1,9,9,99,3,3,1,80,99,9,3,0
813,2016040544,40544,2,49,442,20,2006,12,6,,12,6,1,0,0,3,0,69,225,0,0,0,4,3,1,2013,7,2016,0,39,0,0,0,2,6,99,1,9,2,99,3,3,1,50,99,9,1,1
814,2016040544,40544,2,85,881,66,2006,6,9,,12,6,1,6,0,3,3,72,215,0,0,0,1,0,11,2011,11,2011,0,0,0,0,0,2,6,99,1,1,2,99,3,3,5,53,1,1,1,0
815,2016040545,40545,1,35,39,4,1997,61,6,,1,6,1,6,0,3,0,66,120,98,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,75,2,1,2,1,0,0,14,12,99,1,4,0
816,2016040546,40546,2,99,499,39,9999,2,2,,8,9,9,99,0,9,9,999,999,99,99,99,99,99,99,9999,99,9999,9,99,99,99,99,9,9,99,9,9,9,99,0,0,1,80,99,9,9,0
817,2016040546,40546,2,20,37,4,2015,12,9,,8,0,0,0,0,0,0,60,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,99,9,9,9,99,0,0,1,80,99,9,3,0
818,2016040547,40547,5,55,33,4,2016,12,6,,12,6,1,0,0,3,0,67,180,0,0,0,2,1,5,2012,11,2014,5,99,99,99,99,2,3,99,9,9,2,1,0,0,99,51,99,9,2,0
819,2016040547,40547,5,2,403,14,2006,6,6,,1,6,1,0,0,3,0,74,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,99,9,9,2,1,0,0,99,53,99,9,1,0
820,2016040547,40547,5,20,481,31,2007,98,9,,54,6,1,0,0,3,0,66,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,99,9,9,2,1,0,0,99,99,99,9,3,0
821,2016040547,40547,5,37,31,2,1997,98,6,,12,6,1,0,0,3,0,71,230,1,0,0,1,1,11,2015,2,2016,0,0,0,0,0,2,3,99,9,9,2,1,0,0,99,62,99,9,3,0
