,time,TraceabilityCode,Defect
309,2023-01-30 17:04:46,1010123030155843,marks/contamination
310,2023-01-30 17:04:37,1010123030155832,marks/contamination
311,2023-01-30 17:04:25,1010123030155821,marks/contamination
312,2023-01-30 17:04:16,1010123030155810,marks/contamination
313,2023-01-30 17:04:05,1010123030155800,marks/contamination
314,2023-01-30 16:47:33,1010123030154139,marks/contamination
315,2023-01-30 16:46:03,1010123030154056,marks/contamination
316,2023-01-30 16:43:05,1010123030153823,marks/contamination
317,2023-01-30 16:42:56,1010123030153921,marks/contamination
318,2023-01-30 16:39:29,1010123030153630,marks
319,2023-01-30 16:24:59,1010123030152135,deformation
320,2023-01-30 16:03:55,1010223030145911,deformation
321,2023-01-30 16:01:27,1010223030145705,deformation
322,2023-01-30 15:57:59,1010223030145447,marks
323,2023-01-30 15:56:27,1010223030145328,marks
324,2023-01-30 15:27:48,1010223030142111,marks
325,2023-01-30 15:27:26,1010223030142102,marks
326,2023-01-30 15:27:19,1010223030142042,marks
327,2023-01-30 15:26:57,1010123030141938,marks/contamination
328,2023-01-30 15:26:32,1010123030141928,marks/contamination
329,2023-01-30 15:26:21,1010123030141917,marks/contamination
330,2023-01-30 15:21:10,1010123030141720,marks/contamination
331,2023-01-30 15:02:15,1010123030135237,scratch
332,2023-01-30 15:00:56,1010123030135204,marks/contamination
333,2023-01-30 15:00:37,1010123030135152,marks/contamination
334,2023-01-30 15:00:25,1010123030135130,marks/contamination
335,2023-01-30 14:21:02,1010123030080057,deformation
336,2023-01-30 14:16:53,1010123030080047,deformation
337,2023-01-27 11:39:01,1010223027103703,marks/contamination
338,2023-01-27 11:35:08,1010223027103041,marks/contamination
339,2023-01-27 11:34:57,1010223027103032,marks/contamination
340,2023-01-27 11:34:48,1010223027103023,marks/contamination
341,2023-01-27 11:34:37,1010223027103014,marks/contamination
342,2023-01-27 11:34:03,1010223027102946,marks/contamination
343,2023-01-27 11:33:20,1010223027102917,marks/contamination
344,2023-01-27 11:33:12,1010223027101553,marks/contamination
345,2023-01-27 11:32:54,1010223027101544,marks/contamination
