,time,TraceabilityCode,Cylinder8MaxParalelismErrorInBDC,time.value
100,2023-01-04 16:54:49.765,1010123004155431,1.7,2023-01-04 16:54:49.954
101,2023-01-04 16:55:04.594,1010123004155446,1.8,2023-01-04 16:55:04.753
102,2023-01-04 16:55:19.293,1010123004155500,1.7,2023-01-04 16:55:19.563
103,2023-01-04 16:55:26.733,1010123004155507,1.8,2023-01-04 16:55:26.923
104,2023-01-04 16:55:56.372,1010123004155536,1.7,2023-01-04 16:55:56.513
105,2023-01-04 16:56:03.663,1010123004155543,1.8,2023-01-04 16:56:03.872
106,2023-01-04 16:56:33.302,1010123004155612,1.7,2023-01-04 16:56:33.480
107,2023-01-04 16:56:40.701,1010123004155619,1.8,2023-01-04 16:56:40.911
108,2023-01-04 17:20:04.023,1010123004155626,1.8,2023-01-04 17:20:14.421
109,2023-01-04 17:20:22.703,1010123004155648,1.7,2023-01-04 17:20:22.933
110,2023-01-04 17:20:29.993,1010123004161948,1.8,2023-01-04 17:20:30.233
111,2023-01-04 17:21:07.292,1010123004162048,1.7,2023-01-04 17:21:07.512
112,2023-01-04 17:21:24.861,1010123004162109,1.7,2023-01-04 17:21:24.901
113,2023-01-04 17:21:53.450,1010123004162138,1.7,2023-01-04 17:21:53.740
114,2023-01-04 17:22:00.881,1010123004162145,1.8,2023-01-04 17:22:01.099
115,2023-01-04 17:22:16.371,1010123004162200,1.8,2023-01-04 17:22:16.559
116,2023-01-04 17:22:23.740,1010123004162207,1.7,2023-01-04 17:22:23.910
117,2023-01-04 17:23:56.029,1010123004162341,1.7,2023-01-04 17:23:56.408
118,2023-01-04 17:24:10.769,1010123004162355,1.8,2023-01-04 17:24:10.959
119,2023-01-04 17:25:10.788,1010123004162452,1.8,2023-01-04 17:25:10.947
120,2023-01-04 17:25:18.217,1010123004162500,1.7,2023-01-04 17:25:18.316
121,2023-01-04 17:28:44.835,1010123004162824,1.8,2023-01-04 17:28:45.035
122,2023-01-04 17:28:59.444,1010123004162839,1.7,2023-01-04 17:28:59.743
123,2023-01-04 17:31:05.322,1010123004163044,1.8,2023-01-04 17:31:05.513
124,2023-01-04 17:31:12.792,1010123004163051,1.7,2023-01-04 17:31:12.963
125,2023-01-04 17:31:27.512,1010123004163106,1.8,2023-01-04 17:31:27.681
126,2023-01-04 17:31:35.052,1010123004163113,1.7,2023-01-04 17:31:35.201
127,2023-01-04 17:32:11.861,1010123004163150,1.8,2023-01-04 17:32:12.069
128,2023-01-04 17:32:19.250,1010123004163158,1.7,2023-01-04 17:32:19.440
129,2023-01-04 17:32:33.871,1010123004163213,1.8,2023-01-04 17:32:34.081
130,2023-01-04 17:32:41.220,1010123004163220,1.7,2023-01-04 17:32:41.440
131,2023-01-04 17:32:56.039,1010123004163235,1.8,2023-01-04 17:32:56.190
132,2023-01-04 17:33:03.400,1010123004163242,1.7,2023-01-04 17:33:03.578
133,2023-01-04 17:33:10.769,1010123004163250,1.8,2023-01-04 17:33:10.960
134,2023-01-04 17:33:18.059,1010123004163257,1.7,2023-01-04 17:33:18.319
135,2023-01-04 17:33:25.440,1010123004163304,1.8,2023-01-04 17:33:25.680
136,2023-01-04 17:33:32.799,1010123004163312,1.7,2023-01-04 17:33:33.039
137,2023-01-04 17:33:47.630,1010123004163327,1.8,2023-01-04 17:33:47.829
138,2023-01-04 17:33:54.999,1010123004163334,1.7,2023-01-04 17:33:55.108
139,2023-01-04 17:34:09.499,1010123004163349,1.8,2023-01-04 17:34:09.759
140,2023-01-04 17:34:16.848,1010123004163356,1.7,2023-01-04 17:34:17.118
141,2023-01-04 17:35:32.006,1010123004163516,1.7,2023-01-04 17:35:32.036
142,2023-01-04 17:37:13.325,1010123004163658,1.7,2023-01-04 17:37:13.505
143,2023-01-04 17:37:35.085,1010123004163720,1.7,2023-01-04 17:37:35.334
144,2023-01-04 17:39:16.624,1010123004163901,1.8,2023-01-04 17:39:16.713
145,2023-01-04 17:44:05.119,1010123004164338,1.7,2023-01-04 17:44:05.289
146,2023-01-04 17:44:20.069,1010123004164357,1.8,2023-01-04 17:44:20.259
147,2023-01-04 17:44:27.588,1010123004164405,1.7,2023-01-04 17:44:27.767
148,2023-01-04 17:44:49.969,1010123004164427,1.8,2023-01-04 17:44:50.167
149,2023-01-04 17:45:04.788,1010123004164443,1.7,2023-01-04 17:45:05.048
150,2023-01-04 17:45:34.697,1010123004164512,1.8,2023-01-04 17:45:34.927
151,2023-01-04 17:45:42.368,1010123004164520,1.7,2023-01-04 17:45:42.397
152,2023-01-04 17:45:57.236,1010123004164535,1.8,2023-01-04 17:45:57.367
153,2023-01-04 17:46:04.677,1010123004164542,1.7,2023-01-04 17:46:04.805
154,2023-01-04 17:46:12.016,1010123004164550,1.8,2023-01-04 17:46:12.167
155,2023-01-04 17:46:19.377,1010123004164557,1.7,2023-01-04 17:46:19.615
156,2023-01-04 17:47:26.746,1010123004164704,1.8,2023-01-04 17:47:26.894
157,2023-01-04 17:47:41.676,1010123004164719,1.7,2023-01-04 17:47:41.936
158,2023-01-04 17:47:49.196,1010123004164727,1.8,2023-01-04 17:47:49.295
159,2023-01-04 17:48:26.573,1010123004164804,1.7,2023-01-04 17:48:26.733
160,2023-01-04 17:48:41.164,1010123004164819,1.8,2023-01-04 17:48:41.453
161,2023-01-04 17:48:48.584,1010123004164826,1.7,2023-01-04 17:48:48.823
162,2023-01-04 17:49:25.352,1010123004164904,1.8,2023-01-04 17:49:25.611
163,2023-01-04 17:49:32.822,1010123004164911,1.7,2023-01-04 17:49:32.971
164,2023-01-04 17:49:47.582,1010123004164926,1.8,2023-01-04 17:49:47.762
165,2023-01-04 17:49:54.892,1010123004164934,1.7,2023-01-04 17:49:55.132
166,2023-01-04 17:50:17.372,1010123004164956,1.8,2023-01-04 17:50:17.453
167,2023-01-04 17:50:24.911,1010123004165004,1.7,2023-01-04 17:50:25.051
168,2023-01-04 17:51:39.720,1010123004165124,1.7,2023-01-04 17:51:39.740
169,2023-01-04 17:51:47.190,1010123004165132,1.8,2023-01-04 17:51:47.290
170,2023-01-04 17:54:01.278,1010123004165146,1.8,2023-01-04 17:54:08.898
171,2023-01-04 17:54:24.868,1010123004165323,1.7,2023-01-04 17:54:25.046
172,2023-01-04 17:54:32.338,1010123004165408,1.8,2023-01-04 17:54:32.506
173,2023-01-04 17:54:39.578,1010123004165416,1.7,2023-01-04 17:54:39.858
174,2023-01-04 17:55:01.898,1010123004165446,1.8,2023-01-04 17:55:01.937
175,2023-01-04 17:55:30.647,1010123004165515,1.7,2023-01-04 17:55:30.877
176,2023-01-04 17:55:38.167,1010123004165523,1.8,2023-01-04 17:55:38.246
