,time,TraceabilityCode,CushionWaterTemperature,time.value
122,2023-01-04 15:19:25.164,1010123004141720,31.3,2023-01-04 15:19:25.344
123,2023-01-04 15:19:47.654,1010123004141925,31.2,2023-01-04 15:19:47.822
124,2023-01-04 15:19:55.092,1010123004141932,31.1,2023-01-04 15:19:55.252
125,2023-01-04 15:20:02.443,1010123004141947,31.2,2023-01-04 15:20:02.693
126,2023-01-04 15:20:30.322,1010123004142015,31.1,2023-01-04 15:20:30.592
127,2023-01-04 15:21:12.651,1010123004142057,31.0,2023-01-04 15:21:12.982
128,2023-01-04 15:23:20.279,1010123004142215,31.1,2023-01-04 15:23:20.598
129,2023-01-04 15:24:17.838,1010123004142402,31.2,2023-01-04 15:24:18.118
130,2023-01-04 15:25:17.678,1010123004142459,31.3,2023-01-04 15:25:17.737
131,2023-01-04 15:25:25.017,1010123004142506,31.2,2023-01-04 15:25:25.187
132,2023-01-04 15:25:32.487,1010123004142513,31.3,2023-01-04 15:25:32.608
133,2023-01-04 15:26:09.607,1010123004142548,31.4,2023-01-04 15:26:09.806
134,2023-01-04 15:26:16.986,1010123004142555,31.3,2023-01-04 15:26:17.096
135,2023-01-04 15:26:24.427,1010123004142602,31.4,2023-01-04 15:26:24.618
136,2023-01-04 15:26:31.838,1010123004142609,31.5,2023-01-04 15:26:31.976
137,2023-01-04 15:26:39.167,1010123004142617,31.6,2023-01-04 15:26:39.348
138,2023-01-04 15:26:46.667,1010123004142624,31.7,2023-01-04 15:26:46.776
139,2023-01-04 15:26:54.107,1010123004142632,31.8,2023-01-04 15:26:54.286
140,2023-01-04 15:27:01.447,1010123004142639,31.9,2023-01-04 15:27:01.657
141,2023-01-04 15:27:08.855,1010123004142646,32.0,2023-01-04 15:27:09.016
142,2023-01-04 15:27:16.336,1010123004142654,32.1,2023-01-04 15:27:16.456
143,2023-01-04 15:27:23.586,1010123004142701,32.2,2023-01-04 15:27:23.815
144,2023-01-04 15:27:38.467,1010123004142716,32.3,2023-01-04 15:27:38.617
145,2023-01-04 15:27:45.796,1010123004142723,32.4,2023-01-04 15:27:46.055
146,2023-01-04 15:27:53.165,1010123004142731,32.5,2023-01-04 15:27:53.345
147,2023-01-04 15:28:00.565,1010123004142738,32.6,2023-01-04 15:28:00.785
148,2023-01-04 15:28:08.026,1010123004142746,32.5,2023-01-04 15:28:08.144
149,2023-01-04 15:28:15.365,1010123004142753,32.6,2023-01-04 15:28:15.494
150,2023-01-04 15:28:22.655,1010123004142800,32.7,2023-01-04 15:28:22.855
151,2023-01-04 15:28:37.516,1010123004142815,32.8,2023-01-04 15:28:37.575
152,2023-01-04 15:28:52.204,1010123004142830,32.9,2023-01-04 15:28:52.384
153,2023-01-04 15:29:07.075,1010123004142845,33.0,2023-01-04 15:29:07.253
154,2023-01-04 15:29:43.862,1010123004142921,33.1,2023-01-04 15:29:44.142
155,2023-01-04 15:30:50.503,1010123004143028,33.2,2023-01-04 15:30:50.703
156,2023-01-04 15:30:57.892,1010123004143035,33.1,2023-01-04 15:30:58.131
157,2023-01-04 15:31:05.263,1010123004143043,33.2,2023-01-04 15:31:05.502
158,2023-01-04 15:31:20.052,1010123004143058,33.1,2023-01-04 15:31:20.221
159,2023-01-04 15:31:27.532,1010123004143105,33.2,2023-01-04 15:31:27.572
160,2023-01-04 15:31:34.842,1010123004143113,33.1,2023-01-04 15:31:35.022
161,2023-01-04 15:31:49.651,1010123004143127,33.2,2023-01-04 15:31:49.812
162,2023-01-04 15:31:57.191,1010123004143135,33.1,2023-01-04 15:31:57.332
163,2023-01-04 15:32:04.582,1010123004143142,33.0,2023-01-04 15:32:04.701
164,2023-01-04 15:32:19.341,1010123004143157,32.9,2023-01-04 15:32:19.500
165,2023-01-04 15:32:26.780,1010123004143204,32.8,2023-01-04 15:32:26.930
166,2023-01-04 15:32:34.240,1010123004143212,32.7,2023-01-04 15:32:34.371
167,2023-01-04 15:32:41.540,1010123004143219,32.6,2023-01-04 15:32:41.730
168,2023-01-04 15:47:21.095,1010123004143241,32.6,2023-01-04 15:47:21.345
169,2023-01-04 15:47:21.095,1010123004143241,32.7,2023-01-04 15:47:28.694
