,time,TraceabilityCode,CushionPumpMaxPower2,time.value
233,2023-01-04 16:35:12.305,1010123004153457,55.8,2023-01-04 16:35:12.555
234,2023-01-04 16:35:33.875,1010123004153518,55.8,2023-01-04 16:35:34.075
235,2023-01-04 16:46:55.072,1010123004154246,54.6,2023-01-04 16:46:55.312
236,2023-01-04 16:47:02.572,1010123004154627,55.2,2023-01-04 16:47:02.671
237,2023-01-04 16:47:24.663,1010123004154702,54.9,2023-01-04 16:47:24.822
238,2023-01-04 16:47:39.433,1010123004154717,55.2,2023-01-04 16:47:39.552
239,2023-01-04 16:47:54.272,1010123004154732,54.9,2023-01-04 16:47:54.441
240,2023-01-04 16:48:16.562,1010123004154754,55.2,2023-01-04 16:48:16.750
241,2023-01-04 16:48:53.571,1010123004154831,54.9,2023-01-04 16:48:53.710
242,2023-01-04 16:49:23.119,1010123004154901,54.6,2023-01-04 16:49:23.230
243,2023-01-04 16:49:30.519,1010123004154908,54.9,2023-01-04 16:49:30.670
244,2023-01-04 16:50:15.019,1010123004154953,55.2,2023-01-04 16:50:15.158
245,2023-01-04 16:50:44.489,1010123004155022,54.6,2023-01-04 16:50:44.667
246,2023-01-04 16:51:06.868,1010123004155044,54.9,2023-01-04 16:51:07.078
247,2023-01-04 16:52:50.417,1010123004155228,54.6,2023-01-04 16:52:50.595
248,2023-01-04 16:53:21.226,1010123004155304,54.9,2023-01-04 16:53:21.395
249,2023-01-04 16:53:28.585,1010123004155311,55.2,2023-01-04 16:53:28.756
250,2023-01-04 16:53:35.915,1010123004155319,54.6,2023-01-04 16:53:36.035
251,2023-01-04 16:54:12.765,1010123004155355,54.9,2023-01-04 16:54:12.984
252,2023-01-04 16:54:20.184,1010123004155402,54.6,2023-01-04 16:54:20.273
253,2023-01-04 16:56:10.983,1010123004155550,54.3,2023-01-04 16:56:11.153
254,2023-01-04 16:56:18.483,1010123004155557,54.6,2023-01-04 16:56:18.601
255,2023-01-04 17:20:04.023,1010123004155626,55.8,2023-01-04 17:20:14.421
256,2023-01-04 17:20:22.703,1010123004155648,54.6,2023-01-04 17:20:22.933
