time;MaxForceFR
2023-02-09 01:23:14.858 CET;1
2023-02-09 01:23:23.977 CET;0,8
2023-02-09 01:23:32.867 CET;1
2023-02-09 01:23:41.907 CET;0,9
2023-02-09 01:23:50.947 CET;0,8
2023-02-09 01:23:59.917 CET;0,5
2023-02-09 01:24:09.017 CET;0,7
2023-02-09 01:24:26.868 CET;0,5
2023-02-09 01:24:35.986 CET;0,7
2023-02-09 01:24:53.976 CET;0,5
2023-02-09 01:25:03.026 CET;1
2023-02-09 01:28:47.414 CET;1,1
2023-02-09 01:29:57.404 CET;0,9
2023-02-09 01:30:07.002 CET;1,7
2023-02-09 01:30:16.163 CET;0,8
2023-02-09 01:30:52.302 CET;0,7
2023-02-09 01:31:01.352 CET;0,6
2023-02-09 01:31:10.473 CET;0,7
2023-02-09 01:31:19.423 CET;1
2023-02-09 01:31:28.622 CET;0,7
2023-02-09 01:31:46.540 CET;0,5
2023-02-09 01:31:55.581 CET;0,8
2023-02-09 01:32:04.790 CET;0,5
2023-02-09 01:32:13.742 CET;0,8
2023-02-09 01:32:22.701 CET;1
2023-02-09 01:32:31.750 CET;0,9
2023-02-09 01:32:40.792 CET;0,6
2023-02-09 01:32:49.921 CET;0,8
2023-02-09 01:32:58.792 CET;0,9
2023-02-09 01:34:03.910 CET;1,2
2023-02-09 01:34:12.720 CET;1,1
2023-02-09 01:34:31.269 CET;0,9
2023-02-09 01:34:58.240 CET;0,8
2023-02-09 01:35:16.388 CET;0,4
2023-02-09 01:35:34.469 CET;0,5
2023-02-09 01:35:43.509 CET;0,6
2023-02-09 01:35:52.479 CET;0,7
2023-02-09 01:36:01.519 CET;0,5
2023-02-09 01:36:19.759 CET;0,9
2023-02-09 01:36:37.677 CET;0,6
2023-02-09 01:36:55.767 CET;0,9
2023-02-09 01:37:13.667 CET;0,7
2023-02-09 01:37:22.637 CET;0,6
2023-02-09 01:37:40.877 CET;0,8
2023-02-09 01:37:58.947 CET;0,5
2023-02-09 01:38:07.996 CET;0,7
2023-02-09 01:38:16.956 CET;0,5
2023-02-09 01:38:26.167 CET;0,6
2023-02-09 01:38:35.197 CET;0,4
2023-02-09 01:38:44.246 CET;0,7
2023-02-09 01:39:02.405 CET;0,9
2023-02-09 01:39:11.446 CET;0,6
2023-02-09 01:39:29.595 CET;1,1
2023-02-09 01:39:38.555 CET;1
2023-02-09 01:39:47.684 CET;0,6
2023-02-09 01:39:56.724 CET;0,9
2023-02-09 01:40:05.766 CET;0,7
2023-02-09 01:40:14.726 CET;0,9
2023-02-09 01:40:23.835 CET;0,8
2023-02-09 01:40:41.765 CET;0,9
2023-02-09 01:40:50.795 CET;0,6
2023-02-09 01:40:59.763 CET;0,7
2023-02-09 01:41:08.875 CET;0,5
2023-02-09 01:41:17.835 CET;0,6
2023-02-09 01:41:26.805 CET;0,5
2023-02-09 01:41:35.773 CET;0,7
2023-02-09 01:44:18.351 CET;1,1
2023-02-09 01:44:41.779 CET;0,8
2023-02-09 01:44:53.609 CET;1,1
2023-02-09 01:45:03.049 CET;1
2023-02-09 01:45:12.089 CET;1,1
2023-02-09 01:45:21.119 CET;1
2023-02-09 01:45:56.569 CET;1,2
2023-02-09 01:46:05.598 CET;1
2023-02-09 01:46:32.408 CET;0,9
2023-02-09 01:46:41.289 CET;1
2023-02-09 01:46:50.247 CET;0,9
2023-02-09 01:47:08.247 CET;1
2023-02-09 01:54:20.198 CET;1,7
2023-02-09 01:54:29.209 CET;1,2
2023-02-09 01:54:38.960 CET;1
2023-02-09 01:55:06.167 CET;0,9
2023-02-09 01:55:24.178 CET;0,8
2023-02-09 01:55:33.217 CET;0,6
2023-02-09 01:55:42.247 CET;1
2023-02-09 01:59:43.473 CET;1,1
2023-02-09 02:00:02.253 CET;1
2023-02-09 02:00:46.973 CET;1,2
2023-02-09 02:00:55.773 CET;1
2023-02-09 02:02:12.009 CET;1,1
2023-02-09 02:02:29.690 CET;0,9
2023-02-09 02:02:47.540 CET;1
2023-02-09 02:02:56.421 CET;0,9
2023-02-09 02:03:14.500 CET;1
2023-02-09 02:03:23.450 CET;0,9
2023-02-09 02:03:32.428 CET;1
2023-02-09 02:03:41.608 CET;1,1
2023-02-09 02:03:50.490 CET;1
2023-02-09 02:04:35.378 CET;1,1
2023-02-09 02:04:44.328 CET;1
2023-02-09 02:05:38.088 CET;0,9
2023-02-09 02:05:47.059 CET;1
2023-02-09 02:07:28.667 CET;0,9
2023-02-09 02:07:38.256 CET;1,2
2023-02-09 02:07:47.125 CET;0,8
2023-02-09 02:07:56.105 CET;1,2
2023-02-09 02:08:05.296 CET;1
2023-02-09 02:09:08.655 CET;0,9
2023-02-09 02:09:17.625 CET;1
2023-02-09 02:09:44.345 CET;1,1
2023-02-09 02:09:53.226 CET;1
2023-02-09 02:10:02.194 CET;1,1
2023-02-09 02:10:11.065 CET;1
2023-02-09 02:10:46.983 CET;0,9
2023-02-09 02:10:55.773 CET;1
2023-02-09 02:12:42.832 CET;0,9
2023-02-09 02:12:51.622 CET;1
2023-02-09 02:13:45.451 CET;0,9
2023-02-09 02:14:03.220 CET;1
2023-02-09 02:15:15.789 CET;1,1
2023-02-09 02:15:42.999 CET;1
2023-02-09 02:16:10.188 CET;0,7
2023-02-09 02:16:19.309 CET;1
2023-02-09 02:16:28.509 CET;0,5
2023-02-09 02:16:37.546 CET;0,8
2023-02-09 02:16:46.586 CET;0,7
2023-02-09 02:17:04.578 CET;0,9
2023-02-09 02:17:13.707 CET;0,6
2023-02-09 02:17:22.586 CET;0,7
2023-02-09 02:17:49.776 CET;0,9
2023-02-09 02:18:07.865 CET;0,7
2023-02-09 02:18:34.825 CET;1
2023-02-09 02:18:43.855 CET;0,8
2023-02-09 02:21:16.413 CET;1,1
2023-02-09 02:21:34.032 CET;1,2
2023-02-09 02:21:43.233 CET;0,8
2023-02-09 02:21:52.183 CET;0,7
2023-02-09 02:22:01.382 CET;0,6
2023-02-09 02:22:19.391 CET;0,5
2023-02-09 02:22:37.551 CET;0,7
2023-02-09 02:22:46.500 CET;0,8
2023-02-09 02:22:55.542 CET;0,7
2023-02-09 02:23:04.661 CET;0,8
2023-02-09 02:23:22.750 CET;0,9
2023-02-09 02:23:31.858 CET;0,7
2023-02-09 02:23:40.829 CET;1
2023-02-09 02:23:58.990 CET;0,9
2023-02-09 02:24:07.789 CET;1
2023-02-09 02:24:16.989 CET;0,7
2023-02-09 02:24:35.069 CET;1
2023-02-09 02:24:44.108 CET;0,7
2023-02-09 02:25:02.108 CET;1
2023-02-09 02:26:32.316 CET;1,1
2023-02-09 02:26:41.476 CET;1,4
2023-02-09 02:26:50.516 CET;0,5
2023-02-09 02:26:59.625 CET;0,8
2023-02-09 02:27:08.676 CET;0,9
2023-02-09 02:27:17.714 CET;0,8
2023-02-09 02:27:26.755 CET;1
2023-02-09 02:27:35.795 CET;0,9
2023-02-09 02:27:44.825 CET;0,8
2023-02-09 02:27:53.946 CET;0,6
2023-02-09 02:28:02.914 CET;1
2023-02-09 02:28:11.953 CET;0,7
2023-02-09 02:28:21.154 CET;1
2023-02-09 02:28:30.265 CET;0,9
2023-02-09 02:28:39.224 CET;0,6
2023-02-09 02:28:57.233 CET;1
2023-02-09 02:29:55.384 CET;1,1
2023-02-09 02:30:04.272 CET;0,7
2023-02-09 02:30:13.482 CET;0,6
2023-02-09 02:30:22.513 CET;0,7
2023-02-09 02:30:40.671 CET;0,6
2023-02-09 02:30:49.790 CET;0,7
