time;PressForceValueRL
2023-01-02 12:37:54.983 CET;22,4
2023-01-02 12:38:31.451 CET;22,1
2023-01-02 12:38:40.502 CET;22,4
2023-01-02 12:38:49.552 CET;22,6
2023-01-02 12:38:58.671 CET;22,9
2023-01-02 12:39:07.782 CET;22,6
2023-01-02 12:39:25.881 CET;22,9
2023-01-02 12:40:30.059 CET;22,4
2023-01-02 12:40:38.990 CET;22,9
2023-01-02 12:41:14.588 CET;23,2
2023-01-02 12:41:23.398 CET;22,9
2023-01-02 12:41:32.259 CET;22,6
2023-01-02 12:41:41.229 CET;22,9
2023-01-02 12:41:59.069 CET;22,6
2023-01-02 12:42:29.407 CET;23,2
2023-01-02 12:42:37.788 CET;22,9
2023-01-02 12:42:55.069 CET;23,2
2023-01-02 12:43:12.578 CET;22,9
2023-01-02 12:43:30.437 CET;23,4
2023-01-02 12:43:48.197 CET;23,2
2023-01-02 12:44:06.038 CET;23,4
2023-01-02 12:44:32.826 CET;23,2
2023-01-02 12:44:41.707 CET;23,4
2023-01-02 12:44:50.585 CET;23,2
2023-01-02 12:45:17.467 CET;22,9
2023-01-02 12:45:26.436 CET;23,2
2023-01-02 12:46:02.276 CET;22,9
2023-01-02 12:46:11.236 CET;23,2
2023-01-02 12:46:20.276 CET;23,4
2023-01-02 12:46:38.194 CET;23,7
2023-01-02 12:46:56.275 CET;23,4
2023-01-02 12:47:05.154 CET;23,2
2023-01-02 12:47:14.104 CET;23,4
2023-01-02 12:47:23.154 CET;23,7
2023-01-02 12:47:40.993 CET;23,4
2023-01-02 12:48:34.684 CET;23,7
2023-01-02 12:48:43.553 CET;23,4
2023-01-02 12:49:01.631 CET;23,7
2023-01-02 12:49:10.752 CET;23,4
2023-01-02 12:49:19.721 CET;23,7
2023-01-02 12:49:55.802 CET;23,4
2023-01-02 12:50:13.881 CET;23,7
2023-01-02 12:50:49.801 CET;23,4
2023-01-02 12:51:17.000 CET;23,7
2023-01-02 12:51:35.009 CET;23,4
2023-01-02 12:51:44.029 CET;23,7
2023-01-02 12:52:11.148 CET;23,4
2023-01-02 12:52:29.157 CET;23,7
2023-01-02 12:52:38.279 CET;23,4
2023-01-02 12:52:47.237 CET;23,7
2023-01-02 12:52:56.118 CET;23,4
2023-01-02 12:53:22.996 CET;23,7
2023-01-02 12:53:31.967 CET;23,4
2023-01-02 12:53:40.927 CET;23,2
2023-01-02 12:53:49.957 CET;23,7
2023-01-02 12:53:58.835 CET;23,4
2023-01-02 12:55:19.796 CET;23,2
2023-01-02 12:55:28.686 CET;23,4
2023-01-02 12:55:46.676 CET;23,2
2023-01-02 12:55:55.555 CET;23,4
2023-01-02 12:56:13.815 CET;23,2
2023-01-02 12:56:40.923 CET;22,9
2023-01-02 12:56:58.773 CET;23,2
2023-01-02 12:58:01.973 CET;23,4
2023-01-02 12:58:19.812 CET;23,2
2023-01-02 12:59:04.601 CET;22,9
2023-01-02 12:59:13.720 CET;23,2
2023-01-02 12:59:49.650 CET;23,4
2023-01-02 13:00:17.009 CET;23,2
2023-01-02 13:00:52.917 CET;23,4
2023-01-02 13:01:02.048 CET;23,2
2023-01-02 13:01:28.757 CET;23,4
2023-01-02 13:01:55.727 CET;23,7
2023-01-02 13:02:04.848 CET;24
2023-01-02 13:02:13.717 CET;23,7
2023-01-02 13:02:31.578 CET;24
2023-01-02 13:02:40.767 CET;23,4
2023-01-02 13:02:49.818 CET;23,7
2023-01-02 13:02:58.776 CET;24,2
2023-01-02 13:03:16.855 CET;24
2023-01-02 13:03:34.855 CET;23,7
2023-01-02 13:03:43.796 CET;24
2023-01-02 13:04:19.644 CET;23,7
2023-01-02 13:04:55.563 CET;23,4
2023-01-02 13:05:04.454 CET;23,7
2023-01-02 13:05:22.293 CET;23,4
2023-01-02 13:05:31.174 CET;23,7
2023-01-02 13:05:49.323 CET;23,4
2023-01-02 13:05:58.213 CET;23,7
2023-01-02 13:06:43.012 CET;24
2023-01-02 13:06:52.042 CET;23,7
2023-01-02 13:07:00.923 CET;24
2023-01-02 13:07:09.892 CET;23,7
2023-01-02 13:07:27.812 CET;23,4
2023-01-02 13:07:36.921 CET;23,7
2023-01-02 13:07:45.653 CET;23,4
2023-01-02 13:08:03.822 CET;23,7
2023-01-02 13:08:12.941 CET;23,4
