time;Cylinder4MaxParalelismErrorInBDC
2023-01-02 13:54:39.391 CET;-0,3
2023-01-02 13:54:48.512 CET;-0,2
2023-01-02 13:55:06.510 CET;-0,3
2023-01-02 13:55:15.561 CET;-0,2
2023-01-02 13:55:33.710 CET;-0,3
2023-01-02 13:55:51.789 CET;-0,2
2023-01-02 13:56:37.069 CET;-0,3
2023-01-02 13:56:46.099 CET;-0,2
2023-01-02 13:56:55.059 CET;-0,3
2023-01-02 13:57:04.118 CET;-0,2
2023-01-02 13:58:16.588 CET;-0,3
2023-01-02 13:58:34.736 CET;-0,2
2023-01-02 13:58:43.786 CET;-0,3
2023-01-02 13:59:19.946 CET;-0,2
2023-01-02 13:59:28.825 CET;-0,3
2023-01-02 14:00:04.825 CET;-0,2
2023-01-02 14:00:13.875 CET;-0,3
2023-01-02 14:00:50.035 CET;-0,4
2023-01-02 14:00:58.993 CET;-0,3
2023-01-02 14:03:13.711 CET;-0,2
2023-01-02 14:03:49.431 CET;-0,3
2023-01-02 14:03:58.421 CET;-0,2
2023-01-02 14:04:07.401 CET;-0,3
2023-01-02 14:04:16.421 CET;-0,2
2023-01-02 14:04:52.200 CET;-0,3
2023-01-02 14:05:01.240 CET;-0,2
2023-01-02 14:05:10.190 CET;-0,3
2023-01-02 14:06:43.259 CET;-0,2
2023-01-02 14:07:01.878 CET;-0,3
2023-01-02 14:07:10.987 CET;-0,2
2023-01-02 14:07:38.038 CET;-0,3
2023-01-02 14:07:47.078 CET;-0,2
2023-01-02 14:07:56.036 CET;-0,3
2023-01-02 14:08:05.157 CET;-0,2
2023-01-02 14:08:14.197 CET;-0,3
2023-01-02 14:08:23.157 CET;-0,2
2023-01-02 14:08:41.397 CET;-0,3
2023-01-02 14:08:50.517 CET;-0,2
2023-01-02 14:09:17.476 CET;-0,3
2023-01-02 14:09:44.427 CET;-0,2
2023-01-02 14:10:02.515 CET;-0,3
2023-01-02 14:10:11.474 CET;-0,2
2023-01-02 14:10:20.434 CET;-0,3
2023-01-02 14:10:29.484 CET;-0,2
2023-01-02 14:10:38.434 CET;-0,3
2023-01-02 14:11:23.644 CET;-0,2
2023-01-02 14:11:32.763 CET;-0,3
2023-01-02 14:12:17.872 CET;-0,2
2023-01-02 14:12:35.871 CET;-0,3
2023-01-02 14:12:44.913 CET;-0,2
2023-01-02 14:14:33.240 CET;-0,3
2023-01-02 14:15:09.410 CET;-0,2
2023-01-02 14:15:18.440 CET;-0,3
2023-01-02 14:15:27.549 CET;-0,2
2023-01-02 14:16:03.719 CET;-0,3
2023-01-02 14:16:12.598 CET;-0,2
2023-01-02 14:18:38.194 CET;-0,3
2023-01-02 14:19:14.926 CET;-0,2
2023-01-02 14:19:23.795 CET;-0,3
2023-01-02 14:19:59.724 CET;-0,2
2023-01-02 14:20:08.765 CET;-0,3
2023-01-02 14:20:17.724 CET;-0,2
2023-01-02 14:20:35.802 CET;-0,3
2023-01-02 14:20:44.852 CET;-0,2
2023-01-02 14:22:28.371 CET;-0,3
2023-01-02 14:22:52.671 CET;-0,2
2023-01-02 14:23:06.730 CET;-0,3
2023-01-02 14:23:30.509 CET;-0,2
2023-01-02 14:26:38.526 CET;-0,3
2023-01-02 14:26:56.536 CET;-0,2
2023-01-02 14:27:05.486 CET;-0,3
2023-01-02 14:27:23.486 CET;-0,2
2023-01-02 14:27:41.496 CET;-0,3
2023-01-02 14:28:17.325 CET;-0,2
2023-01-02 14:28:35.335 CET;-0,3
2023-01-02 14:28:44.365 CET;-0,2
2023-01-02 14:29:11.164 CET;-0,3
2023-01-02 14:29:20.125 CET;-0,2
2023-01-02 14:30:32.052 CET;-0,3
2023-01-02 14:30:41.243 CET;-0,2
2023-01-02 14:31:42.171 CET;-0,3
2023-01-02 14:32:09.661 CET;-0,2
2023-01-02 14:32:18.691 CET;-0,3
2023-01-02 14:32:36.851 CET;-0,2
2023-01-02 14:32:45.980 CET;-0,3
2023-01-02 14:32:54.931 CET;-0,2
2023-01-02 14:33:03.980 CET;-0,3
2023-01-02 14:33:13.010 CET;-0,2
2023-01-02 14:33:21.980 CET;-0,3
2023-01-02 14:33:58.049 CET;-0,2
2023-01-02 14:34:34.138 CET;-0,3
2023-01-02 14:34:43.339 CET;-0,2
2023-01-02 14:35:10.539 CET;-0,3
2023-01-02 14:35:31.298 CET;-0,2
2023-01-02 14:36:03.038 CET;-0,3
2023-01-02 14:37:00.786 CET;-0,2
2023-01-02 14:37:14.536 CET;-0,3
2023-01-02 14:37:23.496 CET;-0,2
2023-01-02 14:37:32.375 CET;-0,3
2023-01-02 14:37:46.266 CET;-0,2
2023-01-02 14:37:55.805 CET;-0,3
2023-01-02 14:38:04.704 CET;-0,2
2023-01-02 14:38:58.615 CET;-0,3
2023-01-02 14:39:07.575 CET;-0,2
2023-01-02 14:39:16.535 CET;-0,3
2023-01-02 14:43:34.428 CET;-0,2
2023-01-02 14:43:43.338 CET;-0,3
2023-01-02 14:44:19.269 CET;-0,2
2023-01-02 14:44:55.096 CET;-0,3
2023-01-02 14:45:39.816 CET;-0,2
2023-01-02 14:45:48.947 CET;-0,3
2023-01-02 14:45:57.895 CET;-0,2
2023-01-02 14:46:06.956 CET;-0,3
2023-01-02 14:46:15.895 CET;-0,2
2023-01-02 14:47:00.696 CET;-0,3
2023-01-02 14:47:09.665 CET;-0,2
2023-01-02 14:47:27.825 CET;-0,3
2023-01-02 14:47:36.855 CET;-0,2
2023-01-02 14:48:03.823 CET;-0,3
2023-01-02 14:48:30.825 CET;-0,2
2023-01-02 14:48:39.734 CET;-0,3
2023-01-02 14:50:27.822 CET;-0,2
2023-01-02 14:51:48.862 CET;-0,3
2023-01-02 14:53:27.676 CET;-0,2
2023-01-02 14:53:36.625 CET;-0,3
2023-01-02 14:54:03.598 CET;-0,2
2023-01-02 14:54:30.648 CET;-0,3
2023-01-02 14:55:06.562 CET;-0,2
2023-01-02 14:55:15.440 CET;-0,3
2023-01-02 14:55:24.401 CET;-0,2
2023-01-02 14:58:18.591 CET;-0,3
2023-01-02 14:58:27.539 CET;-0,2
2023-01-02 14:58:36.569 CET;-0,3
2023-01-02 14:58:54.579 CET;-0,2
2023-01-02 14:59:12.650 CET;-0,3
2023-01-02 14:59:30.588 CET;-0,2
