time;PressForceValueFL
2023-01-02 14:04:37.861 CET;15,7
2023-01-02 14:04:46.812 CET;16,2
2023-01-02 14:04:55.760 CET;15,7
2023-01-02 14:06:07.051 CET;16
2023-01-02 14:06:15.460 CET;15,7
2023-01-02 14:06:24.009 CET;16
2023-01-02 14:07:17.378 CET;16,2
2023-01-02 14:07:26.328 CET;15,7
2023-01-02 14:07:44.239 CET;16
2023-01-02 14:08:47.046 CET;15,7
2023-01-02 14:09:05.046 CET;16,2
2023-01-02 14:09:22.816 CET;16
2023-01-02 14:09:31.776 CET;15,7
2023-01-02 14:09:40.655 CET;15,4
2023-01-02 14:09:49.526 CET;15,7
2023-01-02 14:09:58.414 CET;16
2023-01-02 14:10:16.345 CET;15,7
2023-01-02 14:10:43.295 CET;16
2023-01-02 14:10:52.253 CET;15,7
2023-01-02 14:11:01.134 CET;16
2023-01-02 14:11:19.065 CET;15,7
2023-01-02 14:13:06.663 CET;16
2023-01-02 14:13:24.812 CET;15,4
2023-01-02 14:13:33.851 CET;16
2023-01-02 14:13:42.730 CET;15,7
2023-01-02 14:14:00.809 CET;15,4
2023-01-02 14:14:09.700 CET;15,7
2023-01-02 14:14:18.740 CET;15,4
2023-01-02 14:14:36.730 CET;15,7
2023-01-02 14:14:45.780 CET;15,4
2023-01-02 14:15:13.130 CET;15,7
2023-01-02 14:15:22.009 CET;16
2023-01-02 14:15:31.299 CET;15,4
2023-01-02 14:15:40.259 CET;15,7
2023-01-02 14:15:49.220 CET;15,4
2023-01-02 14:15:58.338 CET;15,7
2023-01-02 14:16:16.417 CET;15,4
2023-01-02 14:16:34.407 CET;15,7
2023-01-02 14:17:58.566 CET;15,4
2023-01-02 14:19:15.075 CET;16
2023-01-02 14:19:24.654 CET;15,7
2023-01-02 14:19:34.585 CET;16
2023-01-02 14:19:43.785 CET;15,4
2023-01-02 14:19:52.733 CET;16
2023-01-02 14:20:02.345 CET;15,7
2023-01-02 14:20:20.345 CET;16
2023-01-02 14:20:29.223 CET;16,2
2023-01-02 14:20:38.263 CET;16
2023-01-02 14:20:47.223 CET;16,5
2023-01-02 14:20:56.262 CET;16,2
2023-01-02 14:21:05.142 CET;16
2023-01-02 14:21:32.181 CET;16,2
2023-01-02 14:21:41.211 CET;16
2023-01-02 14:21:50.161 CET;16,2
2023-01-02 14:22:08.171 CET;16
2023-01-02 14:22:36.022 CET;16,2
2023-01-02 14:22:45.062 CET;15,7
2023-01-02 14:22:56.430 CET;16,2
2023-01-02 14:23:06.009 CET;16
2023-01-02 14:23:43.551 CET;16,2
2023-01-02 14:24:23.549 CET;16
2023-01-02 14:24:47.078 CET;16,2
2023-01-02 14:25:03.078 CET;16
2023-01-02 14:25:18.997 CET;16,2
2023-01-02 14:25:43.007 CET;16
2023-01-02 14:26:06.997 CET;15,7
2023-01-02 14:26:57.357 CET;16
2023-01-02 14:27:06.665 CET;15,7
2023-01-02 14:27:16.105 CET;16
2023-01-02 14:27:34.266 CET;16,2
2023-01-02 14:27:43.937 CET;15,7
