time;ClutchBrakeWaterTemperature
2023-01-02 13:55:06.510 CET;28,4
2023-01-02 13:55:42.750 CET;28,5
2023-01-02 13:55:51.789 CET;28,4
2023-01-02 13:56:18.819 CET;28,3
2023-01-02 13:56:37.069 CET;28,4
2023-01-02 13:57:04.118 CET;28,5
2023-01-02 13:57:13.229 CET;28,6
2023-01-02 13:57:49.467 CET;28,7
2023-01-02 13:58:07.628 CET;28,8
2023-01-02 13:58:52.835 CET;28,9
2023-01-02 13:59:19.946 CET;29
2023-01-02 13:59:46.915 CET;29,1
2023-01-02 13:59:55.875 CET;29,2
2023-01-02 14:00:04.825 CET;29,1
2023-01-02 14:00:13.875 CET;29,2
2023-01-02 14:00:31.953 CET;29,3
2023-01-02 14:00:58.993 CET;29,4
2023-01-02 14:01:43.953 CET;29,5
2023-01-02 14:01:52.913 CET;29,6
2023-01-02 14:02:37.882 CET;29,7
2023-01-02 14:03:04.752 CET;29,8
2023-01-02 14:03:49.431 CET;29,9
2023-01-02 14:04:25.401 CET;30
2023-01-02 14:04:34.351 CET;29,9
2023-01-02 14:04:43.312 CET;30,1
2023-01-02 14:04:52.200 CET;30
2023-01-02 14:05:01.240 CET;30,1
2023-01-02 14:05:10.190 CET;30
2023-01-02 14:05:19.150 CET;30,1
2023-01-02 14:06:43.259 CET;30,2
2023-01-02 14:07:01.878 CET;30,3
2023-01-02 14:08:32.358 CET;30,4
2023-01-02 14:09:26.437 CET;30,5
2023-01-02 14:09:44.427 CET;30,6
2023-01-02 14:09:53.474 CET;30,7
2023-01-02 14:10:02.515 CET;30,6
2023-01-02 14:10:47.474 CET;30,7
2023-01-02 14:11:05.573 CET;30,9
2023-01-02 14:11:14.674 CET;30,8
2023-01-02 14:11:50.844 CET;30,9
2023-01-02 14:12:26.921 CET;31
2023-01-02 14:12:53.963 CET;31,1
2023-01-02 14:13:38.911 CET;31,2
2023-01-02 14:13:57.089 CET;31,3
2023-01-02 14:14:06.039 CET;31,4
2023-01-02 14:14:15.079 CET;31,3
2023-01-02 14:14:51.309 CET;31,4
2023-01-02 14:15:36.519 CET;31,5
2023-01-02 14:16:03.719 CET;31,6
2023-01-02 14:18:23.835 CET;30,8
2023-01-02 14:18:47.744 CET;30,7
2023-01-02 14:18:56.766 CET;30,6
2023-01-02 14:19:23.795 CET;30,5
2023-01-02 14:19:41.644 CET;30,4
2023-01-02 14:19:50.674 CET;30,3
