time;PressForceValueRR
2023-01-02 12:51:14.170 CET;20,5
2023-01-02 12:51:23.130 CET;21
2023-01-02 12:51:50.319 CET;20,8
2023-01-02 12:51:59.358 CET;21
2023-01-02 12:52:08.408 CET;20,8
2023-01-02 12:52:35.038 CET;20,5
2023-01-02 12:52:52.977 CET;20,8
2023-01-02 12:53:19.838 CET;20,5
2023-01-02 12:53:37.846 CET;20,2
2023-01-02 12:53:46.877 CET;20,8
2023-01-02 12:54:13.927 CET;21
2023-01-02 12:54:22.875 CET;20,5
2023-01-02 12:54:31.845 CET;20,8
2023-01-02 12:54:49.846 CET;21
2023-01-02 12:54:58.895 CET;21,3
2023-01-02 12:55:07.926 CET;20,5
2023-01-02 12:55:16.895 CET;20,8
2023-01-02 12:55:25.926 CET;20,5
2023-01-02 12:55:43.855 CET;20,8
2023-01-02 12:55:53.055 CET;20,5
2023-01-02 12:56:02.013 CET;20,8
2023-01-02 12:56:11.134 CET;20
2023-01-02 12:56:20.084 CET;20,8
2023-01-02 12:56:38.003 CET;20,5
2023-01-02 12:56:46.963 CET;21
2023-01-02 12:56:56.003 CET;20,5
2023-01-02 12:57:04.963 CET;20,8
2023-01-02 12:57:22.963 CET;21
2023-01-02 12:57:31.851 CET;21,3
2023-01-02 12:57:49.851 CET;21
2023-01-02 12:57:58.812 CET;20,5
2023-01-02 12:58:07.943 CET;20,8
2023-01-02 12:58:16.743 CET;21
2023-01-02 12:58:25.851 CET;20,2
2023-01-02 12:58:34.881 CET;20,8
2023-01-02 12:58:43.861 CET;21
2023-01-02 12:58:52.891 CET;20,5
2023-01-02 12:59:19.930 CET;20,2
2023-01-02 12:59:28.890 CET;20,5
2023-01-02 12:59:46.811 CET;21
2023-01-02 12:59:56.089 CET;20,5
2023-01-02 13:00:05.049 CET;21
2023-01-02 13:00:14.178 CET;21,3
2023-01-02 13:00:22.970 CET;21
2023-01-02 13:00:32.088 CET;20,8
2023-01-02 13:00:41.130 CET;20,5
2023-01-02 13:01:08.017 CET;20,8
2023-01-02 13:01:25.927 CET;20,5
2023-01-02 13:01:34.888 CET;20,8
2023-01-02 13:01:43.937 CET;20,5
2023-01-02 13:01:52.888 CET;20,2
2023-01-02 13:02:01.767 CET;21
2023-01-02 13:02:10.657 CET;20,5
2023-01-02 13:02:19.937 CET;20,8
2023-01-02 13:02:28.808 CET;21
2023-01-02 13:02:37.937 CET;20,8
2023-01-02 13:02:46.818 CET;21
2023-01-02 13:02:55.946 CET;20,8
2023-01-02 13:03:22.655 CET;20,5
2023-01-02 13:03:31.766 CET;20,8
2023-01-02 13:03:40.575 CET;21
2023-01-02 13:03:49.694 CET;20,8
2023-01-02 13:03:58.734 CET;20,5
2023-01-02 13:04:16.496 CET;20,8
2023-01-02 13:04:25.444 CET;20,5
2023-01-02 13:04:34.335 CET;20,2
2023-01-02 13:04:43.525 CET;20,8
2023-01-02 13:04:52.334 CET;20,5
2023-01-02 13:05:19.224 CET;20,8
2023-01-02 13:05:28.094 CET;20,5
2023-01-02 13:05:37.063 CET;21
2023-01-02 13:05:46.104 CET;20,5
2023-01-02 13:05:55.052 CET;20,8
2023-01-02 13:06:04.013 CET;21
2023-01-02 13:06:13.134 CET;20,5
2023-01-02 13:06:31.132 CET;20,8
2023-01-02 13:06:40.092 CET;20,5
2023-01-02 13:06:58.013 CET;20,8
2023-01-02 13:07:06.982 CET;20,5
2023-01-02 13:07:24.901 CET;20,8
2023-01-02 13:07:34.022 CET;21,3
2023-01-02 13:07:52.181 CET;20,8
2023-01-02 13:08:09.941 CET;21
2023-01-02 13:08:18.901 CET;20,5
2023-01-02 13:08:36.980 CET;20,8
2023-01-02 13:08:45.861 CET;21
2023-01-02 13:08:54.980 CET;21,6
2023-01-02 13:09:03.940 CET;20,8
2023-01-02 13:09:12.901 CET;21
2023-01-02 13:09:22.089 CET;20,8
2023-01-02 13:09:31.210 CET;20,2
2023-01-02 13:09:40.099 CET;20,8
2023-01-02 13:09:49.130 CET;20,2
2023-01-02 13:09:58.099 CET;20,5
2023-01-02 13:10:16.019 CET;20,8
2023-01-02 13:10:34.089 CET;20,2
2023-01-02 13:10:42.910 CET;20,8
2023-01-02 13:11:27.687 CET;20,5
2023-01-02 13:11:45.549 CET;20,8
2023-01-02 13:11:54.578 CET;21
2023-01-02 13:12:03.459 CET;20,5
2023-01-02 13:12:12.737 CET;20,8
2023-01-02 13:12:21.697 CET;20,2
2023-01-02 13:12:30.578 CET;20,8
2023-01-02 13:12:48.648 CET;21
2023-01-02 13:12:57.627 CET;20,2
2023-01-02 13:13:06.726 CET;20,5
2023-01-02 13:13:15.546 CET;20,8
2023-01-02 13:13:24.657 CET;20,2
2023-01-02 13:13:33.627 CET;20,5
2023-01-02 13:13:42.586 CET;20,8
2023-01-02 13:13:51.546 CET;20,2
2023-01-02 13:14:00.496 CET;20,8
2023-01-02 13:14:09.536 CET;20,5
2023-01-02 13:14:27.615 CET;20,8
2023-01-02 13:14:45.384 CET;20,5
2023-01-02 13:14:54.263 CET;20,2
