time;SlideSpeedUp
2023-01-02 22:12:46.125 CET;424,7
2023-01-02 22:14:35.734 CET;451,5
2023-01-02 22:14:45.424 CET;437,6
2023-01-02 22:14:55.263 CET;409,9
2023-01-02 22:15:05.023 CET;425,9
2023-01-02 22:15:14.132 CET;441,1
2023-01-02 22:15:23.403 CET;425,8
2023-01-02 22:15:32.622 CET;442,8
2023-01-02 22:15:41.733 CET;426,5
2023-01-02 22:15:50.854 CET;468,6
2023-01-02 22:15:59.973 CET;453,9
2023-01-02 22:16:09.164 CET;468,3
2023-01-02 22:16:18.453 CET;442,3
2023-01-02 22:16:27.572 CET;439,1
2023-01-02 22:16:36.862 CET;424,9
2023-01-02 22:17:15.571 CET;440,5
2023-01-02 22:17:25.092 CET;425,3
2023-01-02 22:17:34.770 CET;428,1
2023-01-02 22:17:44.200 CET;426,1
2023-01-02 22:17:53.331 CET;424,2
2023-01-02 22:18:02.530 CET;438,7
2023-01-02 22:18:11.641 CET;411,3
2023-01-02 22:18:20.930 CET;453,1
2023-01-02 22:18:30.140 CET;455,4
2023-01-02 22:18:39.411 CET;409,8
2023-01-02 22:18:48.780 CET;454,6
2023-01-02 22:18:57.990 CET;441
2023-01-02 22:19:07.170 CET;437,1
2023-01-02 22:19:16.368 CET;453
2023-01-02 22:19:25.569 CET;426,2
2023-01-02 22:19:34.858 CET;426,3
2023-01-02 22:19:44.049 CET;424,7
2023-01-02 22:19:53.178 CET;426,3
2023-01-02 22:20:02.378 CET;453
2023-01-02 22:20:11.569 CET;456,5
2023-01-02 22:20:20.697 CET;426,3
2023-01-02 22:20:29.798 CET;413
2023-01-02 22:20:39.088 CET;456,5
2023-01-02 22:20:48.296 CET;439,6
2023-01-02 22:20:57.578 CET;410,2
2023-01-02 22:21:06.778 CET;453,2
2023-01-02 22:21:15.977 CET;411
2023-01-02 22:21:25.257 CET;439,6
2023-01-02 22:21:34.538 CET;454,2
2023-01-02 22:21:43.736 CET;423,6
2023-01-02 22:21:53.016 CET;426,3
2023-01-02 22:22:02.226 CET;424,9
2023-01-02 22:22:11.426 CET;453,5
2023-01-02 22:22:20.607 CET;437,8
2023-01-02 22:22:29.806 CET;467,4
2023-01-02 22:22:39.026 CET;455,7
2023-01-02 22:22:48.145 CET;412,4
2023-01-02 22:22:57.415 CET;470,7
2023-01-02 22:23:06.615 CET;470,3
2023-01-02 22:23:15.895 CET;457,1
2023-01-02 22:23:25.016 CET;484
2023-01-02 22:23:34.204 CET;426,7
2023-01-02 22:23:43.404 CET;424,9
2023-01-02 22:23:52.543 CET;455,1
2023-01-02 22:24:01.815 CET;438,6
2023-01-02 22:24:11.013 CET;452,4
2023-01-02 22:24:20.312 CET;410,2
2023-01-02 22:24:29.493 CET;469,5
2023-01-02 22:24:38.783 CET;438,2
2023-01-02 22:24:47.993 CET;468,3
2023-01-02 22:24:57.273 CET;451,7
2023-01-02 22:25:06.463 CET;439,7
2023-01-02 22:25:15.671 CET;439,8
2023-01-02 22:25:24.953 CET;467,8
2023-01-02 22:25:34.141 CET;440
2023-01-02 22:25:43.423 CET;425,7
2023-01-02 22:25:52.542 CET;466,4
2023-01-02 22:26:01.742 CET;469,5
2023-01-02 22:26:10.931 CET;427,9
2023-01-02 22:26:20.131 CET;454,4
2023-01-02 22:26:29.351 CET;456,3
2023-01-02 22:26:38.631 CET;412,2
2023-01-02 22:26:47.831 CET;455,4
2023-01-02 22:26:57.111 CET;425,8
2023-01-02 22:27:06.290 CET;439,3
2023-01-02 22:27:15.520 CET;424,8
2023-01-02 22:27:24.790 CET;439,9
2023-01-02 22:27:33.901 CET;426,7
2023-01-02 22:27:43.099 CET;455,7
2023-01-02 22:27:52.309 CET;453,9
2023-01-02 22:28:01.430 CET;439,9
2023-01-02 22:28:10.710 CET;427
2023-01-02 22:28:19.908 CET;466,8
2023-01-02 22:28:29.190 CET;422,8
2023-01-02 22:28:38.390 CET;484,3
2023-01-02 22:28:47.588 CET;467,8
2023-01-02 22:28:56.858 CET;426,7
2023-01-02 22:29:06.058 CET;426,6
2023-01-02 22:29:15.257 CET;468,2
2023-01-02 22:29:24.457 CET;426,8
2023-01-02 22:29:33.737 CET;427,2
2023-01-02 22:29:42.878 CET;482,5
2023-01-02 22:29:52.157 CET;440,9
2023-01-02 22:30:01.357 CET;439,9
2023-01-02 22:30:10.548 CET;456
2023-01-02 22:30:19.828 CET;455,1
2023-01-02 22:30:28.947 CET;427
2023-01-02 22:30:38.227 CET;467,7
2023-01-02 22:30:47.506 CET;423
2023-01-02 22:30:56.796 CET;424,1
2023-01-02 22:31:06.055 CET;425,4
2023-01-02 22:31:39.726 CET;453,9
2023-01-02 22:31:49.694 CET;456,7
2023-01-02 22:32:30.864 CET;426,6
2023-01-02 22:32:40.144 CET;454,3
2023-01-02 22:32:49.345 CET;455,8
2023-01-02 22:32:58.625 CET;427,1
2023-01-02 22:33:07.825 CET;454,6
2023-01-02 22:33:17.032 CET;441,1
2023-01-02 22:33:26.233 CET;425,8
2023-01-02 22:33:35.352 CET;469,3
2023-01-02 22:33:44.622 CET;454,9
2023-01-02 22:33:53.832 CET;427,2
2023-01-02 22:34:03.104 CET;426,8
2023-01-02 22:34:12.302 CET;469
2023-01-02 22:34:21.433 CET;454,5
2023-01-02 22:34:49.112 CET;440,5
2023-01-02 22:34:58.382 CET;437,9
2023-01-02 22:35:07.673 CET;422,3
2023-01-02 22:35:16.963 CET;423,8
2023-01-02 22:35:26.163 CET;453,7
2023-01-02 22:35:35.342 CET;454,5
2023-01-02 22:35:44.552 CET;454,2
2023-01-02 22:35:53.742 CET;468,5
2023-01-02 22:36:02.941 CET;466,7
2023-01-02 22:36:12.221 CET;426,4
2023-01-02 22:36:30.561 CET;440,8
2023-01-02 22:36:39.760 CET;454,7
2023-01-02 22:36:48.951 CET;440,9
2023-01-02 22:36:58.151 CET;485
2023-01-02 22:37:07.351 CET;470,8
2023-01-02 22:37:16.480 CET;469,7
2023-01-02 22:37:25.599 CET;469,1
2023-01-02 22:37:34.801 CET;485,3
2023-01-02 22:37:44.061 CET;426,2
2023-01-02 22:37:53.280 CET;467,3
2023-01-02 22:38:02.480 CET;455,4
2023-01-02 22:38:11.599 CET;440,6
2023-01-02 22:38:20.801 CET;452,3
2023-01-02 22:38:30.071 CET;439,9
2023-01-02 22:38:39.361 CET;423,8
2023-01-02 22:38:48.549 CET;426,1
2023-01-02 22:38:57.589 CET;408,9
2023-01-02 22:39:06.720 CET;410,2
2023-01-02 22:39:16.000 CET;438,4
2023-01-02 22:39:25.210 CET;452,1
2023-01-02 22:39:34.490 CET;439
2023-01-02 22:39:43.769 CET;425,4
2023-01-02 22:39:52.888 CET;454,3
2023-01-02 22:40:02.078 CET;438,6
2023-01-02 22:40:11.368 CET;455,7
2023-01-02 22:40:20.558 CET;455,3
2023-01-02 22:40:29.757 CET;439,4
2023-01-02 22:40:39.038 CET;428,2
2023-01-02 22:40:48.306 CET;453,6
2023-01-02 22:40:57.357 CET;468,7
2023-01-02 22:41:06.637 CET;409
2023-01-02 22:41:15.756 CET;438,8
2023-01-02 22:41:25.026 CET;427,4
2023-01-02 22:41:34.318 CET;426,8
2023-01-02 22:41:43.595 CET;424,7
2023-01-02 22:41:52.796 CET;452,5
2023-01-02 22:42:02.006 CET;424,6
2023-01-02 22:42:11.186 CET;423,5
2023-01-02 22:42:20.484 CET;451,2
2023-01-02 22:42:29.684 CET;440,7
2023-01-02 22:44:28.302 CET;467,7
2023-01-02 22:44:42.302 CET;440,5
2023-01-02 22:44:52.263 CET;425,8
2023-01-02 22:46:47.401 CET;439
2023-01-02 22:46:56.562 CET;467,1
2023-01-02 22:51:11.928 CET;453,8
2023-01-02 22:51:22.346 CET;455,5
2023-01-02 22:52:00.387 CET;482,5
2023-01-02 22:52:10.246 CET;456,6
2023-01-02 22:52:20.076 CET;441
2023-01-02 22:52:47.125 CET;453,4
2023-01-02 22:53:56.042 CET;440,9
2023-01-02 22:56:23.611 CET;454,2
2023-01-02 22:56:54.430 CET;438,4
2023-01-02 22:57:04.240 CET;438,3
2023-01-02 22:57:13.759 CET;438,9
2023-01-02 22:57:23.440 CET;424,5
2023-01-02 22:57:32.959 CET;425,8
2023-01-02 22:57:42.398 CET;440
2023-01-02 22:58:39.188 CET;452,4
2023-01-02 22:58:49.138 CET;426,8
2023-01-02 22:59:15.927 CET;440,9
2023-01-02 22:59:25.118 CET;456,5
2023-01-02 22:59:34.227 CET;440,9
2023-01-02 22:59:43.437 CET;451,9
2023-01-02 22:59:52.717 CET;455,3
2023-01-02 23:00:01.917 CET;440,6
2023-01-02 23:00:11.127 CET;454,5
2023-01-02 23:00:20.246 CET;439,2
2023-01-02 23:00:29.516 CET;454,7
2023-01-02 23:00:38.717 CET;453,3
2023-01-02 23:00:47.815 CET;424,9
2023-01-02 23:00:57.115 CET;453,9
2023-01-02 23:01:06.395 CET;425,5
2023-01-02 23:01:15.676 CET;425
2023-01-02 23:01:24.956 CET;440,9
2023-01-02 23:01:34.177 CET;456
2023-01-02 23:01:43.446 CET;454,6
2023-01-02 23:01:52.716 CET;454,5
2023-01-02 23:02:01.855 CET;466,9
2023-01-02 23:02:11.055 CET;454,1
2023-01-02 23:02:20.335 CET;457,1
2023-01-02 23:02:29.614 CET;426,9
2023-01-02 23:02:38.815 CET;453,4
