time;Cylinder4MaxParallelismInCycle
2023-01-02 12:47:18.634 CET;5,9
2023-01-02 12:47:27.584 CET;5,8
2023-01-02 12:47:36.624 CET;5,9
2023-01-02 12:47:45.664 CET;5,8
2023-01-02 12:48:03.822 CET;5,9
2023-01-02 12:48:21.823 CET;6
2023-01-02 12:48:57.982 CET;5,9
2023-01-02 12:49:16.072 CET;5,8
2023-01-02 12:49:25.102 CET;5,9
2023-01-02 12:49:52.072 CET;6
2023-01-02 12:50:01.111 CET;6,1
2023-01-02 12:50:19.191 CET;6
2023-01-02 12:50:28.240 CET;5,6
2023-01-02 12:50:37.351 CET;5,7
2023-01-02 12:50:55.180 CET;5,6
2023-01-02 12:51:04.220 CET;5,7
2023-01-02 12:51:31.339 CET;5,8
2023-01-02 12:51:49.430 CET;5,9
2023-01-02 12:52:16.678 CET;5,8
2023-01-02 12:52:52.628 CET;5,9
2023-01-02 12:53:01.588 CET;5,8
2023-01-02 12:53:10.677 CET;5,9
2023-01-02 12:53:28.546 CET;6
2023-01-02 12:53:46.596 CET;6,1
2023-01-02 12:53:55.676 CET;6
2023-01-02 12:54:04.625 CET;5,9
2023-01-02 12:54:13.585 CET;6,1
2023-01-02 12:54:22.595 CET;5,8
2023-01-02 12:54:31.595 CET;6,1
2023-01-02 12:54:40.555 CET;6
2023-01-02 12:54:49.635 CET;5,8
2023-01-02 12:55:07.516 CET;5,7
2023-01-02 12:55:16.585 CET;5,6
2023-01-02 12:55:25.595 CET;5,7
2023-01-02 12:55:34.716 CET;5,8
2023-01-02 12:55:43.676 CET;5,7
2023-01-02 12:56:01.734 CET;5,8
2023-01-02 12:56:10.744 CET;5,7
2023-01-02 12:56:37.743 CET;5,8
2023-01-02 12:56:46.713 CET;5,9
2023-01-02 12:57:22.542 CET;5,8
2023-01-02 12:57:31.592 CET;5,7
2023-01-02 12:57:40.602 CET;5,8
2023-01-02 12:57:58.471 CET;5,7
2023-01-02 12:58:07.562 CET;5,9
2023-01-02 12:58:16.631 CET;6
2023-01-02 12:58:34.601 CET;6,1
2023-01-02 12:59:01.680 CET;5,9
2023-01-02 12:59:10.641 CET;6
2023-01-02 12:59:19.601 CET;5,6
2023-01-02 12:59:37.630 CET;5,7
2023-01-02 12:59:46.710 CET;5,6
2023-01-02 12:59:55.749 CET;5,7
2023-01-02 13:00:22.868 CET;5,8
2023-01-02 13:00:31.838 CET;5,6
2023-01-02 13:00:40.799 CET;5,7
2023-01-02 13:01:07.658 CET;5,8
2023-01-02 13:01:16.638 CET;5,7
2023-01-02 13:01:25.588 CET;5,8
2023-01-02 13:01:34.628 CET;5,9
2023-01-02 13:01:43.507 CET;6
2023-01-02 13:01:52.467 CET;5,9
2023-01-02 13:02:46.457 CET;6
2023-01-02 13:03:22.385 CET;6,1
2023-01-02 13:03:40.315 CET;6
2023-01-02 13:03:49.276 CET;5,7
2023-01-02 13:03:58.246 CET;5,6
2023-01-02 13:04:16.075 CET;5,7
2023-01-02 13:04:25.115 CET;5,5
2023-01-02 13:04:34.075 CET;5,8
2023-01-02 13:04:42.944 CET;5,7
2023-01-02 13:04:51.914 CET;5,9
2023-01-02 13:05:09.753 CET;6
2023-01-02 13:05:18.805 CET;5,9
2023-01-02 13:05:27.753 CET;5,8
2023-01-02 13:05:45.763 CET;5,7
2023-01-02 13:06:03.753 CET;5,9
2023-01-02 13:06:12.773 CET;5,8
2023-01-02 13:06:21.832 CET;5,9
2023-01-02 13:06:57.763 CET;6
2023-01-02 13:07:06.642 CET;5,9
2023-01-02 13:07:42.721 CET;6
2023-01-02 13:07:51.671 CET;5,9
2023-01-02 13:08:00.621 CET;6
2023-01-02 13:08:18.641 CET;5,7
2023-01-02 13:08:45.591 CET;5,8
2023-01-02 13:08:54.641 CET;5,7
2023-01-02 13:09:21.841 CET;5,8
2023-01-02 13:09:30.710 CET;5,7
2023-01-02 13:09:39.839 CET;5,8
2023-01-02 13:09:48.789 CET;5,9
2023-01-02 13:10:06.720 CET;6
2023-01-02 13:10:15.680 CET;5,8
2023-01-02 13:10:42.480 CET;5,9
2023-01-02 13:11:00.569 CET;5,8
2023-01-02 13:11:09.450 CET;5,9
2023-01-02 13:11:36.319 CET;6
2023-01-02 13:11:54.328 CET;5,9
2023-01-02 13:12:12.398 CET;6
2023-01-02 13:12:21.368 CET;5,9
2023-01-02 13:12:48.328 CET;5,6
2023-01-02 13:13:06.236 CET;5,7
2023-01-02 13:13:15.367 CET;5,8
2023-01-02 13:13:33.286 CET;5,7
2023-01-02 13:14:00.246 CET;5,6
2023-01-02 13:14:09.206 CET;5,8
2023-01-02 13:14:18.085 CET;5,7
2023-01-02 13:14:27.125 CET;5,8
2023-01-02 13:14:44.964 CET;5,9
2023-01-02 13:15:30.005 CET;5,7
2023-01-02 13:15:39.045 CET;5,8
2023-01-02 13:15:48.085 CET;5,9
2023-01-02 13:15:57.042 CET;6
2023-01-02 13:16:06.072 CET;5,9
2023-01-02 13:16:24.171 CET;6
2023-01-02 13:16:33.121 CET;6,1
2023-01-02 13:16:51.122 CET;6
2023-01-02 13:17:09.213 CET;5,5
2023-01-02 13:17:18.163 CET;5,6
2023-01-02 13:17:27.131 CET;5,5
2023-01-02 13:17:36.101 CET;5,7
2023-01-02 13:17:45.052 CET;5,6
2023-01-02 13:18:03.201 CET;6
2023-01-02 13:18:12.161 CET;5,7
2023-01-02 13:18:21.111 CET;5,8
2023-01-02 13:18:39.121 CET;5,7
2023-01-02 13:18:48.160 CET;5,8
2023-01-02 13:18:57.130 CET;5,7
2023-01-02 13:19:15.200 CET;5,8
2023-01-02 13:19:24.170 CET;5,9
2023-01-02 13:20:17.927 CET;5,8
2023-01-02 13:20:26.888 CET;5,9
2023-01-02 13:20:35.858 CET;5,8
2023-01-02 13:20:44.819 CET;5,9
2023-01-02 13:20:53.766 CET;5,8
2023-01-02 13:21:02.806 CET;5,9
2023-01-02 13:21:11.846 CET;6
2023-01-02 13:21:38.806 CET;5,6
2023-01-02 13:21:47.766 CET;5,7
2023-01-02 13:21:56.736 CET;5,6
2023-01-02 13:24:41.612 CET;5,8
2023-01-02 13:24:50.723 CET;6
2023-01-02 13:24:59.703 CET;5,9
2023-01-02 13:25:17.624 CET;6
2023-01-02 13:25:26.732 CET;6,1
2023-01-02 13:25:35.782 CET;5,9
2023-01-02 13:26:02.651 CET;5,6
2023-01-02 13:26:29.601 CET;5,8
2023-01-02 13:26:47.760 CET;5,6
2023-01-02 13:26:56.730 CET;5,8
2023-01-02 13:27:05.690 CET;6
2023-01-02 13:27:14.660 CET;5,8
2023-01-02 13:27:32.650 CET;5,7
2023-01-02 13:27:41.690 CET;5,6
2023-01-02 13:27:50.730 CET;5,7
2023-01-02 13:28:08.648 CET;5,8
2023-01-02 13:31:00.927 CET;5,7
2023-01-02 13:31:09.786 CET;5,8
2023-01-02 13:31:51.516 CET;5,9
2023-01-02 13:33:31.453 CET;6
2023-01-02 13:33:46.874 CET;5,9
2023-01-02 13:33:55.944 CET;5,8
2023-01-02 13:34:14.104 CET;5,9
2023-01-02 13:34:23.213 CET;6
2023-01-02 13:34:41.144 CET;5,9
2023-01-02 13:34:50.184 CET;5,7
2023-01-02 13:34:59.142 CET;5,8
2023-01-02 13:35:44.292 CET;5,7
2023-01-02 13:35:53.292 CET;5,8
2023-01-02 13:36:02.252 CET;5,9
2023-01-02 13:36:11.372 CET;5,7
2023-01-02 13:36:29.440 CET;5,9
2023-01-02 13:36:47.530 CET;6,2
2023-01-02 13:36:56.490 CET;5,9
2023-01-02 13:37:05.540 CET;5,8
2023-01-02 13:37:14.571 CET;5,9
2023-01-02 13:37:32.619 CET;5,8
2023-01-02 13:37:41.609 CET;5,9
2023-01-02 13:37:50.650 CET;6
2023-01-02 13:38:26.329 CET;6,1
2023-01-02 13:38:35.549 CET;6
2023-01-02 13:38:53.779 CET;6,1
2023-01-02 13:39:11.938 CET;5,6
2023-01-02 13:39:30.007 CET;5,7
2023-01-02 13:39:38.979 CET;5,6
2023-01-02 13:39:48.098 CET;5,7
2023-01-02 13:40:15.217 CET;5,8
2023-01-02 13:40:33.378 CET;5,9
2023-01-02 13:40:42.417 CET;5,8
2023-01-02 13:41:09.546 CET;5,7
2023-01-02 13:41:18.586 CET;5,8
2023-01-02 13:41:27.697 CET;5,9
2023-01-02 13:41:36.746 CET;5,8
2023-01-02 13:41:45.786 CET;5,7
2023-01-02 13:41:54.746 CET;6,1
2023-01-02 13:42:03.865 CET;6
2023-01-02 13:42:30.865 CET;5,9
2023-01-02 13:42:39.936 CET;6
2023-01-02 13:42:48.815 CET;5,9
2023-01-02 13:43:06.904 CET;6,1
2023-01-02 13:43:15.865 CET;6
2023-01-02 13:43:24.904 CET;5,9
2023-01-02 13:43:34.023 CET;5,7
2023-01-02 13:43:52.102 CET;5,8
2023-01-02 13:44:01.142 CET;5,7
2023-01-02 13:44:19.153 CET;5,6
2023-01-02 13:44:37.141 CET;5,7
2023-01-02 13:45:13.223 CET;5,9
2023-01-02 13:45:31.371 CET;5,7
2023-01-02 13:45:40.331 CET;6
2023-01-02 13:45:49.381 CET;5,9
2023-01-02 13:45:58.500 CET;5,8
2023-01-02 13:46:07.450 CET;6
2023-01-02 13:46:16.430 CET;5,8
2023-01-02 13:46:25.460 CET;5,9
2023-01-02 13:46:34.500 CET;5,8
2023-01-02 13:46:43.670 CET;5,9
2023-01-02 13:47:01.869 CET;6
2023-01-02 13:47:19.700 CET;5,9
2023-01-02 13:47:28.579 CET;6
2023-01-02 13:47:37.539 CET;5,9
2023-01-02 13:47:55.539 CET;5,7
2023-01-02 13:48:04.499 CET;5,6
2023-01-02 13:48:13.549 CET;5,5
2023-01-02 13:48:22.548 CET;5,6
