time;TotalPressForceValue
2023-01-02 10:24:19.882 CET;57,8
2023-01-02 10:26:42.848 CET;58,4
2023-01-02 10:44:43.342 CET;57
2023-01-02 10:51:02.703 CET;56,6
2023-01-02 10:51:15.102 CET;56,7
2023-01-02 10:54:56.190 CET;56,6
2023-01-02 10:55:06.589 CET;57,4
2023-01-02 10:55:17.198 CET;57,5
2023-01-02 10:55:27.658 CET;57,6
2023-01-02 10:57:06.707 CET;57
2023-01-02 10:57:19.368 CET;57,5
2023-01-02 10:57:33.628 CET;57,4
2023-01-02 10:57:45.657 CET;57,8
2023-01-02 10:57:57.266 CET;57,7
2023-01-02 10:58:08.796 CET;57,8
2023-01-02 10:58:20.385 CET;58,4
2023-01-02 10:58:30.946 CET;58,2
2023-01-02 10:59:13.976 CET;58
2023-01-02 10:59:24.714 CET;58,1
2023-01-02 11:00:24.224 CET;57,8
2023-01-02 11:00:34.783 CET;58
2023-01-02 11:00:45.365 CET;58,2
2023-01-02 11:00:55.904 CET;58
2023-01-02 11:01:27.914 CET;58,2
2023-01-02 11:20:46.832 CET;56,9
2023-01-02 11:23:49.888 CET;56,6
2023-01-02 11:24:01.319 CET;57,4
2023-01-02 11:24:11.809 CET;57,6
2023-01-02 11:24:33.029 CET;57,5
2023-01-02 11:24:43.608 CET;57,9
2023-01-02 11:36:05.075 CET;2,5
2023-01-02 11:40:02.621 CET;2,6
2023-01-02 12:24:21.395 CET;20
2023-01-02 12:31:47.269 CET;19
2023-01-02 12:37:25.713 CET;19,2
2023-01-02 12:37:34.763 CET;19
2023-01-02 12:37:43.903 CET;19,2
2023-01-02 12:38:10.703 CET;19,3
2023-01-02 12:38:19.671 CET;19,4
2023-01-02 12:38:28.871 CET;19,2
2023-01-02 12:38:37.832 CET;19,1
2023-01-02 12:38:47.032 CET;19,5
2023-01-02 12:38:55.742 CET;19,1
2023-01-02 12:39:04.621 CET;19,4
2023-01-02 12:39:22.861 CET;19,2
2023-01-02 12:39:31.831 CET;19,4
2023-01-02 12:39:40.700 CET;19,2
2023-01-02 12:39:49.831 CET;19,6
2023-01-02 12:40:42.619 CET;19,3
2023-01-02 12:40:52.388 CET;19,4
2023-01-02 12:41:01.279 CET;19,6
2023-01-02 12:41:10.398 CET;19,5
2023-01-02 12:41:19.348 CET;19,4
2023-01-02 12:41:37.108 CET;19,5
2023-01-02 12:41:45.908 CET;19,4
2023-01-02 12:42:12.630 CET;19,2
2023-01-02 12:42:21.757 CET;19,4
2023-01-02 12:43:26.237 CET;19,5
2023-01-02 12:43:35.276 CET;19,4
2023-01-02 12:44:10.806 CET;19,6
2023-01-02 12:44:19.846 CET;19,5
2023-01-02 12:44:28.476 CET;19,3
2023-01-02 12:44:37.756 CET;19,4
2023-01-02 12:44:46.477 CET;19,3
2023-01-02 12:44:55.427 CET;19,4
2023-01-02 12:45:04.395 CET;19,3
2023-01-02 12:45:22.395 CET;19,4
2023-01-02 12:45:31.357 CET;19,3
2023-01-02 12:45:40.395 CET;19,4
2023-01-02 12:45:58.556 CET;19,6
2023-01-02 12:46:16.325 CET;19,7
2023-01-02 12:46:25.434 CET;19,4
2023-01-02 12:46:34.476 CET;19,6
2023-01-02 12:47:01.365 CET;19,8
2023-01-02 12:47:10.563 CET;19,6
2023-01-02 12:47:28.563 CET;19,4
2023-01-02 12:47:37.684 CET;20
2023-01-02 12:47:46.723 CET;19,7
2023-01-02 12:47:55.513 CET;19,6
2023-01-02 12:48:04.802 CET;19,7
2023-01-02 12:48:13.842 CET;19,8
2023-01-02 12:48:31.763 CET;19,9
2023-01-02 12:48:40.884 CET;19,8
2023-01-02 12:48:58.891 CET;19,9
2023-01-02 12:49:07.921 CET;19,8
2023-01-02 12:49:17.042 CET;20,1
2023-01-02 12:49:26.082 CET;19,8
2023-01-02 12:49:34.961 CET;20,2
2023-01-02 12:49:44.253 CET;19,9
2023-01-02 12:49:53.040 CET;19,8
2023-01-02 12:50:11.042 CET;20
2023-01-02 12:50:38.400 CET;20,1
2023-01-02 12:50:47.279 CET;20
2023-01-02 12:50:56.250 CET;19,8
2023-01-02 12:51:05.130 CET;20
2023-01-02 12:51:14.170 CET;19,8
2023-01-02 12:51:23.130 CET;20
2023-01-02 12:51:50.319 CET;19,9
2023-01-02 12:51:59.358 CET;20
2023-01-02 12:52:08.408 CET;19,8
2023-01-02 12:52:17.279 CET;20,2
2023-01-02 12:52:25.937 CET;20,1
2023-01-02 12:52:35.038 CET;19,6
2023-01-02 12:52:52.977 CET;20,1
2023-01-02 12:53:01.918 CET;19,9
2023-01-02 12:53:10.888 CET;20,1
2023-01-02 12:53:19.838 CET;20
2023-01-02 12:53:28.957 CET;19,8
2023-01-02 12:53:46.877 CET;20
2023-01-02 12:54:04.875 CET;19,9
2023-01-02 12:54:13.927 CET;20,1
2023-01-02 12:54:22.875 CET;19,9
2023-01-02 12:54:31.845 CET;20
2023-01-02 12:54:49.846 CET;20,2
2023-01-02 12:54:58.895 CET;20,3
2023-01-02 12:55:07.926 CET;20
2023-01-02 12:55:25.926 CET;19,8
2023-01-02 12:55:43.855 CET;20
2023-01-02 12:56:02.013 CET;20,3
2023-01-02 12:56:11.134 CET;19,7
2023-01-02 12:56:20.084 CET;20,1
2023-01-02 12:56:29.053 CET;20
2023-01-02 12:56:38.003 CET;19,8
2023-01-02 12:56:46.963 CET;20
2023-01-02 12:56:56.003 CET;19,8
2023-01-02 12:57:13.844 CET;19,9
2023-01-02 12:57:22.963 CET;20,1
2023-01-02 12:57:31.851 CET;20,3
2023-01-02 12:57:40.812 CET;20
2023-01-02 12:57:58.812 CET;19,8
2023-01-02 12:58:07.943 CET;19,9
2023-01-02 12:58:16.743 CET;20,2
2023-01-02 12:58:25.851 CET;19,9
2023-01-02 12:58:34.881 CET;20
2023-01-02 12:58:43.861 CET;20,3
2023-01-02 12:58:52.891 CET;20
2023-01-02 12:59:28.890 CET;20,2
2023-01-02 12:59:37.849 CET;20
2023-01-02 12:59:46.811 CET;20,3
2023-01-02 12:59:56.089 CET;20
2023-01-02 13:00:05.049 CET;20,1
2023-01-02 13:00:14.178 CET;20,3
2023-01-02 13:00:22.970 CET;20,1
2023-01-02 13:00:32.088 CET;19,8
2023-01-02 13:00:50.079 CET;20
2023-01-02 13:00:59.049 CET;19,8
2023-01-02 13:01:08.017 CET;20
2023-01-02 13:01:16.977 CET;20,4
2023-01-02 13:01:25.927 CET;20
2023-01-02 13:01:34.888 CET;20,2
2023-01-02 13:01:52.888 CET;19,9
2023-01-02 13:02:01.767 CET;20,2
2023-01-02 13:02:10.657 CET;20
2023-01-02 13:02:19.937 CET;19,8
2023-01-02 13:02:28.808 CET;20,2
2023-01-02 13:02:37.937 CET;20,1
2023-01-02 13:02:46.818 CET;20,2
2023-01-02 13:02:55.946 CET;20,1
2023-01-02 13:03:04.816 CET;20
2023-01-02 13:03:13.697 CET;19,8
2023-01-02 13:03:22.655 CET;20
2023-01-02 13:03:40.575 CET;20,1
2023-01-02 13:04:07.535 CET;19,9
2023-01-02 13:04:16.496 CET;20
2023-01-02 13:04:25.444 CET;20,1
2023-01-02 13:04:34.335 CET;20
2023-01-02 13:05:01.214 CET;19,9
2023-01-02 13:05:19.224 CET;20
2023-01-02 13:05:28.094 CET;19,7
2023-01-02 13:05:37.063 CET;20,2
2023-01-02 13:05:46.104 CET;19,7
2023-01-02 13:05:55.052 CET;20,1
2023-01-02 13:06:13.134 CET;20
2023-01-02 13:06:22.171 CET;19,9
2023-01-02 13:06:31.132 CET;20,1
2023-01-02 13:06:40.092 CET;20
2023-01-02 13:06:49.052 CET;20,1
2023-01-02 13:06:58.013 CET;20,3
2023-01-02 13:07:06.982 CET;20
2023-01-02 13:07:24.901 CET;20,2
2023-01-02 13:07:42.971 CET;20,4
2023-01-02 13:07:52.181 CET;20
2023-01-02 13:08:00.982 CET;20,2
2023-01-02 13:08:27.861 CET;20
2023-01-02 13:08:36.980 CET;20,1
2023-01-02 13:08:45.861 CET;20,2
2023-01-02 13:08:54.980 CET;20,3
2023-01-02 13:09:03.940 CET;20
2023-01-02 13:09:12.901 CET;20,3
2023-01-02 13:09:31.210 CET;20
2023-01-02 13:09:40.099 CET;20,1
2023-01-02 13:09:49.130 CET;20
2023-01-02 13:09:58.099 CET;20,2
2023-01-02 13:10:07.059 CET;20
2023-01-02 13:10:16.019 CET;20,2
2023-01-02 13:10:24.990 CET;20,1
2023-01-02 13:10:34.089 CET;20
2023-01-02 13:10:42.910 CET;20,1
2023-01-02 13:10:51.769 CET;19,8
2023-01-02 13:11:00.819 CET;20
2023-01-02 13:11:36.658 CET;20,1
2023-01-02 13:11:45.549 CET;20
2023-01-02 13:11:54.578 CET;20,2
2023-01-02 13:12:03.459 CET;20
2023-01-02 13:12:12.737 CET;20,2
2023-01-02 13:12:21.697 CET;19,7
2023-01-02 13:12:30.578 CET;20
2023-01-02 13:12:48.648 CET;20,2
2023-01-02 13:12:57.627 CET;20,1
2023-01-02 13:13:15.546 CET;20,4
2023-01-02 13:13:24.657 CET;20
2023-01-02 13:13:33.627 CET;20,2
2023-01-02 13:13:42.586 CET;20
2023-01-02 13:13:51.546 CET;20,1
2023-01-02 13:14:00.496 CET;20
2023-01-02 13:14:18.496 CET;20,1
2023-01-02 13:14:27.615 CET;20,2
2023-01-02 13:14:45.384 CET;20
2023-01-02 13:15:03.233 CET;19,9
2023-01-02 13:15:12.253 CET;20,1
2023-01-02 13:15:21.224 CET;20
2023-01-02 13:15:30.334 CET;20,2
2023-01-02 13:15:48.335 CET;20,1
2023-01-02 13:15:57.453 CET;20,2
2023-01-02 13:16:06.342 CET;20
2023-01-02 13:16:24.342 CET;20,2
2023-01-02 13:16:42.423 CET;20
2023-01-02 13:17:00.493 CET;20,4
2023-01-02 13:17:09.621 CET;20,1
2023-01-02 13:17:18.502 CET;20,2
2023-01-02 13:17:36.341 CET;20
2023-01-02 13:17:45.290 CET;20,6
2023-01-02 13:17:54.342 CET;20,1
2023-01-02 13:18:03.302 CET;20,4
2023-01-02 13:18:12.342 CET;20,2
2023-01-02 13:18:21.529 CET;19,8
2023-01-02 13:18:30.500 CET;19,9
2023-01-02 13:18:39.460 CET;20,4
2023-01-02 13:18:48.430 CET;20
2023-01-02 13:19:24.420 CET;20,2
2023-01-02 13:19:42.339 CET;20
2023-01-02 13:19:51.388 CET;20,2
2023-01-02 13:20:00.348 CET;20
2023-01-02 13:20:18.257 CET;20,2
2023-01-02 13:20:36.187 CET;20,4
2023-01-02 13:20:45.138 CET;20
2023-01-02 13:21:03.066 CET;20,2
2023-01-02 13:21:12.026 CET;19,8
2023-01-02 13:21:30.107 CET;20
2023-01-02 13:22:06.016 CET;19,9
2023-01-02 13:22:15.055 CET;20,2
2023-01-02 13:22:24.026 CET;20
2023-01-02 13:22:32.907 CET;20,3
2023-01-02 13:24:59.213 CET;19,3
2023-01-02 13:25:08.372 CET;20
2023-01-02 13:25:17.313 CET;19,8
2023-01-02 13:25:26.183 CET;20
2023-01-02 13:25:35.312 CET;20,2
2023-01-02 13:25:53.302 CET;19,7
2023-01-02 13:26:02.262 CET;19,6
2023-01-02 13:26:11.221 CET;20
2023-01-02 13:26:29.221 CET;19,8
2023-01-02 13:26:38.180 CET;19,9
2023-01-02 13:26:47.230 CET;20
2023-01-02 13:26:56.420 CET;19,7
2023-01-02 13:27:05.380 CET;19,8
2023-01-02 13:27:14.349 CET;19,9
2023-01-02 13:27:23.230 CET;19,8
2023-01-02 13:27:41.390 CET;19,9
2023-01-02 13:27:50.269 CET;20,2
2023-01-02 13:27:59.219 CET;20
2023-01-02 13:28:08.348 CET;20,1
2023-01-02 13:31:36.246 CET;20
2023-01-02 13:33:31.525 CET;19,8
2023-01-02 13:33:49.713 CET;19,6
2023-01-02 13:33:58.434 CET;19,4
2023-01-02 13:34:07.543 CET;19,6
2023-01-02 13:34:16.194 CET;19,8
2023-01-02 13:34:25.313 CET;19,6
2023-01-02 13:34:43.003 CET;19,8
2023-01-02 13:34:52.112 CET;19,7
2023-01-02 13:35:01.072 CET;19,6
2023-01-02 13:35:27.874 CET;19,8
2023-01-02 13:35:45.872 CET;19,7
2023-01-02 13:35:54.842 CET;19,6
2023-01-02 13:36:03.872 CET;20
2023-01-02 13:36:12.923 CET;19,8
2023-01-02 13:36:21.940 CET;19,7
2023-01-02 13:36:30.831 CET;19,8
2023-01-02 13:36:39.960 CET;19,9
2023-01-02 13:36:48.911 CET;19,6
2023-01-02 13:36:57.881 CET;19,8
2023-01-02 13:37:06.680 CET;19,6
2023-01-02 13:37:15.561 CET;19,5
2023-01-02 13:37:24.589 CET;19,7
2023-01-02 13:37:33.710 CET;19,6
2023-01-02 13:38:28.999 CET;19,8
2023-01-02 13:38:38.019 CET;19,6
2023-01-02 13:38:47.148 CET;19,7
2023-01-02 13:38:55.799 CET;19,5
2023-01-02 13:39:04.999 CET;19,6
2023-01-02 13:39:31.798 CET;19,5
2023-01-02 13:39:40.828 CET;19,6
2023-01-02 13:40:07.638 CET;19,8
2023-01-02 13:40:16.677 CET;19,6
2023-01-02 13:40:25.556 CET;19,8
2023-01-02 13:40:43.548 CET;19,7
2023-01-02 13:40:52.516 CET;20
2023-01-02 13:41:01.556 CET;19,8
2023-01-02 13:41:10.426 CET;20,1
2023-01-02 13:41:28.506 CET;19,8
2023-01-02 13:41:55.714 CET;19,7
2023-01-02 13:42:13.716 CET;19,9
2023-01-02 13:42:22.905 CET;19,6
2023-01-02 13:42:31.716 CET;19,7
2023-01-02 13:42:40.915 CET;19,9
2023-01-02 13:42:49.796 CET;20
2023-01-02 13:42:59.005 CET;19,8
2023-01-02 13:43:25.874 CET;19,9
2023-01-02 13:43:34.832 CET;20
2023-01-02 13:43:52.923 CET;20,2
2023-01-02 13:44:02.043 CET;20,1
2023-01-02 13:44:10.993 CET;20
2023-01-02 13:44:20.032 CET;19,9
2023-01-02 13:44:29.161 CET;20,1
2023-01-02 13:44:38.112 CET;20
2023-01-02 13:44:47.161 CET;19,6
2023-01-02 13:44:56.201 CET;20
2023-01-02 13:45:05.082 CET;20,1
2023-01-02 13:45:14.203 CET;20
2023-01-02 13:45:23.141 CET;20,4
2023-01-02 13:45:32.201 CET;19,8
2023-01-02 13:45:41.232 CET;20
2023-01-02 13:45:50.441 CET;19,8
2023-01-02 13:45:59.311 CET;20,2
2023-01-02 13:46:08.361 CET;20
2023-01-02 13:46:17.470 CET;20,2
2023-01-02 13:46:26.430 CET;20
2023-01-02 13:47:11.168 CET;20,1
2023-01-02 13:47:29.150 CET;20
2023-01-02 13:47:47.000 CET;20,1
2023-01-02 13:47:55.789 CET;20
2023-01-02 13:48:04.838 CET;19,7
2023-01-02 13:48:13.789 CET;19,9
2023-01-02 13:48:22.759 CET;20
2023-01-02 13:48:31.789 CET;19,7
2023-01-02 13:48:40.918 CET;19,8
2023-01-02 13:48:49.799 CET;20,1
2023-01-02 13:48:58.927 CET;19,8
2023-01-02 13:49:07.798 CET;19,7
2023-01-02 13:49:16.848 CET;20,2
2023-01-02 13:49:25.727 CET;19,8
2023-01-02 13:49:34.677 CET;20,1
2023-01-02 13:49:43.637 CET;19,8
2023-01-02 13:50:01.716 CET;20,2
2023-01-02 13:50:10.596 CET;19,9
2023-01-02 13:50:19.726 CET;20,1
2023-01-02 13:50:28.605 CET;20
2023-01-02 13:50:37.795 CET;20,1
2023-01-02 13:50:46.765 CET;19,9
2023-01-02 13:50:55.875 CET;20,4
2023-01-02 13:51:59.023 CET;20,2
