time;StrokeCounter
2023-02-22 11:29:35.671 CET;26305990
2023-02-22 11:29:49.690 CET;26305991
2023-02-22 11:30:03.680 CET;26305992
2023-02-22 11:30:17.671 CET;26305993
2023-02-22 12:20:54.368 CET;26305994
2023-02-22 12:21:09.138 CET;26305995
2023-02-22 12:21:17.338 CET;26305996
2023-02-22 12:21:54.377 CET;26305997
2023-02-22 12:22:39.066 CET;26305998
2023-02-22 12:22:48.006 CET;26305999
2023-02-22 12:22:57.065 CET;26306000
2023-02-22 12:23:06.184 CET;26306001
2023-02-22 12:23:15.255 CET;26306002
2023-02-22 12:23:24.295 CET;26306003
2023-02-22 12:23:33.405 CET;26306004
2023-02-22 12:23:42.615 CET;26306005
2023-02-22 12:23:51.746 CET;26306006
2023-02-22 12:24:02.785 CET;26306007
2023-02-22 12:24:16.835 CET;26306008
2023-02-22 12:24:30.743 CET;26306009
2023-02-22 12:24:44.743 CET;26306010
2023-02-22 12:24:59.065 CET;26306011
2023-02-22 12:25:12.934 CET;26306012
2023-02-22 12:25:27.164 CET;26306013
2023-02-22 12:25:41.062 CET;26306014
2023-02-22 12:25:55.063 CET;26306015
2023-02-22 12:26:09.082 CET;26306016
2023-02-22 12:26:23.272 CET;26306017
2023-02-22 12:26:37.312 CET;26306018
2023-02-22 12:26:51.312 CET;26306019
2023-02-22 12:27:05.210 CET;26306020
2023-02-22 12:27:19.312 CET;26306021
2023-02-22 12:27:33.500 CET;26306022
2023-02-22 12:28:31.591 CET;26306023
2023-02-22 12:28:45.769 CET;26306024
2023-02-22 12:28:59.569 CET;26306025
2023-02-22 12:29:13.630 CET;26306026
2023-02-22 12:29:27.868 CET;26306027
2023-02-22 12:29:41.858 CET;26306028
2023-02-22 12:29:55.977 CET;26306029
2023-02-22 12:30:09.799 CET;26306030
2023-02-22 12:30:23.948 CET;26306031
2023-02-22 12:30:37.947 CET;26306032
2023-02-22 12:31:49.447 CET;26306033
2023-02-22 12:32:03.566 CET;26306034
2023-02-22 12:32:17.387 CET;26306035
2023-02-22 12:32:31.546 CET;26306036
2023-02-22 12:32:45.565 CET;26306037
2023-02-22 12:32:59.667 CET;26306038
2023-02-22 12:33:13.555 CET;26306039
2023-02-22 12:33:27.714 CET;26306040
2023-02-22 12:33:41.796 CET;26306041
2023-02-22 12:33:55.645 CET;26306042
2023-02-22 12:34:09.924 CET;26306043
2023-02-22 12:34:46.305 CET;26306044
2023-02-22 12:35:00.535 CET;26306045
2023-02-22 12:35:14.263 CET;26306046
2023-02-22 12:35:28.503 CET;26306047
2023-02-22 12:35:42.624 CET;26306048
2023-02-22 12:35:56.813 CET;26306049
2023-02-22 12:36:10.543 CET;26306050
2023-02-22 12:36:24.913 CET;26306051
2023-02-22 12:36:38.763 CET;26306052
2023-02-22 12:36:52.842 CET;26306053
2023-02-22 12:37:06.872 CET;26306054
2023-02-22 12:37:21.013 CET;26306055
2023-02-22 12:37:34.832 CET;26306056
2023-02-22 12:37:49.161 CET;26306057
2023-02-22 12:38:03.092 CET;26306058
2023-02-22 12:38:17.121 CET;26306059
2023-02-22 12:38:31.092 CET;26306060
2023-02-22 12:38:45.232 CET;26306061
2023-02-22 12:38:59.312 CET;26306062
2023-02-22 12:39:13.262 CET;26306063
2023-02-22 12:39:27.440 CET;26306064
2023-02-22 12:39:41.339 CET;26306065
2023-02-22 12:39:55.329 CET;26306066
2023-02-22 12:40:55.611 CET;26306067
2023-02-22 12:41:09.730 CET;26306068
2023-02-22 12:41:23.789 CET;26306069
2023-02-22 12:41:37.789 CET;26306070
2023-02-22 12:41:51.839 CET;26306071
2023-02-22 12:42:05.930 CET;26306072
2023-02-22 12:43:06.078 CET;26306073
2023-02-22 12:47:35.989 CET;26306074
2023-02-22 12:47:45.739 CET;26306075
2023-02-22 12:47:55.848 CET;26306076
2023-02-22 12:49:36.420 CET;26306077
2023-02-22 12:49:50.391 CET;26306078
2023-02-22 12:50:04.381 CET;26306079
2023-02-22 12:50:18.621 CET;26306080
2023-02-22 12:50:32.641 CET;26306081
2023-02-22 12:50:46.742 CET;26306082
2023-02-22 12:51:00.641 CET;26306083
2023-02-22 12:51:14.700 CET;26306084
2023-02-22 12:51:28.940 CET;26306085
2023-02-22 12:52:29.742 CET;26306086
2023-02-22 12:52:43.500 CET;26306087
2023-02-22 12:52:57.720 CET;26306088
2023-02-22 12:53:49.868 CET;26306089
2023-02-22 12:54:03.829 CET;26306090
2023-02-22 12:54:17.740 CET;26306091
2023-02-22 12:54:32.059 CET;26306092
2023-02-22 12:55:09.267 CET;26306093
2023-02-22 12:55:23.299 CET;26306094
2023-02-22 12:55:37.427 CET;26306095
2023-02-22 12:55:51.338 CET;26306096
2023-02-22 12:56:05.346 CET;26306097
2023-02-22 12:56:19.618 CET;26306098
2023-02-22 12:57:00.467 CET;26306099
2023-02-22 12:57:14.467 CET;26306100
2023-02-22 12:57:28.466 CET;26306101
2023-02-22 12:58:26.065 CET;26306102
