time;RealUpperCushionPressure
2023-01-27 13:40:58.928 CET;1,5
2023-01-27 19:20:13.326 CET;0,9
2023-01-30 09:08:40.970 CET;2
2023-01-31 22:41:15.348 CET;5
2023-02-01 06:27:06.114 CET;1,5
2023-02-01 22:07:23.706 CET;1,2
2023-02-02 08:49:10.690 CET;2,5
2023-02-02 15:02:28.256 CET;2
2023-02-02 18:33:54.986 CET;4
2023-02-02 21:32:43.891 CET;1,5
2023-02-03 01:29:01.572 CET;1
2023-02-03 23:35:45.881 CET;1,5
2023-02-04 00:32:38.470 CET;0
2023-02-04 00:32:38.970 CET;1,5
2023-02-04 00:32:46.561 CET;0
2023-02-04 00:33:17.690 CET;1,5
2023-02-06 10:36:40.295 CET;2,5
2023-02-07 19:21:08.523 CET;2
2023-02-07 21:33:00.157 CET;1,8
2023-02-08 04:37:05.888 CET;1,2
2023-02-08 10:50:10.387 CET;4,8
2023-02-08 13:53:19.335 CET;1,2
2023-02-08 19:14:13.322 CET;2
2023-02-09 03:05:17.331 CET;1,5
2023-02-09 08:49:33.927 CET;5
2023-02-09 13:01:05.263 CET;1,7
2023-02-09 14:21:31.565 CET;5
2023-02-09 20:12:16.726 CET;2,5
2023-02-10 03:55:53.956 CET;2
2023-02-10 06:39:10.125 CET;4
2023-02-10 13:04:44.634 CET;2
2023-02-10 18:10:11.917 CET;1,5
2023-02-10 22:29:49.197 CET;2
2023-02-13 06:37:06.993 CET;4,8
2023-02-13 12:47:55.954 CET;1,5
2023-02-13 19:23:15.802 CET;1
2023-02-14 05:33:15.148 CET;1,5
2023-02-14 17:07:33.733 CET;2
2023-02-14 19:26:11.992 CET;1,8
2023-02-15 03:24:10.665 CET;4,8
2023-02-15 04:36:05.931 CET;4
2023-02-15 13:26:56.290 CET;2
2023-02-15 23:01:09.066 CET;1
2023-02-16 04:35:08.194 CET;2,5
2023-02-16 09:23:26.371 CET;4
2023-02-16 13:15:00.934 CET;1,2
2023-02-17 05:20:17.552 CET;2
2023-02-17 07:31:46.105 CET;1,2
2023-02-17 08:39:52.440 CET;2
2023-02-17 12:09:03.651 CET;5
2023-02-17 22:30:41.802 CET;1,5
2023-02-20 16:13:20.700 CET;2
2023-02-20 19:18:48.193 CET;2,5
2023-02-21 11:20:51.012 CET;2
2023-02-22 06:48:13.081 CET;1,8
2023-02-22 15:25:50.286 CET;1,5
2023-02-22 19:53:25.484 CET;1,1
2023-02-23 03:17:20.999 CET;3
2023-02-23 07:23:26.042 CET;5
2023-02-23 07:23:35.082 CET;4
2023-02-23 08:32:13.543 CET;3
2023-02-23 08:58:15.982 CET;3
2023-02-23 09:15:19.553 CET;3
2023-02-23 09:16:39.983 CET;3
2023-02-23 09:17:14.322 CET;3
2023-02-23 09:20:51.835 CET;3
2023-02-23 09:34:18.069 CET;3
2023-02-23 09:35:50.688 CET;3
2023-02-23 09:40:17.328 CET;3
2023-02-23 09:40:50.605 CET;3
2023-02-23 09:43:04.209 CET;3
2023-02-23 09:43:41.559 CET;3
2023-02-23 09:51:29.756 CET;3
2023-02-23 09:51:29.808 CET;3
2023-02-23 10:14:48.026 CET;3
2023-02-23 10:24:55.592 CET;2
2023-02-23 11:02:59.029 CET;2
2023-02-23 11:02:59.081 CET;2
2023-02-23 11:05:06.588 CET;2
2023-02-23 11:05:06.638 CET;2
2023-02-23 11:06:18.926 CET;2
2023-02-23 11:06:39.595 CET;2
2023-02-23 11:06:39.647 CET;2
2023-02-23 13:00:23.191 CET;2
2023-02-23 14:47:18.357 CET;2
2023-02-23 14:47:18.407 CET;2
2023-02-23 14:55:11.005 CET;2
2023-02-23 15:00:12.484 CET;2
2023-02-23 15:01:54.526 CET;2
2023-02-23 15:16:02.418 CET;2
2023-02-23 15:51:55.036 CET;1
2023-02-23 22:35:40.927 CET;3
2023-02-23 23:09:43.085 CET;5
2023-02-23 23:31:02.201 CET;3
2023-02-24 08:46:04.392 CET;2
2023-02-24 12:00:26.030 CET;5
2023-02-24 19:17:10.835 CET;4,8
2023-02-24 23:17:07.398 CET;1
2023-02-24 23:21:05.355 CET;5,5
2023-02-24 23:21:58.562 CET;2,3
2023-02-24 23:28:57.237 CET;5,5
2023-02-27 13:24:59.466 CET;4
2023-02-27 17:46:19.417 CET;1,5
2023-02-27 21:46:16.006 CET;2,5
2023-02-28 00:50:45.259 CET;1,5
2023-02-28 06:25:24.551 CET;5,5
2023-02-28 19:09:39.888 CET;1,5
