time;PressSpeed
2023-02-21 15:06:34.385 CET;8
2023-02-21 15:30:18.065 CET;14
2023-02-21 17:29:08.569 CET;8
2023-02-21 17:38:03.709 CET;0
2023-02-21 17:38:04.709 CET;14
2023-02-21 20:31:24.305 CET;8
2023-02-21 20:42:21.934 CET;16
2023-02-22 01:27:18.213 CET;8
2023-02-22 03:46:22.555 CET;16
2023-02-22 06:43:40.065 CET;8
2023-02-22 06:50:39.739 CET;14
2023-02-22 15:22:40.517 CET;8
2023-02-22 15:30:01.270 CET;18
2023-02-22 15:30:02.280 CET;8
2023-02-22 15:35:05.486 CET;18
2023-02-22 19:49:04.400 CET;8
2023-02-22 20:09:18.239 CET;18
2023-02-23 03:14:56.302 CET;8
2023-02-23 03:24:32.602 CET;15
2023-02-23 06:13:28.108 CET;8
2023-02-23 06:15:03.494 CET;15
2023-02-23 06:17:05.983 CET;8
2023-02-23 06:17:13.013 CET;15
2023-02-23 08:40:07.451 CET;15
2023-02-23 08:57:24.153 CET;15
2023-02-23 08:58:15.982 CET;15
2023-02-23 09:15:19.553 CET;15
2023-02-23 09:16:39.983 CET;15
2023-02-23 09:17:14.322 CET;15
2023-02-23 09:17:29.262 CET;15
2023-02-23 09:20:51.835 CET;15
2023-02-23 09:34:18.069 CET;15
2023-02-23 09:35:50.688 CET;15
2023-02-23 09:40:17.328 CET;15
2023-02-23 09:40:50.605 CET;15
2023-02-23 09:43:04.209 CET;15
2023-02-23 09:43:41.559 CET;15
2023-02-23 09:51:29.756 CET;15
2023-02-23 09:51:29.808 CET;15
2023-02-23 10:14:47.973 CET;15
2023-02-23 10:14:48.026 CET;15
2023-02-23 10:18:52.957 CET;8
2023-02-23 10:29:49.588 CET;14
2023-02-23 11:02:59.029 CET;14
2023-02-23 11:02:59.081 CET;14
2023-02-23 11:05:06.588 CET;14
2023-02-23 11:05:06.638 CET;14
2023-02-23 11:06:18.976 CET;14
2023-02-23 11:06:39.595 CET;14
2023-02-23 11:06:39.647 CET;14
